experiment_id	family	description	metric	value	seed	status	notes
E00	baseline	SHD-era JR cases 2018-2021: 16 cases, 5499 total units, 14/16 state losses	total_units_in_jr_cases	5499	0	BASELINE	loss_rate=87.5%
T01	T01_accounting	Direct unit-months = sum(units * delay_months * outcome_weight)	direct_unit_months	105504.0	0	TOURNAMENT	No indirect component; pure observed delay.
T02	T02_rd_proxy	RD proxy: SHD mean-weeks excess over NPA as JR-exposure premium	jr_exposure_premium_weeks	83	0	TOURNAMENT	From PL-3: SHD 124wk vs NPA 41wk in 2024. Confounded with SHD tail-clearing.
T03	T03_queueing	Queueing: JR caseload as exogenous demand shock on rho	rho_jr_component	0.165	0	TOURNAMENT	JR equiv load=350, total disposed 2022=2115
T04	T04_did	DiD: housing vs commercial ABP decision time change 2017-2024	did_excess_weeks	19	0	TOURNAMENT	Housing all-cases proxy; commercial delta ~5wk (SID stable except SHD/LRD).
T05	T05_counterfactual	Counterfactual: completions gap under 18wk SOP scenario	total_units_shifted	16638	0	TOURNAMENT	Cumulative completions gap 2018-2024 under 18wk maintained SOP.
TC	champion	Champion: T05 counterfactual simulation (most policy-relevant, incorporates direct + indirect channels)	champion	T05	0	KEEP	T01 accounting gives direct-only; T05 gives full picture incl throughput loss
E01	direct_delay	Total direct JR delay (unit-months) for all 22 SHD JR cases	direct_unit_months	105504	0	KEEP	Quashed/conceded: full weight; refused/dismissed: 0.5x; upheld: 0.25x
E02	direct_delay	Direct delay for 2018-2021 window only (clean, fully closed years)	direct_unit_months_2018_2021	88422	0	KEEP	16 cases in clean window
E03	indirect_delay	Indirect delay (unit-months): lower=0, central=4652, upper=9305	indirect_unit_months_central	4652	0	KEEP	Lower=0% JR attribution, Central=25%, Upper=50%
E04	counterfactual	Counterfactual completions gap 2018-2024: 16638 units	total_units_shifted	16638	0	KEEP	Cumulative gap under 18wk SOP counterfactual
E05	geographic	Dublin concentration: 18/22 cases, 5041 units	dublin_share_units	5041/6546	0	KEEP	Dublin dominates SHD JR caseload
