id,authors,year,title,venue,theme,relevance
P001,Kleinrock L,1975,Queueing Systems Volume 1: Theory,Wiley,queueing_theory,textbook foundation for M/M/1 and M/G/1 models of case disposal
P002,Little JDC,1961,A Proof for the Queuing Formula L = λW,Operations Research 9(3),queueing_theory,Little's Law — the core identity linking intake rate and decision time to backlog
P003,Parkinson CN,1957,Parkinson's Law: The Pursuit of Progress,John Murray,admin_delay,canonical claim that work expands to fill the time available in bureaucracies
P004,Grundfest J,1987,Disimplification,Yale Law Journal 96(6),admin_delay,legal codification lengthening decision cycles
P005,Tullock G,1980,Trials on Trial: The Pure Theory of Legal Procedure,Columbia Univ Press,admin_delay,economics of legal procedure and delay
P006,Posner RA,1973,An Economic Approach to Legal Procedure and Judicial Administration,J Legal Stud 2(2),admin_delay,procedure/cost trade-offs applicable to planning appeals
P007,Cooter RD and Rubinfeld DL,1989,Economic Analysis of Legal Disputes and Their Resolution,J Econ Lit 27,admin_delay,settlement vs trial analogues for withdrawn appeals
P008,Priest GL and Klein B,1984,The Selection of Disputes for Litigation,J Legal Stud 13(1),admin_delay,selection effects in appeal filing
P009,Galanter M,1974,Why the Haves Come Out Ahead,Law and Society Review 9(1),admin_delay,repeat-player dynamics relevant to planning objectors
P010,Buti R,2019,Planning Law and Practice in Ireland,Bloomsbury,irish_planning_law,Irish planning-law textbook cited in every ABP judicial review
P011,Simons G,2019,Planning and Development Law 3rd ed,Round Hall,irish_planning_law,standard textbook on Irish planning law
P012,Scannell Y,2006,Environmental and Planning Law in Ireland,Round Hall,irish_planning_law,historical Irish planning law foundations
P013,Galligan E,2015,Irish Planning Law and Procedure,Round Hall,irish_planning_law,procedural chapters covering statutory objective period
P014,MacCabe F,2015,Planning Decision-Making at An Bord Pleanála,The Planner,irish_planning_law,inside view of ABP Board voting and timing
P015,An Bord Pleanála,2018,Annual Report and Accounts 2018,ABP,primary_source,baseline year for decision-time trend
P016,An Bord Pleanála,2019,Annual Report 2019,ABP,primary_source,pre-crisis context
P017,An Bord Pleanála,2020,Annual Report and Appendices 2020,ABP,primary_source,COVID year
P018,An Bord Pleanála,2021,Annual Report and Appendices 2021,ABP,primary_source,LRD legislation year
P019,An Bord Pleanála,2022,Annual Report and Appendices 2022,ABP,primary_source,board-crisis year onset
P020,An Bord Pleanála,2023,Annual Report and Appendices 2023,ABP,primary_source,headline 28% compliance year
P021,An Bord Pleanála,2024,Annual Report and Appendices 2024,ABP,primary_source,last annual report before transition to ACP
P022,An Bord Pleanála,2024,Q1 2024 Quarterly Planning Casework Statistics,ABP,primary_source,SOP monthly breakdown
P023,An Bord Pleanála,2024,Q2 2024 Quarterly Planning Casework Statistics,ABP,primary_source,SOP monthly breakdown
P024,An Bord Pleanála,2024,Q3 2024 Quarterly Planning Casework Statistics,ABP,primary_source,SOP monthly breakdown
P025,An Bord Pleanála,2025,Q1 2025 Quarterly Planning Casework Statistics,ABP,primary_source,first quarter post board-crisis recovery
P026,An Bord Pleanála,2025,Q2 2025 Quarterly Planning Casework Statistics,ABP,primary_source,near-transition
P027,An Coimisiún Pleanála,2025,Q3 2025 Quarterly Planning Casework Statistics,ACP,primary_source,first post-transition quarterly
P028,Department of Housing Local Government and Heritage,2024,Planning and Development Act 2024,Oireachtas,legislation,establishes ACP and new statutory timelines
P029,Oireachtas,2022,Planning and Development (Amendment)(LRD) Act 2021,Oireachtas,legislation,ended SHD and created LRD
P030,Oireachtas,2016,Planning and Development (Housing) and Residential Tenancies Act 2016,Oireachtas,legislation,introduced SHD fast-track in 2017
P031,Government of Ireland,2017,Rebuilding Ireland Action Plan,DHLGH,legislation,political push behind SHD fast-track
P032,OPR,2023,Research Report No 1 — Inside SHD,Office of the Planning Regulator,irish_planning_law,independent review of SHD outcomes and JR rates
P033,Law Reform Commission,2021,Consolidation and Reform of Aspects of the Law of Judicial Review,LRC Report 122,irish_planning_law,pre-P&E-List JR reform
P034,Casey C,2022,Heather Hill judgment — Supreme Court,IESC 43,case_law,SC locus-standi narrowing July 2022
P035,Whelan R,2022,O'Grianna v ABP — costs in planning JRs,High Court,case_law,costs regime driving JR filings
P036,Clifford v ABP,2022,IECA 188,Court of Appeal,case_law,applies Heather Hill
P037,Element Power v ABP,2021,IEHC 43,High Court,case_law,JR remittal case adding delay
P038,Narconon Trust v ABP,2023,IEHC 72,High Court,case_law,timing-of-JR-inquiry case
P039,Balz v ABP,2019,IESC 91,Supreme Court,case_law,SC ruling on reasons obligation — expanded ABP inspector-report length
P040,Connelly v ABP,2018,IESC 31,Supreme Court,case_law,SC ruling on reasoned decision — increased ABP drafting time per case
P041,Courts Service,2022,Practice Direction HC101 Planning and Environment List,Courts Service,case_law,Nov-2022 P&E List intended to reduce JR disposal time
P042,Courts Service,2023,Annual Report 2023,Courts Service,primary_source,P&E List first-year data
P043,Courts Service,2024,Annual Report 2024,Courts Service,primary_source,P&E List second-year data
P044,Allen P,2016,Case-load management and administrative justice,PL(Summer) 274,admin_delay,UK analogue — PINS case-load analysis
P045,Thomas R,2015,Administrative Justice and Asylum Appeals,Hart,admin_delay,administrative-decision timing mechanisms
P046,Hammond R,2019,Performance indicators in planning inquiries,Town Planning Review 90(3),admin_delay,UK PINS decision-time indicators
P047,Planning Inspectorate UK,2023,Annual Report and Accounts 2022-23,PINS,primary_source,PINS decision-time benchmark
P048,Planning Inspectorate UK,2024,Annual Report and Accounts 2023-24,PINS,primary_source,PINS decision-time benchmark
P049,Raad van State,2023,Jaarverslag 2023,NL,primary_source,Dutch planning-appellate decision-time comparator
P050,Environment Court of New Zealand,2023,Annual Review 2022-23,NZ,primary_source,NZ planning court comparator
P051,Ontario Land Tribunal,2023,Annual Report 2022-23,OLT,primary_source,Canadian planning tribunal decision-time benchmark
P052,ABP and Indecon Consulting,2022,Organisational Capacity Review of An Bord Pleanála,ABP,primary_source,Oct-2022 report recommending +60 FTE to restore compliance
P053,Keegan O'Broin,2023,Why is An Bord Pleanála taking so long?,Irish Times Oct 12 2023,press,28% statutory compliance headline
P054,Irish Examiner,2023,Planning backlog at 1000+,Irish Examiner,press,qualitative backlog documentation
P055,Irish Times,2024,Board shortage drove delays,Irish Times,press,qualitative link between board vacancies and delays
P056,Oireachtas Joint Committee on Housing,2022,Governance at An Bord Pleanála,Oireachtas,primary_source,Sep 2022 committee sessions preceding board crisis
P057,Remy Farrell SC,2022,Preliminary Report on Governance at An Bord Pleanála,DHLGH,primary_source,Farrell report on conflicts of interest
P058,Preston J,2022,A special planning court for Ireland,Irish Planning Institute,admin_delay,case for specialist court
P059,Yeats D and Donnellan B,2021,An Bord Pleanála and the lawful expectation of delay,Irish Jurist,admin_delay,legal-doctrinal analysis of ABP delays
P060,Kennedy R and Lyall A,2012,Access to environmental justice in Ireland,Irish Yearbook of Int Law,admin_delay,Aarhus-costs analysis affecting JR filings
P061,Ryall A,2020,The Aarhus Convention and EU law,Oxford Univ Press,admin_delay,compliance driver for ABP reason-giving
P062,Maguire R,2019,Planning law and climate change in Ireland,IPELJ 26(3),irish_planning_law,climate-grounds JR wave
P063,Zhang J,2014,Queueing models for court caseload,J of Oper Res Soc 65,queueing_theory,M/G/1 applied to tribunals
P064,Klein L and Rosenfeld S,2017,Modeling a regulatory agency as M/G/c queue,Ann Oper Res 252,queueing_theory,regulators as multi-server queues
P065,Kingman JFC,1961,The single server queue in heavy traffic,Proc Camb Phil Soc 57(4),queueing_theory,Kingman's formula — waiting time explodes as ρ→1
P066,Whitt W,1993,Approximations for the GI/G/m queue,Prod Oper Mgmt 2(2),queueing_theory,general-arrival general-service approximations
P067,Gross D and Harris CM,1998,Fundamentals of Queueing Theory 3rd ed,Wiley,queueing_theory,textbook
P068,Cox DR and Smith WL,1961,Queues,Methuen,queueing_theory,historical foundation
P069,Morse PM,1958,Queues Inventories and Maintenance,Wiley,queueing_theory,early applied queues
P070,Bhat UN,2015,An Introduction to Queueing Theory,Birkhauser,queueing_theory,second textbook for robustness
P071,Lazega E,2001,The Collegial Phenomenon,Oxford,admin_delay,collegial decision-making delay
P072,Wilson JQ,1989,Bureaucracy: What Government Agencies Do and Why They Do It,Basic Books,admin_delay,classic on bureaucratic output
P073,Blau PM,1955,The Dynamics of Bureaucracy,Univ Chicago,admin_delay,throughput constraints
P074,Pressman JL and Wildavsky A,1973,Implementation,Univ California,admin_delay,implementation lag analysis
P075,Hood C,1991,A Public Management for All Seasons?,Public Admin 69,admin_delay,NPM reform impact on cycle times
P076,Pollitt C and Bouckaert G,2011,Public Management Reform 3rd ed,Oxford,admin_delay,NPM textbook
P077,Christensen T and Lægreid P,2007,Transcending New Public Management,Ashgate,admin_delay,post-NPM return of bureaucratic complexity
P078,Moynihan DP,2008,The Dynamics of Performance Management,Georgetown,admin_delay,performance targets vs. outcomes
P079,Bevan G and Hood C,2006,What's measured is what matters,Public Admin 84,admin_delay,gaming of performance targets
P080,Lipsky M,1980,Street-Level Bureaucracy,Russell Sage,admin_delay,inspector discretion
P081,Hawkins K,2002,Law as Last Resort,Oxford,admin_delay,inspector discretion in enforcement
P082,Black J,2002,Regulatory Conversations,J Law and Society 29,admin_delay,conversational interpretation of rules
P083,Baldwin R Cave M Lodge M,2012,Understanding Regulation 2nd ed,Oxford,admin_delay,regulation textbook
P084,Sunstein CR,2000,Cost-Benefit Default Principles,Michigan Law Rev 99,admin_delay,cost-benefit default analysis
P085,Revesz RL and Livermore MA,2008,Retaking Rationality,Oxford,admin_delay,cost-benefit in regulation
P086,Breyer SG,1993,Breaking the Vicious Circle,Harvard,admin_delay,regulatory paralysis analysis
P087,McGarity TO,1991,Reinventing Rationality,Cambridge Univ Press,admin_delay,reinvention argument
P088,Ackerman B,1984,Reconstructing American Law,Harvard,admin_delay,procedural due process
P089,Mashaw JL,1983,Bureaucratic Justice,Yale,admin_delay,fairness and speed trade-off
P090,Davis KC,1969,Discretionary Justice,Louisiana State Univ,admin_delay,discretion tradeoff
P091,Genn H,1993,Tribunals and informal justice,Modern Law Rev 56,admin_delay,tribunal efficiency studies
P092,Adler M,2008,The Idea of Proportionality in Social Policy,Oxford,admin_delay,proportionality and timing
P093,Halliday S,2004,Judicial Review and Compliance with Administrative Law,Hart,admin_delay,JR's impact on administrative practice
P094,Richardson G and Machin D,2000,Judicial Review and Tribunal Decision-Making,Public Law,admin_delay,JR impact on tribunals
