id,title,authors,year,type,domain,subcategory,method,key_finding,hypothesis_generated,relevance
1,Quantum Computation and Quantum Information (10th Anniv Ed.),"Nielsen, M.A.; Chuang, I.L.",2010,textbook,fundamentals,qec_basics,analytic,Canonical textbook Chapter 10 stabilizer formalism CSS 9-qubit Shor code,Reference for all stabilizer-code arguments,5
2,Quantum Error Correction (Cambridge),"Lidar, D.A.; Brun, T.A. (eds.)",2013,textbook,fundamentals,edited_review,analytic,Edited volume covering stabilizer topological subsystem and DFS codes,Canonical reference for operator QEC,5
3,Stabilizer Codes and Quantum Error Correction (PhD thesis),"Gottesman, D.",1997,textbook,fundamentals,stabilizer,analytic,Stabilizer formalism Clifford hierarchy fault-tolerance constructions,Core framework,5
4,Lecture Notes on Quantum Information,"Preskill, J.",2024,textbook,fundamentals,pedagogical,analytic,Preskill online QIT lecture notes; Chapter 7 QEC,Pedagogical reference,4
5,Computational Complexity: A Modern Approach,"Arora, S.; Barak, B.",2009,textbook,complexity,complexity_textbook,analytic,Canonical complexity textbook covering BQP P NP PSPACE,Complexity-class context for Shor,4
6,The Design and Analysis of Computer Algorithms,"Aho, A.V.; Hopcroft, J.E.; Ullman, J.D.",1974,textbook,algorithms,algorithms_textbook,analytic,Classical algorithms textbook covering matching graph algorithms,Data structures for MWPM,4
7,Introduction to Algorithms (CLRS),"Cormen, T.H.; Leiserson, C.E.; Rivest, R.L.; Stein, C.",2009,textbook,algorithms,algorithms_textbook,analytic,Modern algorithms textbook covering graph matching and union-find,Blossom and UF algorithm references,4
8,Low-density parity-check codes,"Gallager, R.G.",1963,textbook,classical_coding,ldpc_foundation,analytic,Foundational LDPC codes and sum-product decoding,Classical BP origin,5
9,Modern Coding Theory,"Richardson, T.; Urbanke, R.",2008,textbook,classical_coding,ldpc_textbook,analytic,Canonical textbook for iterative LDPC decoding,Reference for BP theory,4
10,Information Theory Inference and Learning Algorithms,"MacKay, D.J.C.",2003,textbook,classical_coding,info_theory,analytic,MacKay textbook covering BP + LDPC,Pedagogical BP reference,3
11,Elements of Information Theory,"Cover, T.; Thomas, J.",2006,textbook,classical_coding,info_theory,analytic,Canonical info-theory textbook,MAP/ML decoding intuition,3
12,Quantum Error Correction (review),"Terhal, B.M.",2015,review,fundamentals,memory_review,analytic,Comprehensive review of QEC for quantum memories,Organising scaffold,5
13,Topological quantum memory,"Dennis, E.; Kitaev, A.; Landahl, A.; Preskill, J.",2002,paper,fundamentals,topological,analytic,First analysis of surface-code thresholds via random-bond Ising model,Foundational for surface code,5
14,Fault-tolerant quantum computation by anyons,"Kitaev, A.",2003,paper,fundamentals,topological,analytic,Toric surface code and topological protection,Foundational,5
15,Surface codes: Towards practical large-scale quantum computation,"Fowler, A.G.; Mariantoni, M.; Martinis, J.M.; Cleland, A.N.",2012,review,surface_code,review,analytic,Canonical surface-code architecture review threshold ~1% MWPM circuit noise,Baseline surface-code architecture,5
16,Fault-tolerant quantum computation with constant error rate,"Aharonov, D.; Ben-Or, M.",1997,paper,fundamentals,threshold,analytic,Threshold theorem via concatenated codes,Foundational,5
17,Resilient quantum computation,"Knill, E.; Laflamme, R.; Zurek, W.",1998,paper,fundamentals,threshold,analytic,Independent threshold theorem proof,Foundational,4
18,Quantum error correction for beginners,"Devitt, S.J.; Munro, W.J.; Nemoto, K.",2013,review,fundamentals,pedagogical,analytic,Pedagogical QEC review,Teaching entry point,3
19,Quantum Error Correction review,"Brun, T.A.",2019,review,fundamentals,pedagogical,analytic,Pedagogical QEC review arXiv:1910.03672,Teaching-level entry,4
20,Good Quantum Codes with Low-Weight Stabilizers,"Panteleev, P.; Kalachev, G.",2022,paper,qldpc,asymptotic,construction,First asymptotically good qLDPC codes arXiv:2111.03654,Ends 25-year open problem,5
21,Quantum Tanner codes,"Leverrier, A.; Zemor, G.",2022,paper,qldpc,asymptotic,construction,Simplified good qLDPC via left-right Cayley complex,Simpler proof,4
22,Decoding quantum Tanner codes,"Leverrier, A.; Zemor, G.",2022,paper,qldpc,decoder,analytic,Linear-time decoder for q-Tanner codes,Decoder for asymptotically good codes,4
23,High-threshold and low-overhead fault-tolerant quantum memory (BB code),"Bravyi, S.; Cross, A.; Gambetta, J.; Maslov, D.; Rall, P.; Yoder, T.",2024,paper,qldpc,bivariate_bicycle,simulation,IBM [[144,12,12]] bivariate bicycle code ~0.8% threshold Nature,Anchor paper for low-overhead qLDPC,5
24,Quantum LDPC codes with almost linear time decoders,"Leverrier, A.; Londe, V.; Zemor, G.",2022,paper,qldpc,decoder,analytic,Small-set-flip decoder for quantum expander codes,qLDPC decoder landscape,3
25,Degenerate Quantum LDPC Codes With Good Finite Length Performance (BP+OSD),"Panteleev, P.; Kalachev, G.",2019,paper,qldpc,decoder,simulation,Introduces BP+OSD for qLDPC several-orders-of-magnitude improvement arXiv:1904.02703,BP+OSD is gold standard for qLDPC,5
26,Decoding across the quantum LDPC code landscape,"Roffe, J.; White, D.R.; Burton, S.; Campbell, E.T.",2020,paper,qldpc,decoder,simulation,Extensive BP+OSD benchmarking across qLDPC families,BP+OSD generalises empirically,4
27,Stim: a fast stabilizer circuit simulator,"Gidney, C.",2021,software,simulator,stabilizer,numerical,SIMD-vectorised stabilizer simulator arXiv:2103.02202,Baseline simulator for QEC,5
28,PyMatching v2: library for decoding QEC with MWPM,"Higgott, O.; Gidney, C.",2023,software,decoder,mwpm,numerical,Sparse-blossom CPU MWPM ~1M err/core-s arXiv:2303.15933,Baseline MWPM decoder,5
29,Sinter: Monte Carlo sampler for QEC circuits,"Gidney, C.",2023,software,decoder_sampler,driver,numerical,Driver for Stim + PyMatching Monte Carlo benchmarking,Standard workflow driver,4
30,CUDA-Q QEC: NVIDIA open-source QEC library,"NVIDIA",2024,software,simulator,gpu_qec,numerical,GPU BP+OSD with 29-35x single-shot speedup,Primary GPU BP+OSD tool,5
31,CUDA-Q QEC 0.6 enables real-time QEC with NVQLink,"NVIDIA",2026,blog,software,gpu_qec,release_notes,0.6 release RelayBP 19x further speedup Ising predecoder + PyMatching hybrid pipeline 2us/cycle on B300,Current GPU QEC state of the art,5
32,Surface code break-even (Google Quantum AI),"Google Quantum AI",2023,paper,experiment,surface_code,experiment,First break-even demonstration Nature 614 676,First break-even milestone,5
33,Quantum error correction below the surface code threshold (Willow),"Google Quantum AI",2024,paper,experiment,surface_code,experiment,Distance-7 surface on 105-qubit Willow suppression factor ~2 per two distances,Benchmark below-threshold device,5
34,Learning high-accuracy error decoding (AlphaQubit),"Bausch, J.; Senior, A.W.; Heras, F.J.H.; et al.",2024,paper,ml_decoder,transformer,learning,Transformer+recurrent decoder 6% fewer errors than TN,Neural decoder SOTA,5
35,Logical quantum processor based on reconfigurable atom arrays,"Bluvstein, D.; et al. (Harvard/QuEra/MIT)",2024,paper,experiment,neutral_atom,experiment,48 logical qubits with multiple codes on 448 atoms,Anchor for neutral-atom QEC,5
36,Dynamically Generated Logical Qubits (honeycomb Floquet),"Hastings, M.B.; Haah, J.",2021,paper,floquet,construction,analytic,Honeycomb code subsystem with dynamic logicals,Opens Floquet family,5
37,Surface code quantum computing by lattice surgery,"Horsman, D.; Fowler, A.G.; Devitt, S.; Van Meter, R.",2012,paper,lattice_surgery,universal,analytic,Lattice surgery merge/split surface patches,Basis for surface-code compilers,5
38,A Game of Surface Codes (Litinski PBC),"Litinski, D.",2019,paper,lattice_surgery,compilation,analytic,Pauli-based computation Quantum 3 128,Primary resource-estimation framework,5
39,Magic State Distillation: Not as Costly as You Think,"Litinski, D.",2019,paper,magic_state,distillation,simulation,~10x magic-state overhead reduction via block distillation,Canonical distillation protocol,4
40,Magic state cultivation,"Gidney, C.; Shutty, N.; Jones, C.",2024,preprint,magic_state,cultivation,simulation,Magic-state infidelity 2e-9 at ~1 T-equivalent qubit-round arXiv:2409.17595,Changes FTQC overhead accounting,5
41,Universal quantum computation with ideal Clifford gates and noisy ancillas,"Bravyi, S.; Kitaev, A.",2005,paper,magic_state,distillation,analytic,Canonical magic-state distillation,Foundational for T cost,5
42,High-threshold universal quantum computation on the surface code,"Fowler, A.G.; Stephens, A.M.; Groszkowski, P.",2009,paper,surface_code,universal,analytic,Fully explicit surface-code architecture ~1.1% threshold,Historical anchor,4
43,Using Azure Quantum Resource Estimator,"Beverland, M.E.; et al.",2023,software,resource_estimation,azure,estimate,Public Azure resource estimator,Primary tool for overhead comparison,5
44,Assessing requirements to scale to practical quantum advantage,"Beverland, M.E.; Murali, P.; Troyer, M.; et al.",2022,preprint,resource_estimation,fault_tolerance,estimate,Microsoft RE framework arXiv:2211.07629,Detailed overhead accounting method,5
45,How to factor 2048 bit RSA integers in 8 hours using 20 million noisy qubits,"Gidney, C.; Ekerå, M.",2021,paper,resource_estimation,shor,estimate,Classic surface-code RSA estimate 20M qubits p=1e-3 Quantum 5 433,Historical anchor for RSA estimates,5
46,How to factor 2048 bit RSA integers with less than a million noisy qubits,"Gidney, C.",2025,preprint,resource_estimation,shor,estimate,Updated RSA estimate <1M qubits arXiv:2505.15917,Pre-registered algorithm for our project,5
47,Low-overhead fault-tolerant quantum computing using long-range connectivity,"Xu, Q.; Ataides, J.P.B.; Pattison, C.A.; Raveendran, N.; Bluvstein, D.; Wurtz, J.; Vasić, B.; Lukin, M.D.; Cong, I.",2024,paper,qldpc,connectivity,estimate,End-to-end qLDPC architecture on reconfigurable atom arrays arXiv:2308.08648,qLDPC-to-hardware bridge,5
48,Architecture for fast implementation of qLDPC codes with optimized Rydberg gates,"Viszlai, B.; et al.",2024,preprint,qldpc,neutral_atom,architecture,qLDPC via Rydberg gates arXiv:2404.18809,Neutral-atom qLDPC,3
49,GPU-Accelerated Belief Propagation for qLDPC codes,"Kim, S.; et al.",2025,preprint,decoder,gpu,algorithm,<63us decoding qLDPC GPU improved BP,Real-time decoder-speed milestone,4
50,Improved BP is sufficient for real-time decoding of quantum memory,"Authors (Google/Riverlane)",2025,preprint,decoder,bp,algorithm,BP alone with improvements enough for streaming arXiv:2506.01779,Challenges BP+OSD consensus,4
51,Machine learning message-passing for scalable decoding of qLDPC codes,"Authors",2025,paper,decoder,ml,learning,GNN-based message passing npj QI 2025,Mid-complexity ML decoder,3
52,Pipelined correlated MWPM of the surface code,"Higgott, O.; Bohdanowicz, T.C.; Kubica, A.; et al.",2023,paper,decoder,mwpm,algorithm,Correlated matching with FPGA pipelining Quantum 7 1205,Streaming MWPM,4
53,Riverlane Local Clustering Decoder hardware paper,"Riverlane authors",2025,paper,decoder,fpga,hardware,FPGA LCD <1us per round leakage-adaptive Nat Commun,SOTA hardware decoder,5
54,Demonstrating real-time and low-latency QEC with superconducting qubits,"Authors",2024,preprint,experiment,superconducting,experiment,arXiv:2410.05202 real-time stream demo,Real-time demonstration,4
55,Sparse blossom: correcting a million errors per core second,"Higgott, O.; Gidney, C.",2023,paper,decoder,mwpm,algorithm,PyMatching v2 internals 1M err/core-second arXiv:2303.15933,PyMatching v2 engine,4
56,Almost-linear time decoding algorithm for topological codes (Union Find),"Delfosse, N.; Nickerson, N.H.",2021,paper,decoder,union_find,algorithm,UF decoder near-linear time Quantum 5 595,Fast MWPM alternative,5
57,Union-find decoders for homological product codes,"Delfosse, N.; Hastings, M.B.",2021,paper,decoder,qldpc,algorithm,UF for homological-product codes,UF beyond 2D,3
58,FPGA-based distributed union-find decoder,"Authors",2024,preprint,decoder,fpga,hardware,Distributed UF on FPGA arXiv:2406.08491,Streaming UF,3
59,Fusion Blossom: Fast MWPM Decoders for QEC,"Wu, Y.; Zhong, L.",2023,preprint,decoder,mwpm,algorithm,Parallel fusion blossom arXiv:2305.08307,Parallel MWPM alternative,4
60,Micro-blossom: hardware-accelerated MWPM for QEC,"Wu, Y.",2025,preprint,decoder,fpga,hardware,Xilinx Zynq SoC MWPM decoder,Hardware MWPM baseline,3
61,Almost-optimal MWPM decoding algorithm,"Fowler, A.G.",2013,paper,decoder,mwpm,algorithm,O(N) serial O(1) parallel MWPM (unreleased) arXiv:1307.1740,Fowler sparse MWPM origin,4
62,Fowler correlated matching,"Fowler, A.G.",2013,paper,decoder,correlated,algorithm,Correlated matching for surface code,Correlated MWPM baseline,4
63,PyMatching: A Python package for decoding with MWPM (v1),"Higgott, O.",2022,software,decoder,mwpm,tool,PyMatching v1 ACM TQC,Standard MWPM package,5
64,Real-Time Decoding for Fault-Tolerant Quantum Computing,"Terhal, B.M.; et al.",2023,review,decoder,realtime_review,review,Real-time decoding review arXiv:2303.00054,Real-time decoder review,5
65,A real-time scalable fast highly resource-efficient decoder for quantum computer,"Riverlane authors",2023,preprint,decoder,realtime,hardware,Riverlane real-time decoder flagship arXiv:2309.05558,Riverlane flagship,4
