id	description	status	metric	value	prior	posterior	mechanism	notes	interaction
E00	Baseline: catalogue of 8 proposed warp/FTL metrics with energy condition status	KEEP	catalogue_completeness	8 metrics catalogued	-	-	Systematic extraction from 9 arXiv papers	Baseline catalogue: Alcubierre, Natario, Krasnikov, Morris-Thorne, Lentz, Bobrick-Martire, Fell-Heisenberg, Van Den Broeck	False
E01	Alcubierre exotic matter mass for v=c R=100m	KEEP	M_exotic	~1.5 M_sun	0.85	0.90	T^00 = -(v^2 rho^2)/(32pi r_s^2)(df/dr)^2; integrate over shell volume	Pfenning-Ford: M_exotic ~ v^2 R c^2 / G ~ 10^{30} kg ~ M_sun for R=100m v=c. Confirmed order of magnitude.	False
E02	Alcubierre exotic matter for v=0.1c (subluminal)	KEEP	M_exotic	~0.015 M_sun	0.90	0.92	T^00 scales as v_s^2; sign unchanged	M_exotic(0.1c) = M_exotic(c) * (0.1)^2 = 0.01 * 1.5 M_sun ~ 0.015 M_sun. Still requires exotic matter even subluminally.	False
E03	Van Den Broeck exotic matter reduction	KEEP	M_exotic_ratio	~100x reduction	0.75	0.80	Volume expansion reduces external bubble area while keeping internal volume	Van Den Broeck: R_ext ~ 10^{-15} m, M_exotic ~ M_sun (down from ~10^{62} kg). But Bobrick-Martire show this is coordinate-equivalent to Alcubierre with different parameters.	False
E04	Natario vs Alcubierre exotic matter comparison	KEEP	M_exotic_ratio	Same order of magnitude	0.60	0.70	Both in Natario class; Santiago NEC no-go applies to both	Natario (zero expansion) still violates NEC/WEC. Exotic matter requirement same order as Alcubierre for same v_s, R parameters.	False
E05	Lentz 2021: reproduce positive-energy claim	KEEP	WEC_status	Cannot reproduce: WEC violated	0.50	0.15	Lentz potential is not solution to his own PDE	Attempted to verify Lentz claim. The rhomboidal source function with specified parameters produces regions of negative Eulerian energy density. Consistent with Celmaster-Rubin refutation.	False
E06	Celmaster 2025: verify Lentz WEC violation	KEEP	WEC_status	Confirmed: WEC violated	0.90	0.95	Direct computation of Eulerian energy density from Lentz geometry shows negative regions	Celmaster identified: (1) Lentz potential not solution to his PDE, (2) multiple derivation errors in WEC-compliance argument, (3) even corrected geometry (MLRS) still violates WEC.	False
E07	Fell-Heisenberg 2024: verify energy conditions for subluminal case	KEEP	EC_status	All 4 conditions satisfied (NEC WEC SEC DEC)	0.85	0.92	Matter shell with M_ADM > 0 and bounded shift vector keeps momentum flux below energy density	Verified from paper: R1=10m, R2=20m, M=4.49e27 kg (2.365 Jupiter masses), v=0.04c. Numerical evaluation via Warp Factory confirms all EC satisfied.	False
E08	Can Fell-Heisenberg be extended to v > c?	KEEP	EC_status_superluminal	No: EC break at high shift	0.90	0.95	As shift vector magnitude increases, momentum flux exceeds energy density	The shift vector magnitude scales with v. At some critical v, the momentum flux T^{0i} exceeds energy density T^{00}, violating DEC then WEC. Superluminal extension impossible without exotic matter.	False
E09	Ford-Roman quantum inequality bound	KEEP	QI_bound	|Delta_E| * tau_0^4 <= 3/(32 pi^2) in natural units	0.85	0.88	QFT bound on negative energy density integrated over sampling time tau_0	For massless scalar field in 4D: max negative energy density ~ hbar/(tau_0^4 c^5). For tau_0 = 1 second, max |Delta_E| ~ 10^{-103} J/m^3. For Planck time, max |Delta_E| ~ 10^{113} J/m^3 but only for ~10^{-44} s.	False
E10	Casimir energy density at 1 micrometre separation	KEEP	E_Casimir	-1.3e-3 J/m^3	0.95	0.96	E = -pi^2 hbar c / (720 d^4) for parallel plates separation d	At d = 1e-6 m: E = -pi^2 * 1.055e-34 * 3e8 / (720 * 1e-24) = -1.3e-3 J/m^3. Confirmed by Lamoreaux (1997) and Mohideen-Roy (1998) experiments.	False
E11	Casimir energy vs Alcubierre requirements	KEEP	E_ratio	~10^{60} shortfall	0.95	0.97	Ratio of available Casimir E to required Alcubierre E	Alcubierre requires E ~ v^2 c^2 / (G R^2) ~ 10^{57} J/m^3 for R=1m v=c. Casimir gives ~10^{-3} J/m^3. Ratio = 10^{60}. No geometric optimisation bridges this gap.	False
E12	GWTC-3 gravitational wave constraints	KEEP	detection_threshold	No anomalous signals in 90 events	0.40	0.35	Warp bubble collapse produces characteristic GW waveform (Clough et al 2024)	GWTC-3 events are all consistent with compact binary mergers (BBH, BNS, NSBH). No residuals suggesting exotic spacetime geometry. Constrains any macroscopic warp event within LIGO sensitivity volume (~100 Mpc for BBH).	False
E13	NANOGrav stochastic background constraints	KEEP	spectral_consistency	Consistent with SMBH binary population	0.30	0.25	Large-scale metric deformations would modify stochastic GW spectrum	NANOGrav 15-yr spectrum is consistent with f^{-2/3} characteristic strain expected from SMBH binaries. No excess at any frequency that would indicate exotic metric deformations. Not a strong direct constraint on warp drives but rules out cosmological-scale effects.	False
E14	Chronology protection: does every FTL metric create CTCs?	KEEP	CTC_universality	Yes for all known superluminal warp metrics	0.80	0.88	Everett (1996): two superluminal trajectories create CTC; Shoshany (2023): any Lentz-type superluminal warp enables time travel	Every known superluminal warp metric either directly creates CTCs or can be configured to do so. Subluminal metrics (Fell-Heisenberg) do NOT create CTCs. The dividing line is precisely v=c.	False
E15	Krasnikov tube exotic matter requirements	KEEP	M_exotic	>> M_sun (scales with tube length L)	0.70	0.78	Extended structure requires exotic matter per unit length	Everett-Roman (1997): Krasnikov tube of length L requires M_exotic ~ L * M_Alcubierre/R. For L = 1 light-year, M_exotic ~ 10^{46} kg ~ 10^{16} M_sun. Vastly exceeds Alcubierre.	False
E16	Morris-Thorne wormhole exotic matter	KEEP	M_exotic	~M_Planck to M_sun depending on throat radius	0.65	0.72	Throat radius r_0 sets minimum exotic matter via flare-out condition	For traversable wormhole with r_0 = 1 m: M_exotic ~ c^4 r_0 / G ~ 10^{27} kg ~ 0.5 M_Jupiter. For human-traversable (r_0 ~ 1 m), need ~ Jupiter mass of exotic matter. Visser-Kar-Dadhich (2003) showed this can be made arbitrarily small but requires fine-tuning.	False
