id,title,authors,year,type,domain,subcategory,method,features_discussed,key_finding,hypothesis_generated,relevance
T1,"Introduction to Solid State Physics, 8th Ed.",Kittel C.,2005,textbook,solid_state_physics,band_theory;phonons;dielectrics,theory,"Clausius-Mossotti relation; Debye temperature; Fermi energy; band gap at zone boundary","Standard undergraduate solid state physics text; covers crystal structure, lattice dynamics, band theory, optical and dielectric properties","H1: Clausius-Mossotti polarizability features; H2: Debye temp from mass/bond; H3: Electronegativity difference for gap","mp_gap;mp_is_metal;expt_gap;expt_is_metal;phonons;dielectric;log_gvrh;log_kvrh"
T2,"Solid State Physics",Ashcroft N.W. and Mermin N.D.,1976,textbook,solid_state_physics,band_theory;phonons;dielectrics;transport,theory,"Tight-binding bandwidth; phonon DOS; Penn model for dielectric constant","Definitive graduate solid state physics text; rigorous treatment of band structure, phonons, dielectric response","H4: Penn model feature; H5: Coordination number + bond length for metallic character","mp_gap;mp_is_metal;expt_gap;expt_is_metal;phonons;dielectric"
T3,"Electronic Structure: Basic Theory and Practical Methods, 2nd Ed.","Martin R.M.",2020,textbook,electronic_structure,DFT;exchange_correlation;elastic;phonons,DFT,"PBE gap underestimation; VRH averaging; DFPT phonons and dielectric","Standard DFT textbook; covers Kohn-Sham equations, functionals, pseudopotentials, response functions, elastic constants","H6: DFT-convention valence electrons; H7: PBE gap ≠ experimental gap","All DFT-derived tasks"
T4,"Materials Science and Engineering: An Introduction, 10th Ed.","Callister W.D. Jr. and Rethwisch D.G.",2018,textbook,materials_science,mechanical_properties;band_theory;phase_diagrams,theory,"Hall-Petch equation; solid solution strengthening; rule of mixtures; bond energy curves","Most widely used undergrad MSE textbook; covers mechanical, electronic, optical, thermal properties","H8: Atomic size mismatch for steels; H9: Weighted-average moduli; H10: Electronegativity+radius for E_form","steels;log_gvrh;log_kvrh;mp_gap;mp_is_metal;mp_e_form"
T5,"Physical Metallurgy, 3rd Ed.",Haasen P.,1996,textbook,physical_metallurgy,defects;phase_transformations;mechanical_properties,theory,"Peierls stress; stacking fault energy; elastic anisotropy; precipitation strengthening","Graduate-level metallurgy; crystal defects, phase transformations, mechanical properties of metals","H11: d-electron count for SFE; H12: Crystal structure type for elastic moduli","steels;log_gvrh;log_kvrh;glass"
T6,"Phase Transformations in Metals and Alloys, 3rd Ed.","Porter D.A., Easterling K.E., and Sherif M.Y.",2009,textbook,physical_metallurgy,phase_transformations;nucleation;glass_formation,theory,"Gibbs free energy of mixing; ideal entropy of mixing; Turnbull reduced glass transition temperature; critical cooling rate","Definitive text on phase transformations; covers nucleation, solidification, diffusion, glass formation","H13: Configurational entropy for GFA; H14: Liquidus temp + Tg for GFA; H15: Miedema enthalpy for E_form and GFA","glass;steels;mp_e_form"
T7,"Introduction to Computational Materials Science",LeSar R.,2013,textbook,computational_materials_science,DFT;MD;elastic;phonons,computational,"EOS fitting for bulk modulus; elastic constants from DFT; phonons from DFPT; CALPHAD","Bridges traditional MSE theory with computational methods; DFT, MD, Monte Carlo, phase diagrams",,"All DFT-derived tasks"
T8,"Introduction to Glass Science and Technology, 2nd Ed.",Shelby J.E.,2005,textbook,glass_science,glass_formation;viscosity;structure,theory,"Inoue's 3 rules; Zachariasen's rules; VFT equation; fragility","Standard glass science textbook; glass formation theory, structure, viscosity, properties","H16: Inoue's rules as features; H17: Atomic size dispersion for GFA","glass;dielectric;log_gvrh;log_kvrh"
T9,"Thermodynamics in Materials Science, 2nd Ed.",DeHoff R.T.,2006,textbook,thermodynamics,formation_energy;phase_equilibria;solution_models,theory,"Born-Haber cycle; Miedema model; regular solution model; Hildebrand parameter","Comprehensive materials thermodynamics; solution theory, phase equilibria, reaction thermodynamics","H18: Miedema enthalpy for E_form; H19: Born-Haber components for mp_e_form","mp_e_form;perovskites;glass"
T10,"Fundamentals of Semiconductors, 4th Ed.","Yu P.Y. and Cardona M.",2010,textbook,semiconductor_physics,band_gaps;dielectric;phonons;optical,theory,"Penn model; Moss relation; Ravindra relation; Phillips ionicity; Vegard's law","Definitive semiconductor physics text; band structure, optical properties, phonons, transport","H20: Penn model top-3 for dielectric; H21: Moss/Ravindra link gap and n; H22: Phillips ionicity","mp_gap;expt_gap;dielectric;phonons"
