id,title,authors,year,venue,doi_or_url,theme,notes
1,The Geographic Determinants of Housing Supply,Saiz A.,2010,Quarterly Journal of Economics 125(3) 1253-1296,10.1162/qjec.2010.125.3.1253,economics-supply,Seminal MSA-level supply-elasticity paper; shows physical + regulatory constraints jointly shape elasticity
2,A New Measure of the Local Regulatory Environment for Housing Markets: The Wharton Residential Land Use Regulatory Index,"Gyourko J.; Saiz A.; Summers A.",2008,Urban Studies 45(3) 693-729,10.1177/0042098007087341,regulation-index,"Original WRLURI from 2006 survey; single factor-analysed index; 2000+ jurisdictions"
3,The local residential land use regulatory environment across U.S. housing markets: Evidence from a new Wharton index,"Gyourko J.; Hartley J.S.; Krimmel J.",2021,Journal of Urban Economics 124 103337,10.1016/j.jue.2021.103337,regulation-index,2018 WRLURI update; 2500 communities; first panel of regulatory change
4,The Impact of Local Residential Land Use Restrictions on Land Values Across and Within Single Family Housing Markets,"Gyourko J.; Krimmel J.",2021,Journal of Urban Economics 126 103374,10.1016/j.jue.2021.103374,economics-supply,Zoning tax computed from land value gradient; large regulatory premium in coastal metros
5,The Economic Implications of Housing Supply,"Glaeser E.L.; Gyourko J.",2018,Journal of Economic Perspectives 32(1) 3-30,10.1257/jep.32.1.3,economics-supply,Regulatory tax framework; price-vs-cost gap measures implicit tax of regulation
6,Housing Constraints and Spatial Misallocation,"Hsieh C.-T.; Moretti E.",2019,American Economic Journal: Macroeconomics 11(2) 1-39,10.1257/mac.20170388,economics-supply,Estimates supply constraints lowered aggregate US growth from 1964-2009
7,Why Have Housing Prices Gone Up?,"Glaeser E.L.; Gyourko J.; Saks R.E.",2005,American Economic Review 95(2) 329-333,10.1257/000282805774669961,economics-supply,Post-1970 price growth attributed to increased difficulty of regulatory approval
8,The Impact of Building Restrictions on Housing Affordability,"Glaeser E.L.; Gyourko J.",2003,Economic Policy Review (FRB New York) 9(2) 21-39,https://www.newyorkfed.org/medialibrary/media/research/epr/03v09n2/0306glae.pdf,economics-supply,Construction-cost vs price comparison; NYC and coastal California diverge strongly
9,The Impact of Zoning on Housing Affordability,"Glaeser E.L.; Gyourko J.",2003,NBER Working Paper 8835,https://www.nber.org/papers/w8835,economics-supply,Argues most US price-above-cost gap driven by regulation not demand
10,Why is Manhattan So Expensive? Regulation and the Rise in House Prices,"Glaeser E.L.; Gyourko J.; Saks R.E.",2005,Journal of Law and Economics 48(2) 331-369,10.1086/429979,economics-supply,Manhattan case study; height limits and review hurdles drive premium
11,The Effects of Land-Use Regulation on the Price of Housing: What Do We Know? What Can We Learn?,"Quigley J.M.; Rosenthal L.A.",2005,Cityscape 8(1) 69-137,https://www.huduser.gov/periodicals/cityscpe/vol8num1/ch3.pdf,regulation-review,Seminal literature review; permit delay as a regulatory channel for price increase
12,Regulation and the High Cost of Housing in California,"Quigley J.M.; Raphael S.",2005,American Economic Review 95(2) 323-328,10.1257/000282805774670293,regulation-california,California-specific evidence on regulation and price
13,The causes and consequences of land use regulation: Evidence from Greater Boston,"Glaeser E.L.; Ward B.A.",2009,Journal of Urban Economics 65(3) 265-278,10.1016/j.jue.2008.06.003,economics-supply,Massachusetts minimum lot sizes reduce construction; effects are local not regional
14,Land use regulation and new construction,"Mayer C.J.; Somerville C.T.",2000,Regional Science and Urban Economics 30(6) 639-662,10.1016/S0166-0462(00)00055-7,economics-supply,44 metro panel; permit delays/controls lower steady-state construction and price elasticity
15,The effect of land use regulation on housing and land prices,"Ihlanfeldt K.R.",2007,Journal of Urban Economics 61(3) 420-435,10.1016/j.jue.2006.09.003,economics-supply,100+ Florida cities; restrictiveness raises house prices and lowers land prices
16,Do land use regulations stifle residential development? Evidence from California cities,"Jackson K.",2016,Journal of Urban Economics 91 45-56,10.1016/j.jue.2015.11.004,regulation-california,Instrumented panel of California regulations; negative effect on housing permits
17,Land Use Regulation and Welfare,"Turner M.A.; Haughwout A.; van der Klaauw W.",2014,Econometrica 82(4) 1341-1403,10.3982/ECTA9823,economics-supply,Boundary-discontinuity decomposition: own-lot/external/supply effects
18,Local Land Use Regulation and the Chain of Exclusion,"Pendall R.",2000,Journal of the American Planning Association 66(2) 125-142,10.1080/01944360008976094,regulation-inequity,Low-density-only zoning reduces rental supply and minority population shares
19,Density Zoning and Class Segregation in U.S. Metropolitan Areas,"Rothwell J.; Massey D.S.",2010,Social Science Quarterly 91(5) 1123-1143,10.1111/j.1540-6237.2010.00724.x,regulation-inequity,Zoning restrictiveness causally increases income segregation
20,Regulation and Housing Supply,"Gyourko J.; Molloy R.",2015,Handbook of Regional and Urban Economics Vol 5B Ch 19 1289-1337,10.1016/B978-0-444-59531-7.00019-3,regulation-review,Comprehensive Handbook chapter on theory and evidence of regulatory impact on housing supply
21,The effect of housing supply regulation on housing affordability: A review,"Molloy R.",2020,Regional Science and Urban Economics 80 103350,10.1016/j.regsciurbeco.2018.03.007,regulation-review,Fed review: modest effect of regulation on rents but large on sale prices
22,Housing Supply and Affordability: Evidence from Rents Housing Consumption and Household Location,"Molloy R.; Nathanson C.G.; Paciorek A.",2020,FEDS Working Paper 2020-044,10.17016/FEDS.2020.044,regulation-review,Fed working paper on cross-metro rents
23,Why Has Regional Income Convergence in the U.S. Declined?,"Ganong P.; Shoag D.",2017,Journal of Urban Economics 102 76-90,10.1016/j.jue.2017.07.002,economics-supply,"Housing regulation severed the link between income growth and migration; slowed convergence"
24,Interjurisdictional Effects of Growth Controls on Housing Prices,"Katz L.; Rosen K.T.",1987,Journal of Law and Economics 30(1) 149-160,10.1086/467132,economics-supply,Bay Area growth controls raise house prices by 17-38%
25,The Homevoter Hypothesis,"Fischel W.A.",2001,Harvard University Press,ISBN 978-0674015951,textbook,Theoretical framework: home-value-maximising voters drive zoning restrictiveness
26,Triumph of the City,"Glaeser E.L.",2011,Penguin Press,ISBN 978-1594202773,textbook,Ch 6 on regulation and height limits; Manhattan vs Houston contrast
27,On the Housing Crisis: Land Development Democracy,"Demsas J.",2024,Atlantic Editions / Zando,ISBN 978-1638931966,book-essays,Collection on US local-democracy origins of the housing crisis
28,Alternatives to Zoning: Covenants Nuisance Rules and Fines as Land Use Controls,"Ellickson R.C.",1973,University of Chicago Law Review 40(4) 681-781,10.2307/1599220,legal-theory,Classic critique of mandatory zoning and case for private alternatives
29,The Zoning Strait-Jacket: Evidence from Silicon Valley Greater New Haven and Greater Austin,"Ellickson R.C.",2019,Stanford Law School Working Paper,https://law.stanford.edu/wp-content/uploads/2018/11/Robert-C.-Ellickson-The-Zoning-Strait-Jacket-Evidence-from-the-Silicon-Valley-Greater-New-Haven-and-Greater-Austin.pdf,legal-theory,Comparative study of three US metros including Austin permit environment
30,Lawyering Cities Into Housing Shortages: The Curious Case of Discretionary Review Under the San Francisco City Charter,"Elmendorf C.S.",2023,SSRN 4396188,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4396188,legal-sf,History and legal analysis of San Francisco's discretionary-review regime
31,When Super-Statutes Collide: CEQA the Housing Accountability Act and Tectonic Change in Land Use Law,"Elmendorf C.S.; Duncheon T.G.",2022,Ecology Law Quarterly 49(3),https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3980396,legal-california,CEQA vs HAA interaction; housing approvals litigation
32,Making It Work: Legal Foundations for Administrative Reform of California's Housing Framework,"Elmendorf C.S.; Biber E.; Monkkonen P.; O'Neill M.",2020,Ecology Law Quarterly 47(4),https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3500139,legal-california,RHNA enforcement and streamlining pathways
33,Beyond the Double Veto: Housing Plans as Preemptive Intergovernmental Compacts,"Elmendorf C.S.",2019,Hastings Law Journal 71(1) 79,https://repository.uclawsf.edu/hastings_law_journal/vol71/iss1/3/,legal-california,State-level preemption of local housing vetoes
34,Getting it Right: Examining the Local Land Use Entitlement Process in California to Inform Policy and Process,"O'Neill M.; Gualco-Nelson G.; Biber E.",2018,UC Law San Francisco / Berkeley report,https://www.semanticscholar.org/paper/86b1411805c351dbbc8b9df30280a0276bb3b5f9,empirical-california,"Project-level dataset across five Bay Area cities; CEQA lawsuits only 7 of 254 projects"
