id,title,authors,year,venue,url,category,relevance
P001,"Power System Stability and Control",Kundur P.,1994,McGraw-Hill,https://doi.org/10.1049/ep.1994.0319,textbook,Canonical reference for all power system stability phenomena
P002,"Power System Dynamics: Stability and Control",Machowski J. Bialek J. Bumby J.,2020,Wiley,https://doi.org/10.1002/9781119526346,textbook,Modern comprehensive treatment of electromechanical dynamics
P003,"Renewable Energy: Physics Engineering and Policy",Boyle G.,2012,Oxford University Press,https://global.oup.com/academic/product/9780199545339,textbook,Fundamentals of wind and solar generation physics
P004,"Electric Power Systems",Weedy B. Cory B. Jenkins N. Ekanayake J. Strbac G.,2012,Wiley,https://doi.org/10.1002/9781118361085,textbook,Standard UK/European power systems textbook
P005,"Power Electronics: Converters Applications and Design",Mohan N. Undeland T. Robbins W.,2003,Wiley,https://www.wiley.com/en-us/9780471226932,textbook,Reference for inverter control theory
P006,"Convex Optimization",Boyd S. Vandenberghe L.,2004,Cambridge University Press,https://web.stanford.edu/~boyd/cvvxbook/,textbook,Optimization foundations for OPF problems
P007,"Power System Analysis and Design",Glover J. Sarma M. Overbye T.,2017,Cengage,https://www.cengage.com/c/power-system-analysis-and-design-6e-glover/,textbook,Standard US power systems textbook including N-1 analysis
P008,"Grid-Forming Converters: State of the Art and Future Directions",Rosso R. Wang X. Liserre M. Lu X. Engelken S.,2021,IEEE Journal of Emerging and Selected Topics in Power Electronics,https://doi.org/10.1109/JESTPE.2021.3062949,review,Comprehensive review of grid-forming vs grid-following inverter control
P009,"A Review of Virtual Inertia Techniques for Renewable Energy-Based Power Systems",Fernandez-Guillimon A. Gomez-Lazaro E. Muljadi E. Molina-Garcia A.,2019,Renewable and Sustainable Energy Reviews,https://doi.org/10.1016/j.rser.2018.09.029,review,Synthetic inertia methods survey
P010,"Cascading Failure in Complex Networks",Buldyrev S. Parshani R. Paul G. Stanley H. Havlin S.,2010,Nature,https://doi.org/10.1038/nature08932,review,Foundational paper on interdependent network cascading failure theory
P011,"Power System Frequency Stability and Control: Survey of Literature and Industrial Practices",Eto J. et al.,2018,Lawrence Berkeley National Laboratory,https://doi.org/10.2172/1465978,review,DOE-funded comprehensive survey of frequency stability practices
P012,"Review of Voltage Stability Indices",Modarresi J. Gholipour E. Khodabakhshian A.,2016,Renewable and Sustainable Energy Reviews,https://doi.org/10.1016/j.rser.2016.01.016,review,Survey of all major voltage stability indices with comparison
P013,"A Survey on Cascading Failures in Power Systems",Vaiman M. et al.,2012,IEEE Transactions on Power Systems,https://doi.org/10.1109/TPWRS.2011.2169818,review,Foundational survey of cascading failure mechanisms in grids
P014,"Frequency Stability of Power Systems with High Penetrations of Renewables",Milano F. Dorfler F. Hug G. Hill D. Verbic G.,2018,Proceedings of the IEEE,https://doi.org/10.1109/JPROC.2018.2837880,review,Key review linking renewable penetration to frequency stability decline
P015,"Review of Challenges and Research Opportunities for Voltage Control in Smart Grids",Antoniadou-Plytaria K. Kouveliotis-Lysikatos I. Hatziargyriou N.,2017,IEEE Transactions on Smart Grid,https://doi.org/10.1109/TSG.2016.2597677,review,Voltage control challenges with distributed generation
P016,"System Strength and Security of Supply in High-Renewable Power Systems: A Review",Kenyon R. Bialek J.,2020,IEEE Access,https://doi.org/10.1109/ACCESS.2020.3040244,review,System strength metrics and minimum requirements
P017,"Review of System Strength and Short Circuit Ratio Definitions for Inverter-Based Resources",NERC,2023,NERC Technical Report,https://www.nerc.com/comm/RSTC/Pages/default.aspx,review,North American industry definitions of SCR and system strength
P018,"The 2003 Italian Blackout: System Restoration and Assessment of the Events",Berizzi A.,2004,IEEE Power Engineering Society General Meeting,https://doi.org/10.1109/PES.2004.1373131,historical_blackout,Canonical technical analysis of 2003 Italy blackout
P019,"Final Report of the Investigation Committee on the 28 September 2003 Blackout in Italy",UCTE,2004,UCTE Investigation Report,https://www.entsoe.eu/,historical_blackout,Full UCTE investigation including cascade sequence
P020,"Final Report on the August 14 2003 Blackout in the United States and Canada",US-Canada Power System Outage Task Force,2004,Government Report,https://www.energy.gov/oe/downloads/blackout-2003-final-report,historical_blackout,Canonical 2003 US-Canada blackout analysis
P021,"The 2006 European Blackout: From Grid Splitting to Restoration",UCTE,2007,UCTE Final Report,https://www.entsoe.eu/,historical_blackout,Analysis of November 2006 European frequency split
P022,"9 August 2019 Power Outage Report",Ofgem,2020,Ofgem Investigation Report,https://www.ofgem.gov.uk/publications/investigation-9-august-2019-power-outage,historical_blackout,UK blackout from generator trips revealing inverter vulnerabilities
P023,"Review of the February 2021 Electricity Crisis in Texas",Busby J. et al.,2021,Joule,https://doi.org/10.1016/j.joule.2021.03.021,historical_blackout,Analysis of Texas winter storm Uri grid collapse
P024,"The Iberian Blackout and Frequency Stability in Power Systems with High Renewable Energy Source Penetration",Thlon M. Brozek P.,2025,SSRN,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5285068,iberian_blackout,Early academic analysis of 28 April 2025 Iberian blackout
P025,"ENTSO-E Expert Panel Final Report on the 28 April 2025 Iberian Peninsula Blackout",ENTSO-E,2026,ENTSO-E Publication,https://www.entsoe.eu/publications/blackout/28-april-2025-iberian-blackout/,iberian_blackout,Canonical 440-page investigation identifying systemic failures
P026,"Interim Report on the Iberian Peninsula Power System Disturbance of 28 April 2025",ENTSO-E,2025,ENTSO-E Publication,https://www.entsoe.eu/news/2025/07/30/entso-e-publishes-interim-report-on-iberian-power-system-separation-of-28-april-2025/,iberian_blackout,First official technical analysis of the cascade sequence
P027,"System Non-Synchronous Penetration: Definition and Experience",EirGrid SONI,2014,EirGrid Technical Report,https://www.eirgridgroup.com/site-files/library/EirGrid/SNSP-Formula.pdf,frequency_stability,Defines the SNSP metric used by Irish grid operator
P028,"Rate of Change of Frequency (RoCoF) Review of TSO and Generator Recommendations",AEMO,2017,AEMO Report,https://www.aemo.com.au/-/media/files/electricity/nem/security_and_reliability/rocof/rocof-review.pdf,frequency_stability,Australian system operator RoCoF analysis and thresholds
P029,"Frequency Response and Inertia of the European Power System under the ENTSO-E Continental Europe Synchronous Area",ENTSO-E,2019,ENTSO-E Technical Report,https://www.entsoe.eu/,frequency_stability,Pan-European inertia and frequency response measurements
P030,"Impact of Low Rotational Inertia on Power System Stability and Operation",Tielens P. Van Hertem D.,2016,Renewable and Sustainable Energy Reviews,https://doi.org/10.1016/j.rser.2016.07.010,frequency_stability,Quantitative analysis of how declining inertia affects stability
P031,"Frequency Stability Evaluation Criteria for the Synchronous Zone of Continental Europe",Weissbach T. Welfonder E.,2009,European Transactions on Electrical Power,https://doi.org/10.1002/etep.328,frequency_stability,Defines frequency quality metrics for Continental Europe
P032,"Under-Frequency Load Shedding: An Overview",Gu W. Liu W. Zhu J. Zhao B.,2010,IEEE Transactions on Power Delivery,https://doi.org/10.1109/TPWRD.2009.2038700,frequency_stability,UFLS schemes theory and practice
P033,"Challenges of Operating High-Share Renewable Energy Systems",Denholm P. Mai T. Kenyon R. Kroposki B.,2021,NREL Technical Report,https://doi.org/10.2172/1785959,renewable_integration,NREL analysis of integration challenges at 50-100% RE
P034,"Integration of Large-Scale Renewable Energy into Bulk Power Systems",Ackermann T. et al.,2017,Springer,https://doi.org/10.1007/978-3-319-55581-2,renewable_integration,Engineering handbook for large-scale RE grid integration
P035,"Operating a Power System at Very High Penetrations of Variable Renewable Energy",Bird L. Lew D. Milligan M. et al.,2016,IEEE Power and Energy Magazine,https://doi.org/10.1109/MPE.2016.2573543,renewable_integration,Practical operational experience at high RE shares
P036,"Towards 100% Renewable Energy: Challenges and Strategies",Jacobson M. Delucchi M. et al.,2017,Joule,https://doi.org/10.1016/j.joule.2017.07.005,renewable_integration,100% RE system design proposals and critiques
P037,"Minimum Synchronous Inertia Requirements in Power Systems with High Renewable Penetration",Daly P. Flynn D. Cunniffe N.,2015,IEEE Power & Energy Society General Meeting,https://doi.org/10.1109/PESGM.2015.7286477,frequency_stability,Quantitative inertia requirements derivation
P038,"System Strength in the NEM Explained",AEMO,2020,AEMO Technical Report,https://www.aemo.com.au/-/media/files/electricity/nem/system-strength-explained.pdf,system_strength,Australian definition and measurement of system strength
P039,"Short Circuit Ratio for Multi-Infeed HVDC Systems",Xiao H. Li Y. Lan J. Yang B.,2021,IEEE Transactions on Power Delivery,https://doi.org/10.1109/TPWRD.2020.3023421,system_strength,Multi-infeed SCR calculation methods
P040,"Voltage Stability Analysis of Grids Connected to Wind Power Generation: A Review",Vittal E. O'Malley M. Keane A.,2010,Renewable and Sustainable Energy Reviews,https://doi.org/10.1016/j.rser.2010.03.037,voltage_stability,How wind generation affects voltage stability margins
P041,"Voltage Collapse: A Survey of Theory Methods and Industrial Practice",Van Cutsem T. Vournas C.,1998,IEEE Proceedings,https://doi.org/10.1109/5.736837,voltage_stability,Classic survey of voltage collapse mechanisms
P042,"PyPSA: Python for Power System Analysis",Brown T. Horsch J. Schlachtberger D.,2018,Journal of Open Research Software,https://doi.org/10.5334/jors.188,methods,Core paper for PyPSA framework
P043,"PyPSA-Eur: An Open Optimisation Model of the European Transmission System",Horsch J. Hofmann F. Schlachtberger D. Brown T.,2018,Energy Strategy Reviews,https://doi.org/10.1016/j.esr.2018.08.012,methods,European grid model built on PyPSA
P044,"Optimal Power Flow: An Introduction",Frank S. Steponavice I. Rebennack S.,2012,Energy Systems,https://doi.org/10.1007/s12667-012-0056-z,methods,Survey of OPF formulations and solution methods
P045,"Security-Constrained Optimal Power Flow: A Review",Capitanescu F.,2016,European Journal of Operational Research,https://doi.org/10.1016/j.ejor.2015.09.007,methods,SCOPF formulations for N-1 contingency
P046,"Machine Learning for Power System Stability Assessment: A Comprehensive Review",Zhang Y. et al.,2021,IEEE Transactions on Power Systems,https://doi.org/10.1109/TPWRS.2020.3042505,ml_power,Survey of ML approaches to stability assessment
P047,"Real-Time Stability Assessment in Modern Power System Control Centers",Makarov Y. et al.,2012,IEEE Transactions on Power Systems,https://doi.org/10.1109/TPWRS.2012.2208253,ml_power,Operational real-time stability screening methods
P048,"Data-Driven Prediction of Power System Frequency",Kruse J. Schafer B. Witthaut D.,2021,IEEE Access,https://doi.org/10.1109/ACCESS.2021.3107886,ml_power,ML prediction of frequency dynamics from grid state
P049,"Deep Learning for Power System Security Assessment",Duchesne L. Karangelos E. Wehenkel L.,2020,Electric Power Systems Research,https://doi.org/10.1016/j.epsr.2019.106030,ml_power,Deep learning approaches to dynamic security
P050,"Predicting Power System Instability through Early Warning Signals",Podolsky I. et al.,2021,Nature Communications,https://doi.org/10.1038/s41467-021-26603-0,ml_power,Critical slowing down as early warning for grid collapse
P051,"A Taxonomy of Cascading Failures in Power Systems",Papic M. et al.,2011,IEEE PES General Meeting,https://doi.org/10.1109/PES.2011.6039283,cascading_failure,Classification of cascade mechanisms
P052,"Influence Graphs for Cascading Failure Analysis of Power Grids",Nakarmi U. Rahnamay-Naeini M.,2020,IEEE Transactions on Power Systems,https://doi.org/10.1109/TPWRS.2019.2948083,cascading_failure,Graph-based cascade propagation analysis
P053,"Cascading Failures in Power Grids: Analysis and Algorithms",Soltan S. Mazauric D. Zussman G.,2017,ACM SIGMETRICS,https://doi.org/10.1145/3078505.3078540,cascading_failure,Algorithms for cascade prediction
P054,"Hidden Failures: A Major Threat to Grid Reliability",Chen J. Thorp J. Dobson I.,2005,IEEE Power and Energy Magazine,https://doi.org/10.1109/MPAE.2005.1405870,cascading_failure,Hidden protection failures amplifying cascades
P055,"Branching Process Models for the Exponentially Increasing Portions of Cascading Failure Blackouts",Dobson I. Carreras B. Newman D.,2005,Proceedings of the 38th Hawaii International Conference on System Sciences,https://doi.org/10.1109/HICSS.2005.14,cascading_failure,Stochastic cascade models
P056,"Risk Assessment of Cascading Outages: Methodologies and Challenges",Kirschen D. Jayaweera D.,2004,IEEE Transactions on Power Systems,https://doi.org/10.1109/TPWRS.2004.825919,cascading_failure,Risk assessment frameworks for cascading outages
P057,"OPA: An Agent-Based Model for Power Grid Cascading Failure Analysis",Carreras B. Lynch V. Dobson I. Newman D.,2004,IEEE Transactions on Power Systems,https://doi.org/10.1109/TPWRS.2004.825918,cascading_failure,OPA cascade simulation model
P058,"Complex Systems Analysis of Series of Blackouts: Cascading Failure Critical Points and Self-Organization",Dobson I. Carreras B. Lynch V. Newman D.,2007,Chaos,https://doi.org/10.1063/1.2737822,cascading_failure,Self-organized criticality in power grid blackouts
P059,"Investigation of the Turkish Blackout on 31 March 2015",ENTSO-E,2015,ENTSO-E Investigation Report,https://www.entsoe.eu/,historical_blackout,Another European blackout with renewable-related aspects
P060,"System Disturbance on 4 November 2006: Final Report",UCTE,2007,UCTE Report,https://www.entsoe.eu/,historical_blackout,4 November 2006 European frequency split detailed timeline
P061,"South Australian Blackout of 28 September 2016: Third Preliminary Report",AEMO,2017,AEMO Report,https://www.aemo.com.au/energy-systems/electricity/national-electricity-market-nem/nem-events-and-reports,historical_blackout,Inverter-dominated grid failure in South Australia
P062,"Fault Ride-Through Requirements and Grid Code Compliance of Inverter-Based Resources",NERC,2022,NERC Reliability Guideline,https://www.nerc.com/comm/RSTC/Pages/default.aspx,inverter_control,Inverter fault ride-through standards
P063,"Grid-Following Inverters and Synchronous Condensers: The Role of Conventional Plant During the Energy Transition",Pagnani D. et al.,2020,Energies,https://doi.org/10.3390/en13184022,inverter_control,Role of synchronous condensers in inverter-dominated grids
P064,"Virtual Synchronous Generator: A Comprehensive Overview",Beck H. Hesse R.,2007,VDE Congress,https://doi.org/10.1109/ISIE.2007.4374678,inverter_control,Virtual synchronous generator concept
P065,"Droop Control: A Method for Parallel Operation of Inverters",Guerrero J. et al.,2004,IEEE Transactions on Industrial Electronics,https://doi.org/10.1109/TIE.2004.840167,inverter_control,Foundation paper for inverter droop control
P066,"Generic Models and Model Validation for Wind and Solar PV Generation",WECC,2014,WECC Report,https://www.wecc.org/Reliability/GenericModelDocumentation.pdf,methods,Standard dynamic simulation models for renewables
P067,"Definition and Classification of Power System Stability",Kundur P. et al.,2004,IEEE Transactions on Power Systems,https://doi.org/10.1109/TPWRS.2004.825981,frequency_stability,IEEE/CIGRE joint task force stability definitions
P068,"Experience with Provision of Synthetic Inertia from Wind Power",EirGrid SONI,2015,EirGrid SONI Consultation,https://www.eirgridgroup.com/,frequency_stability,Irish operational experience with synthetic inertia
