exp_id	name	metric	value	status	notes	interaction
E00	Baseline: Dublin 3-bed semi cost stack	total_dev_cost	591929.4700	KEEP	policy_share=16.4%, viable_counties=0/26	False
E01	VAT reduced to 9% (UK-equivalent rate)	counties_viable	0	KEEP	saving_per_unit=EUR15,035, counties=0/26	False
E02	Part V halved (20% to 10%)	counties_viable	0	KEEP	saving_per_unit=EUR10,000, counties=0/26	False
E03	Dev contributions halved across all LAs	counties_viable	0	KEEP	saving_per_unit=EUR12,500, counties=0/26	False
E04	Dev contributions equalised to lowest LA (EUR 6k)	counties_viable	0	KEEP	saving_per_unit=EUR19,000, counties=0/26	False
E05	BCAR compliance halved	counties_viable	0	KEEP	saving_per_unit=EUR2,750, counties=0/26	False
E06	Planning fees zeroed (all fees waived)	counties_viable	0	KEEP	saving_per_unit=EUR1,500, counties=0/26	False
E07	ALL policy costs halved	counties_viable	3	KEEP	saving_per_unit=EUR49,303, counties=3/26	False
E08	ALL policy costs zeroed	counties_viable	4	KEEP	saving_per_unit=EUR97,106, counties=4/26	False
E09	Best single lever: VAT zeroed	counties_viable	3	KEEP	best_lever=VAT zeroed, counties=3/26	False
E10	Dublin 2-bed apartment baseline	viability_margin	-0.0345	KEEP	cost=EUR465,536, sale=EUR450,000, gap=EUR15,536	False
E11	Commuter 3-bed semi baseline	viability_margin	-0.1454	KEEP	total=EUR481,076, sale=EUR420,000, policy_share=15.8%	False
E12	Regional 3-bed semi baseline	viability_margin	-0.3158	KEEP	total=EUR460,514, sale=EUR350,000, policy_share=15.0%	False
E13	Rural 3-bed semi baseline	viability_margin	-0.4684	KEEP	total=EUR411,162, sale=EUR280,000, policy_share=14.0%	False
E13	Margin compressed to 10%: Wicklow	viability_margin	-0.0020	KEEP	old_total=EUR502,839, new_total=EUR480,976	False
E13	Margin compressed to 10%: Dublin	viability_margin	-0.0294	KEEP	old_total=EUR591,929, new_total=EUR566,193	False
E13	Margin compressed to 10%: Kildare	viability_margin	-0.0366	KEEP	old_total=EUR498,514, new_total=EUR476,840	False
E13	Margin compressed to 10%: Meath	viability_margin	-0.0878	KEEP	old_total=EUR477,631, new_total=EUR456,864	False
E13	Margin compressed to 10%: Cork	viability_margin	-0.1431	KEEP	old_total=EUR478,035, new_total=EUR457,251	False
E14	Finance reduced to 5%: Wicklow	viability_margin	-0.0223	KEEP	old_finance=EUR32,389, new_finance=EUR20,243	False
E14	Finance reduced to 5%: Dublin	viability_margin	-0.0502	KEEP	old_finance=EUR38,128, new_finance=EUR23,830	False
E14	Finance reduced to 5%: Kildare	viability_margin	-0.0576	KEEP	old_finance=EUR32,110, new_finance=EUR20,069	False
E14	Finance reduced to 5%: Meath	viability_margin	-0.1097	KEEP	old_finance=EUR30,765, new_finance=EUR19,228	False
E14	Finance reduced to 5%: Cork	viability_margin	-0.1662	KEEP	old_finance=EUR30,791, new_finance=EUR19,245	False
E15	Land at CPO agricultural price (EUR 15k/ha)	counties_viable	2	KEEP	agricultural_land_per_unit=EUR429, counties=2/26	False
E16	Modular construction -20% hard costs	counties_viable	3	KEEP	counties=3/26	False
E17	Modular + VAT halved + Part V halved	counties_viable	4	KEEP	counties=4/26	False
E18	Viability gap fund: per-unit subsidy needed	median_gap_per_unit	144289.3100	KEEP	avg=EUR132,145, min=EUR22,839, max=EUR225,873	False
E19	Part V cross-subsidy: dublin	cross_subsidy_per_unit	13819.6800	KEEP	pv_loss=EUR11,056, per_market_unit=EUR13,820	False
E19	Part V cross-subsidy: commuter	cross_subsidy_per_unit	3418.1900	KEEP	pv_loss=EUR2,735, per_market_unit=EUR3,418	False
E19	Part V cross-subsidy: regional	cross_subsidy_per_unit	0	KEEP	pv_loss=EUR0, per_market_unit=EUR0	False
