exp_id	description	model	extra_features	cv_mae_days	cv_rmse_days	cv_r2_log	cv_r2_days	notes
E00	Phase 2 baseline (v2 sample)	xgboost	RAW	89.401	179.053	0.5158	0.3281	5-fold CV, n=50000, wall=2.0s
T01	Tournament xgboost	xgboost	RAW	89.401	179.053	0.5158	0.3281	5-fold CV, n=50000, wall=1.7s
T02	Tournament lightgbm	lightgbm	RAW	89.729	179.897	0.512	0.3217	5-fold CV, n=50000, wall=1.3s
T03	Tournament extratrees	extratrees	RAW	94.795	183.199	0.4219	0.2966	5-fold CV, n=50000, wall=24.9s
T04	Tournament randomforest	randomforest	RAW	91.507	179.172	0.4683	0.3272	5-fold CV, n=50000, wall=31.6s
T05	Tournament ridge	ridge	RAW	100.561	197.089	0.3764	0.1859	5-fold CV, n=50000, wall=0.3s
H001	XGBoost AFT survival		baseline					DEFER (needs_censored_labels)
H002	Seattle numberreviewcycles		seattle_only					DEFER (seattle_only)
H003	Seattle daysoutcorrections		seattle_only					DEFER (seattle_only)
H004	NYC paid-lag feature		nyc_only					DEFER (stage_columns_not_in_schema)
H005	NYC approve-to-issue lag		nyc_only					DEFER (stage_columns_not_in_schema)
H006	SF pre/post approval decomposition		sf_only					DEFER (target_leakage_risk)
H007	Two-stage model		composition					DEFER (phase_2.5_composition)
H008	Drop sentinel dates pre-2015		hygiene					DEFER (already_in_v2_clean)
H009	Clip durations 1-1825		hygiene					DEFER (already_in_v2_clean)
H010	SF valuation delta		sf_only					DEFER (estimated_cost_not_in_schema)
H011	Log-valuation (already baseline)		already_baseline					DEFER (already_in_baseline)
H012	Log-units (already baseline)		already_baseline					DEFER (already_in_baseline)
H013	Log-sqft (already baseline)		already_baseline					DEFER (already_in_baseline)
H014	Filed day-of-week	xgb	+filed_dow	89.38	179.13	0.5165	0.3275	REVERT (delta=-0.02 vs best=89.40, thr=88.51, wall=1.9s)
H015	Filed month cyclic (already baseline)		already_baseline					DEFER (already_in_baseline)
H016	Filed year ordinal (already baseline)		already_baseline					DEFER (already_in_baseline)
H017	Federal holiday week flag	xgb	+holiday_week	89.365	179.044	0.5161	0.3281	REVERT (delta=-0.04 vs best=89.40, thr=88.51, wall=1.7s)
H018	COVID era dummy	xgb	+covid_era	89.38	179.051	0.516	0.3281	REVERT (delta=-0.02 vs best=89.40, thr=88.51, wall=1.7s)
H019	Subtype target encoding (already baseline)		already_baseline					DEFER (already_in_baseline)
H020	Nbhd target encoding (already baseline)		already_baseline					DEFER (already_in_baseline)
H021	Per-city XGBoost	xgb	per_city	89.297	177.481	0.5157	0.3398	REVERT (delta=-0.10 vs best=89.40, thr=88.51, wall=3.6s)
H022	Global+per-city ensemble		composition					DEFER (phase_2.5_composition)
H023	H023 survival variant		survival					DEFER (needs_survival_infra)
H024	H024 survival variant		survival					DEFER (needs_survival_infra)
H025	H025 survival variant		survival					DEFER (needs_survival_infra)
H026	H026 survival variant		survival					DEFER (needs_survival_infra)
H027	H027 survival variant		survival					DEFER (needs_survival_infra)
H061	H061 survival variant		survival					DEFER (needs_survival_infra)
H062	H062 survival variant		survival					DEFER (needs_survival_infra)
H063	H063 survival variant		survival					DEFER (needs_survival_infra)
H064	H064 survival variant		survival					DEFER (needs_survival_infra)
H028	Monotone valuation (XGB)	<lambda>	monotone_val	90.047	179.775	0.5006	0.3226	REVERT (delta=+0.65 vs best=89.40, thr=88.51, wall=1.8s)
H029	Monotone units (XGB)	<lambda>	monotone_units	89.453	179.108	0.5149	0.3276	REVERT (delta=+0.05 vs best=89.40, thr=88.51, wall=1.8s)
H030	Monotone sqft (XGB)	<lambda>	monotone_sqft	89.673	179.428	0.5139	0.3252	REVERT (delta=+0.27 vs best=89.40, thr=88.51, wall=1.7s)
H031	Raw duration target	xgb	raw_target	99.6	169.814	0.3956	0.3956	REVERT (delta=+10.20 vs best=89.40, thr=88.51, wall=1.7s)
H032	Sqrt target	xgb	sqrt_target	90.923	171.873	0.4885	0.3809	REVERT (delta=+1.52 vs best=89.40, thr=88.51, wall=1.7s)
H033	Box-Cox target (≈log1p)	xgb	boxcox_target	89.401	179.053	0.5158	0.3281	REVERT (delta=+0.00 vs best=89.40, thr=88.51, wall=1.7s)
H034	XGB quantile P50	<lambda>	quantile_50	89.473	178.163	0.4992	0.3347	REVERT (delta=+0.07 vs best=89.40, thr=88.51, wall=6.7s)
H035	XGB quantile P90	<lambda>	quantile_90	191.384	253.275	-0.3467	-0.3445	REVERT (delta=+101.98 vs best=89.40, thr=88.51, wall=7.0s)
H036	city x year TE	xgb	+city_year_te	89.282	178.861	0.5172	0.3295	REVERT (delta=-0.12 vs best=89.40, thr=88.51, wall=1.9s)
H037	Reform cutoff dummies	xgb	+reform_dummies	89.417	179.042	0.5162	0.3281	REVERT (delta=+0.02 vs best=89.40, thr=88.51, wall=1.9s)
H038	SB 423 RD		composition					DEFER (phase_2.5_composition)
H039	HOME-1 RD		composition					DEFER (phase_2.5_composition)
H040	DOB NOW stagger		composition					DEFER (phase_2.5_composition)
H041	LA business_unit		la_only					DEFER (column_not_in_schema)
H042	Chicago review_type (already baseline)		chicago_only					DEFER (already_in_baseline)
H043	Chicago processing_time check		validation					DEFER (validation_only)
H044	New vs alter stratum		composition					DEFER (phase_2.5_composition)
H045	ADU stratum		composition					DEFER (phase_2.5_composition)
H046	WRLURI		macro					DEFER (external_data_not_fetched)
H047	Census BPS load		macro					DEFER (external_data_not_fetched)
H048	ACS density		macro					DEFER (external_data_not_fetched)
H049	FRED mortgage rate		macro					DEFER (external_data_not_fetched)
H050	BLS construction employment		macro					DEFER (external_data_not_fetched)
H051	FRED housing starts		macro					DEFER (external_data_not_fetched)
H052	Nbhd last-permit recency	xgb	+nbhd_recency	89.497	179.394	0.5141	0.3255	REVERT (delta=+0.10 vs best=89.40, thr=88.51, wall=2.3s)
H053	30d city rolling count	xgb	+rolling_30d	89.561	179.37	0.5137	0.3257	REVERT (delta=+0.16 vs best=89.40, thr=88.51, wall=2.4s)
H054	90d city rolling count	xgb	+rolling_90d	89.485	179.256	0.5147	0.3265	REVERT (delta=+0.08 vs best=89.40, thr=88.51, wall=2.0s)
H055	LightGBM	lightgbm_v2	lightgbm	89.729	179.897	0.512	0.3217	REVERT (delta=+0.33 vs best=89.40, thr=88.51, wall=1.3s)
H056	CatBoost		catboost					DEFER (library_not_installed)
H057	ExtraTrees	extratrees	extratrees	94.795	183.199	0.4219	0.2966	REVERT (delta=+5.39 vs best=89.40, thr=88.51, wall=24.6s)
H058	Stacked ensemble		composition					DEFER (phase_2.5_composition)
H059	Ridge sanity check	ridge	ridge	100.561	197.089	0.3764	0.1859	REVERT (delta=+11.16 vs best=89.40, thr=88.51, wall=0.3s)
H060	TabPFN		seattle_only					DEFER (seattle_only)
H065	SF application_submission_method		sf_only					DEFER (column_not_in_schema)
H066	SF plansets		sf_only					DEFER (column_not_in_schema)
H067	SF change-of-use flag	xgb	+change_of_use	89.384	179.093	0.5162	0.3278	REVERT (delta=-0.02 vs best=89.40, thr=88.51, wall=1.8s)
H068	NYC zoning_dist1		nyc_only					DEFER (column_not_in_schema)
H069	NYC professional_cert		nyc_only					DEFER (column_not_in_schema)
H070	Austin masterpermitnum group		group_feature					DEFER (column_not_in_schema)
H071	Austin project_id group		group_feature					DEFER (column_not_in_schema)
H072	SF parcel cluster project		group_feature					DEFER (column_not_in_schema)
H073	Contractor frequency		group_feature					DEFER (column_not_in_schema)
H074	Seattle standardplan		seattle_only					DEFER (seattle_only)
H075	Seattle reviewcomplexity		seattle_only					DEFER (seattle_only)
H076	Seattle reviewer encoding		seattle_only					DEFER (seattle_only)
H077	Seattle reviewteam		seattle_only					DEFER (seattle_only)
H078	Seattle leakage guard		seattle_only					DEFER (seattle_only)
H079	Seattle rework rate		seattle_only					DEFER (seattle_only)
H080	Seattle daysinitialplanreview		seattle_only					DEFER (seattle_only)
H081	Seattle daysplanreviewcity		seattle_only					DEFER (seattle_only)
H082	Seattle max reviewcycle		seattle_only					DEFER (seattle_only)
H083	NYC BIS+DOB NOW union (already in v2)		already_in_v2					DEFER (already_in_v2_clean)
H084	Right-censoring labels		survival					DEFER (needs_survival_infra)
H085	Competing risks		survival					DEFER (needs_survival_infra)
H086	Optuna sweep (depth/lr/min_child)	<lambda>	hp_sweep	89.046	178.192	0.5194	0.3345	REVERT (delta=-0.36 vs best=89.40, thr=88.51, wall=3.4s)
H087	XGB depth=9	<lambda>	depth_9	89.112	177.665	0.5157	0.3384	REVERT (delta=-0.29 vs best=89.40, thr=88.51, wall=2.8s)
H088	XGB lr=0.03 n_est=600	<lambda>	lr_003	89.206	178.721	0.5181	0.3305	REVERT (delta=-0.19 vs best=89.40, thr=88.51, wall=3.0s)
H089	XGB min_child_weight=20	<lambda>	mcw_20	89.465	179.29	0.515	0.3263	REVERT (delta=+0.06 vs best=89.40, thr=88.51, wall=1.6s)
H090	XGB subsample=0.6 colsample=0.6	<lambda>	subsamp_06	89.538	179.465	0.5141	0.325	REVERT (delta=+0.14 vs best=89.40, thr=88.51, wall=1.8s)
H091	XGB reg_alpha=1 reg_lambda=10	<lambda>	l1l2_reg	89.476	179.353	0.5148	0.3258	REVERT (delta=+0.07 vs best=89.40, thr=88.51, wall=1.7s)
H092	XGB n_est=800	<lambda>	n_est_800	89.245	177.947	0.5173	0.3363	REVERT (delta=-0.16 vs best=89.40, thr=88.51, wall=3.7s)
H093	Era bin (0..3)	xgb	+era_bin	89.333	179.007	0.516	0.3284	REVERT (delta=-0.07 vs best=89.40, thr=88.51, wall=1.8s)
H094	Chicago total_fee		chicago_only					DEFER (column_not_in_schema)
H095	Chicago fee-per-unit		chicago_only					DEFER (column_not_in_schema)
H096	SF supervisor district		sf_only					DEFER (column_not_in_schema)
H097	NYC community board		nyc_only					DEFER (column_not_in_schema)
H098	LA council district		la_only					DEFER (column_not_in_schema)
H099	Chicago ward		chicago_only					DEFER (column_not_in_schema)
H100	Portland nbhd coalition		portland_only					DEFER (portland_not_in_baseline)
H101	Inductive miner Seattle		seattle_only					DEFER (seattle_only)
H102	Alpha miner Seattle		seattle_only					DEFER (seattle_only)
H103	Heuristic miner Seattle		seattle_only					DEFER (seattle_only)
H104	Conformance fitness feature		seattle_only					DEFER (seattle_only)
H105	Replay stage waits		seattle_only					DEFER (seattle_only)
H106	BPIC 2015 pretrain		seattle_only					DEFER (seattle_only)
H107	Percentile-rank target (sqrt proxy)	xgb	sqrt_target	90.923	171.873	0.4885	0.3809	REVERT (delta=+1.52 vs best=89.40, thr=88.51, wall=1.6s)
H108	Per-city z-score		target_transform					DEFER (per_city_target_transform_not_implemented)
H109	Multi-task heads		composition					DEFER (phase_2.5_composition)
H110	Leave-SF-out transfer		composition					DEFER (phase_2.5_composition)
H111	Leave-Seattle-out transfer		composition					DEFER (seattle_only)
H112	Disaster rebuild dummy		disaster_flag					DEFER (disaster_events_not_keyed)
H113	Planner staffing		macro					DEFER (external_data_not_fetched)
H114	Feature pruning pass		composition					DEFER (phase_B_optimisation)
H115	SHAP-guided selection		composition					DEFER (phase_B_optimisation)
H116	Nbhd 90d rolling count	xgb	+nbhd_90d	89.509	179.332	0.5135	0.326	REVERT (delta=+0.11 vs best=89.40, thr=88.51, wall=2.1s)
H117	NYC system indicator		nyc_only					DEFER (column_not_in_schema)
H118	is_duplex flag	xgb	+is_duplex	89.335	178.94	0.5161	0.3289	REVERT (delta=-0.07 vs best=89.40, thr=88.51, wall=1.8s)
H119	Reform exponential decay	xgb	+reform_decay	89.446	179.221	0.5152	0.3268	REVERT (delta=+0.04 vs best=89.40, thr=88.51, wall=1.8s)
H120	Holiday season flag	xgb	+holiday_season	89.378	179.112	0.5161	0.3276	REVERT (delta=-0.02 vs best=89.40, thr=88.51, wall=1.7s)
S01_cox	Cox PH (lifelines)	cox_lifelines	RAW	218.897		0.7133		c_index=0.713; n_issued=42500; survival CV; REVERT (not direct MAE baseline)
S02_xgb_aft	XGBoost AFT survival	xgb_aft	RAW	114.583		0.7718		c_index=0.772; n_issued=42500; survival CV; censored=15%; REVERT (MAE includes censoring drift)
S03_rsf	Random Survival Forest (sksurv)	rsf	RAW			0.7106		c_index=0.711; REVERT (no MAE output)
C007	Macro context (WRLURI+ACS)		macro_context					DEFER (WRLURI+ACS fetch outside Phase 2.5 budget)
C001	Seattle-only XGB + stage features	xgboost	+seattle_stages	70.795		0.6699	0.4637	SUBSET_ONLY (Seattle subset only)
C002	NYC BIS subset + per-stage columns	xgboost	+nyc_stages	4.036		0.999	0.9907	SUBSET_ONLY (NYC subset only)
C003	Cross-city dow+reform+covid	xgboost	+dow+reform+covid	89.417	179.124	0.5169	0.3275	REVERT
C004	Rolling load + nbhd + dow	xgboost	+rolling+nbhd+dow	89.806	179.818	0.5131	0.3223	REVERT
C005	Per-city XGB dispatch	xgboost_per_city	per_city=True	89.297	177.481	0.5157	0.3398	REVERT
C006	Reform+decay+covid+era	xgboost	+reform+decay+covid+era	89.403	179.204	0.5159	0.3269	REVERT
C008	Monotone valuation+units	xgboost_monotone	monotone	90.057	179.828	0.497	0.3222	REVERT
C009	XGB quantile P50	xgboost_q50	quantile=0.5	89.473	178.163	0.4992	0.3347	REVERT
C010	LightGBM tuned+dow	lightgbm	+dow tuned	89.188	178.481	0.5194	0.3323	REVERT
C011	Seattle-only Ridge + stages	ridge	+seattle_stages	95.976		0.5567	-5.7183	SUBSET_ONLY (Seattle subset)
C012	Seattle-only XGB + city/out buckets only	xgboost	+city_days+out_days	24.683		0.8843	0.8441	SUBSET_ONLY (Seattle subset)
C013	Seattle-only XGB no stages (ablation)	xgboost	no_stages	99.859		0.2394	0.1322	SUBSET_ONLY (Seattle subset)
C014	LA subset + business_unit intake channel	xgboost	+business_unit+subtype+ptype	100.758	nan	0.4180	0.2024	SUBSET_ONLY (LA subset)
C015	Chicago subset + review_type intake channel	xgboost	+review_type+ward	42.566	nan	0.3619	0.0213	SUBSET_ONLY (Chicago subset)
