id,type,authors,year,title,venue,key_finding,relevance,theme
1,textbook,"Neville, A.M.",2011,Properties of Concrete (5th Edition),Pearson,"Comprehensive reference on concrete science, w/c ratio, durability, strength development",foundational,concrete_science
2,textbook,"Mehta, P.K.; Monteiro, P.J.M.",2014,"Concrete: Microstructure, Properties, and Materials (4th Edition)",McGraw-Hill,"Covers cement chemistry, hydration, SCMs, microstructure-property relationships",foundational,concrete_science
3,textbook,"Mindess, S.; Young, J.F.; Darwin, D.",2003,"Concrete (2nd Edition)",Prentice Hall,"Physical properties of hardened cement paste, pore structure, gel chemistry",foundational,concrete_science
4,textbook,"Kosmatka, S.H.; Wilson, M.L.",2016,"Design and Control of Concrete Mixtures (16th Edition)",Portland Cement Association,"Practical guide to mix design, aggregate selection, admixtures",foundational,mix_design
5,textbook,"Dreux, G.; Festa, J.",1998,"Nouveau guide du beton et de ses constituants",Eyrolles,"French graphical-analytical mix design method combining aggregate grading optimisation",foundational,mix_design
6,seminal,"Abrams, D.A.",1918,Design of Concrete Mixtures,"Bulletin 1, Lewis Institute","Established w/c ratio law: strength inversely proportional to w/c. A/B^(w/c) with A~96 B~8 for OPC 28d",foundational,concrete_science
7,seminal,"Powers, T.C.; Brownyard, T.L.",1947,Studies of Physical Properties of Hardened Portland Cement Paste,"Bulletin 22, PCA","Gel-space ratio theory linking strength to hydrated gel volume vs capillary porosity",foundational,concrete_science
8,seminal,"Powers, T.C.",1958,Structure and Physical Properties of Hardened Portland Cement Paste,J. American Ceramic Society,"Showed gel-space ratio predicts strength independently of mix proportions and age",foundational,concrete_science
9,seminal,"Yeh, I-C.",1998,Modeling of strength of high performance concrete using artificial neural networks,"Cement and Concrete Research, 28(12), 1797-1808","Created the UCI concrete dataset (1030 samples, 8 features). ANN achieved R2~0.80",foundational,ml_prediction
10,standard,"ACI Committee 211",2022,"ACI 211.1-22: Standard Practice for Selecting Proportions for Normal, Heavyweight, and Mass Concrete",ACI,"Standard tabular method for mix proportioning based on slump, w/c, aggregate properties",foundational,mix_design
11,standard,BRE,1997,"Design of Normal Concrete Mixes (2nd Edition)",Building Research Establishment,"British DOE mix design method for UK materials and conditions",foundational,mix_design
12,review,"Ben Chaabene, W.; Flah, M.; Nehdi, M.L.",2020,Machine learning prediction of mechanical properties of concrete: Critical review,"Construction and Building Materials, 260, 119889","Comprehensive review of ML approaches for concrete properties. Identified research gaps in feature engineering and model interpretability",high,ml_prediction
13,review,"Chou, J.S. et al.",2011,Machine learning in concrete strength simulations: Multi-nation data analytics,"Construction and Building Materials, 73, 771-780","Early comprehensive comparison of ML methods for concrete strength across datasets",high,ml_prediction
14,review,"DeRousseau, M.A. et al.",2018,Computational design optimization of concrete mixtures: A review,"Cement and Concrete Research, 109, 42-53","Review of optimisation methods for concrete mix design: GA, PSO, simulated annealing",high,multi_objective
15,review,"Young, B.A. et al.",2019,Can the compressive strength of concrete be estimated from knowledge of the mixture proportions?,Advances in Civil Engineering Materials,"Analysis of what limits ML prediction accuracy on concrete datasets",high,ml_prediction
16,review,"Zhang, W.G. et al.",2025,Machine learning (ML) and deep learning (DL) in sustainable concrete construction: review trend and gap analyses,Journal of Asian Architecture and Building Engineering,"84.5% ML, 15.5% DL applications. Emerging focus on crack detection, SVMs, material innovation",high,ml_prediction
17,review,"Frontiers in Built Environment",2023,Machine learning in concrete technology: A review of current researches trends and applications,Frontiers in Built Environment,"Comprehensive review covering image processing, mix design, fresh/hardened properties prediction",high,ml_prediction
18,review,"Mao, Y. et al.",2023,Machine learning in concrete science: applications challenges and best practices,"npj Computational Materials, 8(Article 193)","Explores process-structure-property-performance relationships, identifies need for physics-informed approaches",high,ml_prediction
19,review,"Hosseinzadeh, M. et al.",2024,"A comprehensive review on physical, mechanical and durability performances of metakaolin concrete",ScienceDirect,"Systematic review: 10-15% metakaolin optimal for strength, 33% increase at 90d with 20% replacement",high,scm
20,review,"Al-Rashed, R. et al.",2025,Progress in Computational Modelling for Concrete Durability and Integration with AI and LCA,"Archives of Computational Methods in Engineering","Reviews ML for carbonation, chloride, sulfate attack, frost damage from 2013-2024",high,durability
21,seminal,"Abuodeh, O.R.; Abdalla, J.A.; Hawileh, R.A.",2020,Assessment of compressive strength of ultra-high performance concrete using deep learning,"Construction and Building Materials, 250, 118899","Deep learning for UHPC strength: systematic comparison of architectures",high,ml_prediction
22,article,"Nguyen, H. et al.",2024,Prediction of Compressive Strength of Concrete Using Explainable Machine Learning Models,Materials (MDPI) 18(21) 5009,"CatBoost best R2=0.9388, RMSE=2.71 on UCI. Ranking: CatBoost>XGBoost>RF>SVR>ANN>SR>KNN",high,ml_prediction
23,article,"Gomaa, E. et al.",2024,Comparative Performance Analysis of Machine Learning Models for Compressive Strength Prediction in Concrete Mix Design,"Mathematical and Computational Applications, 30(6), 128","CatBoost > XGBoost > RF for concrete, GBDT models show >95% points within 10% error",high,ml_prediction
24,article,"Li, J. et al.",2024,Can domain knowledge benefit machine learning for concrete property prediction?,Journal of the American Ceramic Society,"Knowledge-informed constraints improve robustness, reduce training data requirements",high,ml_prediction
25,article,"Chen, C.T.; Gu, G.X.",2020,Generative Deep Neural Networks for Inverse Materials Design Using Backpropagation and Active Learning,Advanced Science,"Gradient-based inverse design through backpropagation in trained neural networks",high,inverse_design
26,article,"Yao, X. et al.",2025,Partial Inverse Design of High-Performance Concrete Using Cooperative Neural Networks for Constraint-Aware Mix Generation,arXiv:2512.06813,"CoNN framework for partial inverse design: R2=0.87-0.92, 50-70% MSE reduction",high,inverse_design
27,article,"Li, X. et al.",2025,End-to-end concrete mix design optimization using tandem neural networks with comparative analysis against NSGA-II,"Construction and Building Materials","TNN autoencoder for real-time inverse design with millisecond-level speed",high,inverse_design
28,article,"Meta / Iqbal, M. et al.",2025,BOxCrete: A Bayesian Optimization Open-Source AI Model for Concrete Strength Forecasting and Mix Optimization,arXiv:2603.21525,"GP regression + BoTorch for probabilistic inverse design. R2=0.94, RMSE=0.69 ksi. Open source MIT licence",high,inverse_design
