id,title,authors,year,venue,theme,key_finding,relevance_to_hdr
1,"Traffic Signal Design: Webster's Formula for Optimum Cycle Length","F.V. Webster",1958,"Road Research Technical Paper No. 39","Traffic Flow Fundamentals","Co = (1.5L+5)/(1-Y) minimises delay at isolated intersections","Baseline: HDR must beat Webster on single intersections"
2,"Webster's Delay Formula - Revisited","Akcelik",2013,"Australian Road Research Board","Traffic Flow Fundamentals","Webster overestimates cycle length at V/C > 0.5; improved formulas proposed","Informs cycle length bounds for HDR design variables"
3,"Computing optimum traffic signal cycle length considering vehicle delay and fuel consumption","Cheng et al.",2019,"Transportation Research Interdisciplinary Perspectives","Traffic Flow Fundamentals","Modified Webster formula incorporating fuel consumption objective","Multi-objective reward design for HDR"
4,"Traffic Light Optimization Based on Modified Webster Function","Zhang et al.",2021,"Journal of Advanced Transportation","Traffic Flow Fundamentals","Adapted Webster for modern conditions; better delay prediction under variable demand","Benchmark comparison for HDR results"
5,"Optimal Cycle-Length Formulas for Intersections With or Without Transit Signal Priority","Wolput et al.",2016,"Transportation Research Record","Traffic Flow Fundamentals","Extended cycle-length formulas for transit priority scenarios","Design variable: transit priority interactions"
6,"Fundamental Diagram of Traffic Flow","Greenshields",1935,"Highway Research Board Proceedings","Traffic Flow Fundamentals","Linear speed-density relationship q=kv; established fundamental diagram","Theoretical foundation for observation space design"
7,"Traffic Signal Operations Handbook Second Edition","Urbanik et al.",2015,"NCHRP Report / FHWA","Traffic Flow Fundamentals","Comprehensive guide to signal timing design including phase structure and coordination","Phase configuration design variables"
8,"Green Wave Coordinate Control Method for Arterial Traffic Based on Traffic Wave Theory","Various",2017,"Journal of Highway and Transportation Research","Traffic Flow Fundamentals","Offset optimisation using traffic wave theory for bidirectional green waves","Coordination strategy design variable"
9,"Arterial Coordination Control Optimization Based on AM-BAND-PBAND Model","Various",2022,"Sustainability","Traffic Flow Fundamentals","Multi-band progression model for arterial coordination","Benchmark coordination strategy"
10,"Urban Arterial Traffic Two-Direction Green Wave Intelligent Coordination","Li et al.",2012,"International Journal of Control Automation and Systems","Traffic Flow Fundamentals","Fuzzy neural network for real-time offset and cycle adjustment","Adaptive coordination baseline"
11,"SUMO - Simulation of Urban MObility","Krajzewicz et al.",2012,"International Journal of Advances in Systems and Measurements","SUMO Simulator","Open-source microscopic simulator with TraCI API for real-time control","Core evaluation function for HDR"
12,"sumo-rl: Reinforcement Learning Environments for Traffic Signal Control","Alegre, L.N.",2019,"GitHub/PyPI","SUMO Simulator","Gymnasium/PettingZoo wrapper for SUMO with customisable obs/reward/action","Primary HDR environment"
13,"Reinforcement Learning Benchmarks for Traffic Signal Control (RESCO)","Ault & Sharon",2021,"NeurIPS Workshop","SUMO Simulator","Standardised benchmarks with realistic layouts; IDQN outperformed prior methods under realistic sensing","Benchmark scenarios for HDR evaluation"
14,"LightSim: A Lightweight Cell Transmission Model Simulator","Various",2025,"arXiv","SUMO Simulator","Pure-Python simulator >20k steps/s; 19 built-in scenarios; fast alternative to SUMO","Potential secondary evaluation environment"
15,"LibSignal: An Open Library for Traffic Signal Control","Mei et al.",2023,"Machine Learning Journal","SUMO Simulator","First cross-simulator benchmark; SUMO more realistic but CityFlow 20-25x faster","Cross-validation of HDR results"
16,"CityFlow: A Multi-Agent Reinforcement Learning Environment for Large Scale City Traffic Scenario","Zhang et al.",2019,"WWW","SUMO Simulator","20-25x faster than SUMO; simpler physics model","Large-scale HDR experiments"
17,"PyTSC: A Unified Platform for Multi-Agent RL in Traffic Signal Control","Various",2025,"PMC","SUMO Simulator","Unified platform supporting multiple simulators and RL frameworks","Platform comparison"
18,"VissimRL: A Multi-Agent RL Framework for Traffic Signal Control Based on Vissim","Various",2025,"arXiv","SUMO Simulator","Alternative commercial simulator integration with RL","Comparison baseline"
19,"IntelliLight: A Reinforcement Learning Approach for Intelligent Traffic Light Control","Wei et al.",2018,"KDD","RL for Traffic Signals","First major RL traffic controller; phase-gated DQN with image-based state","Foundational RL architecture"
20,"PressLight: Learning Max Pressure Control to Coordinate Traffic Signals in Arterial Network","Wei et al.",2019,"KDD","RL for Traffic Signals","Pressure-based reward for arterial coordination; demonstrated effective multi-intersection control","Reward design: pressure metric"
21,"MPLight: Pressure-Based Traffic Signal Control","Chen et al.",2020,"KDD","RL for Traffic Signals","Integrated pressure into state and reward with FRAP architecture","Combined state+reward design"
