id,title,authors,year,type,domain,subcategory,method,key_finding,hypothesis_generated,relevance
4001,Parabolic avalanche scaling in the synchronization of cortical cell assemblies,"Capek, E.; Ribeiro, T.L.; Kells, P.; Srinivasan, K.; Miller, S.R.; Geist, E.; Victor, M.; Vakili, A.; Pajevic, S.; Chialvo, D.R.; Plenz, D.",2023,journal_article,neuroscience,cortical_avalanches,experimental_2photon_in_vivo,"2-photon imaging of awake mouse superficial cortex shows synchronized cell assemblies organize as scale-invariant avalanches with quadratic temporal-profile scaling chi=2 over up to 5s and 1 mm^2 (Nat. Commun. 14:2979)",Measure shape-collapse with chi=2 expectation on LLM activation avalanches; quadratic profile is a sharper test than exponent fits alone,5
4002,Critical scaling of novelty in the cortex,"Vakili, A.; Ribeiro, T.L.; Kells, P.; Capek, E.; Plenz, D.",2025,journal_article,neuroscience,cortical_avalanches,experimental_holographic_optogenetics,"Targeted holographic stimulation of single pyramidal neurons in awake mouse V1 produces power-law recruitment with slope 0.2-0.3 embedded in ongoing critical avalanche activity (Nat. Commun. 16 art.68277) VERIFY DOI",Novel-token perturbations in LLMs may recruit downstream units with power-law distributions if the net is critical; gives a perturbation protocol analog to ROME/patching,5
4003,Sleep restores an optimal computational regime in cortical networks,"Xu, Y.; Schneider, A.; Wessel, R.; Hengen, K.B.",2024,journal_article,neuroscience,cortical_avalanches,experimental_chronic_in_vivo,"10-14 day continuous recording in freely behaving rats: waking progressively disrupts criticality; sleep restores it; deviation predicts future sleep/wake (Nat. Neurosci. 27:328-338) VERIFY pages",Training-inference asymmetry in LLMs (Candidate 19) has a direct biological analogue; use deviation-from-sigma=1 as a 'fatigue' metric across training steps,5
4004,Scale-free behavioral dynamics directly linked with scale-free cortical dynamics,"Jones, S.A.; Barfield, J.H.; Norman, V.K.; Shew, W.L.",2023,journal_article,neuroscience,cortical_avalanches,experimental_in_vivo_behaviour,"Mouse V1 2-photon + behavioural tracking: scale-free behaviour and scale-free neural activity are linked but scale-free activity is restricted to a winner-take-all subset of neurons (eLife 12:e79950)",Sparse-subset criticality motivates basis-dependent analysis (Candidate 5): SAE features vs raw neurons; the critical subset may be hidden in raw activations,4
4005,Low-dimensional criticality embedded in high-dimensional awake brain dynamics,"Fontenele, A.J.; Sooter, J.S.; Norman, V.K.; Gautam, S.H.; Shew, W.L.",2024,journal_article,neuroscience,cortical_avalanches,experimental_electrophysiology,"Awake mouse motor cortex: low-dim subspace shows large fluctuations consistent with criticality; orthogonal high-dim subspace is desynchronised; critical signature appears only at long timescales (Sci. Adv. 10:eadj9303)",Criticality in LLM activations may live in a low-dim subspace (e.g. top-k SAE features) while orthogonal subspace looks desynchronised; search for subspace-resolved sigma,5
4006,Is criticality a unified setpoint of brain function?,"Hengen, K.B.; Shew, W.L.",2025,review,neuroscience,critical_brain_review,meta_analysis,"Meta-analysis of 140 cortical-criticality datasets 2003-2024; argues criticality is homeostatic setpoint unifying cognition and disease (Neuron 113:2582-2598)",Mandatory review to cite as up-to-date critical-brain-hypothesis framing; provides numerical baseline of cortical exponents and dataset count,5
4007,Defining and measuring proximity to criticality,"Sooter, J.S.; Fontenele, A.J.; Barreiro, A.K.; Ly, C.; Hengen, K.B.; Shew, W.L.",2025,preprint,neuroscience,methodology_criticality,analytic_software,"Temporal renormalization group and information-theoretic distance-to-criticality for observed time series without known control parameter (bioRxiv 2025.08.03.668332)",Use temporal-RG estimator on LLM activation time series as a fourth criticality observable alongside alpha sigma and Lyapunov rho,4
4008,Tackling the subsampling problem to infer collective properties from limited data,"Levina, A.; Priesemann, V.; Zierenberg, J.",2022,review,neuroscience,subsampling,review,"Comprehensive review of subsampling biases and correction methods across neural avalanche networks and disease-spread systems (Nat. Rev. Phys. 4:770-784)",Mandatory methodology reference; LLM-activation subsampling by layer/head/feature must use these bias-correction schemes,5
4009,Consciousness is supported by near-critical slow cortical electrodynamics,"Toker, D.; Pappas, I.; Lendner, J.D.; Frohlich, J.; Mateos, D.M.; Muthukumaraswamy, S.; Carhart-Harris, R.; Paff, M.; Vespa, P.M.; Monti, M.M.; Sommer, F.T.; Knight, R.T.; D'Esposito, M.",2022,journal_article,neuroscience,edge_of_chaos,experimental_ecog_meg,"Modified 0-1 chaos test on human+macaque ECoG/MEG: low-freq cortical oscillations near edge-of-chaos during wakefulness; transition away during anaesthesia/seizure; psychedelics move closer to critical point (PNAS 119:e2024455119)",Direct empirical edge-of-chaos framework for cortex; replicate 0-1 chaos test on LLM residual-stream time series as an independent criticality observable,5
4010,Criticality supports cross-frequency cortical-thalamic information transfer during conscious states,"Toker, D.; Muller, E.; Lendner, J.D.; Mishne, G.; Pappas, I.; Paff, M.; Monti, M.M.; Sommer, F.T.; Knight, R.T.; D'Esposito, M.",2024,journal_article,neuroscience,edge_of_chaos,experimental_lfp,"Concurrent thalamic-cortical recordings across species: 1-13 Hz to 52-104 Hz cross-frequency transfer peaks when cortex is near critical point; disrupted under anaesthesia (eLife 12:RP86547)",Cross-frequency transfer analog in transformers: low-freq positional vs high-freq token-level patterns; if critical init supports transfer this predicts training dynamics,3
4011,Genetic contributions to brain criticality and its relationship with human cognitive functions,"Xie, Z.; et al. VERIFY author list",2025,journal_article,neuroscience,critical_brain_review,experimental_fmri_twins,"HCP twin rs-fMRI + Allen Brain transcriptomics: brain criticality metrics are substantially heritable; criticality of primary sensory cortex more genetically determined than association cortex; critical state correlates with total cognition (PNAS 122:e2417010122)",Establishes criticality as heritable biological phenotype; argument for criticality being a deep computational principle worth seeking in LLMs,3
4012,Critical dynamics predicts cognitive performance and provides a common framework for heterogeneous mechanisms impacting cognition,"Muller, J.; Miron, G.; et al. VERIFY",2025,journal_article,neuroscience,clinical_criticality,experimental_intracranial_eeg,"Multi-day invasive EEG of 104 epilepsy patients + cognitive battery: long-range temporal correlations predict cognitive performance; three mechanisms (IEDs, ASMs, SWA) push system subcritical (PNAS 122:e2417117122)",Clinical validation that deviation from criticality degrades information-processing; ML analogue: deviation from sigma=1 predicts benchmark score,3
4013,The cortical critical power law balances energy and information in an optimal fashion,"VERIFY authors",2025,journal_article,neuroscience,critical_brain_theory,analytic,"Fisher-information + metabolic-cost analysis proves the experimentally observed cortical critical power-law exponent is the unique energy-information Pareto optimum for population coding (PNAS 122:e2418218122)",Energy-information optimality argument transfers to LLMs: test whether critical exponents of activations minimise FLOPs-per-bit-of-mutual-information,4
4014,Quasiuniversal scaling in mouse-brain neuronal activity stems from edge-of-instability critical dynamics,"Morales, G.B.; di Santo, S.; Munoz, M.A.",2023,journal_article,neuroscience,griffiths_phases,theory_and_empirical,"Mouse-brain Neuropixels data matches Landau-Ginzburg edge-of-instability model predictions; quasi-universal power-law exponents emerge from edge-of-synchronisation not classical DP (PNAS 120:e2208998120)",Replaces pure-DP expectation with edge-of-instability framework; LLMs may sit at edge-of-instability of residual-stream synchronisation instead of DP critical point,5
4015,Statistical modeling of adaptive neural networks explains co-existence of avalanches and oscillations in resting human brain,"Lombardi, F.; Pepic, S.; Shriki, O.; Tkacik, G.; De Martino, D.",2023,journal_article,neuroscience,criticism,analytic_simulation,"Adaptive Ising-class model with two free parameters fits MEG avalanche + oscillation coexistence; gamma exponent ~1.6 rather than critical-branching's 2; argues sub-critical adaptive regime suffices (Nat. Comput. Sci. 3:254-263)",Alternative null model: LLM activations may be sub-critical-with-adaptation rather than at DP; add adaptive-Ising fit as competitor to Clauset-Shalizi-Newman,5
4016,Emergence of a Dynamical State of Coherent Bursting with Power-Law Distributed Avalanches from Collective Stochastic Dynamics of Adaptive Neurons,"Cocchi, L.; Lombardi, F.; Tkacik, G.; De Martino, D. VERIFY",2025,journal_article,neuroscience,criticism,analytic_simulation,"Power-law avalanches emerge from stochastic input + adaptation balance; neither critical branching nor DP required (PRX Life 3:013013)",Another non-critical-null: power-law avalanches from stochastic bursting; must be excluded before claiming criticality in LLMs,4
4017,Transition to chaos separates learning regimes and relates to measure of consciousness in recurrent neural networks,"Mastrovito, D.; Liu, Y.H.; Kusmierz, L.; Shea-Brown, E.; Koch, C.; Mihalas, S.",2024,preprint,criticality_in_dl,edge_of_chaos_rnn,empirical_theory,"Training pushes both ordered and chaotic RNNs toward edge of chaos; transition aligned with perturbational complexity index PCIst used clinically for consciousness (bioRxiv 2024.05.15.594236)",Direct precedent that training trajectories converge to edge-of-chaos (Candidate 3); also bridges ML training to clinical consciousness metric,5
