id,title,authors,year,type,domain,subcategory,method,key_finding,hypothesis_generated,relevance
3001,Exponential expressivity in deep neural networks through transient chaos,"Poole, B.; Lahiri, S.; Raghu, M.; Sohl-Dickstein, J.; Ganguli, S.",2016,paper,dl_theory,signal_propagation,mean_field,"Random deep networks undergo an order-to-chaos phase transition as weight variance crosses a critical value; near the transition, expressivity grows exponentially with depth while correlations decay slowly",Edge-of-chaos initialisation maximises expressive capacity; check whether trained nets stay near this boundary or drift,5
3002,Deep information propagation,"Schoenholz, S.S.; Gilmer, J.; Ganguli, S.; Sohl-Dickstein, J.",2017,paper,dl_theory,signal_propagation,mean_field,"Initialising at the edge-of-chaos boundary (q* fixed point with chi=1) yields vanishing gradient-correlation decay and enables training of very deep networks",Depth of trainable network diverges at criticality; trained nets may maintain residual edge-of-chaos structure,5
3003,Dynamical isometry and a mean field theory of CNNs,"Xiao, L.; Bahri, Y.; Sohl-Dickstein, J.; Schoenholz, S.S.; Pennington, J.",2018,paper,dl_theory,signal_propagation,mean_field,"Delta-orthogonal initialisation for CNNs achieves dynamical isometry allowing trainability of 10000-layer vanilla CNNs without batchnorm or residuals",CNNs can be placed at edge of chaos without topology tricks; contrast with skip-connection regimes,5
3004,Tensor Programs I-IV: architecture-agnostic infinite-width limits,"Yang, G.",2020,paper,dl_theory,infinite_width,mean_field,"Unifies infinite-width limits (GP, NTK, feature-learning) for arbitrary architectures via tensor-program formalism",Provides mean-field predictions against which to compare finite-width criticality measurements,4
3005,Resurrecting the sigmoid in deep learning through dynamical isometry,"Pennington, J.; Schoenholz, S.S.; Ganguli, S.",2017,paper,dl_theory,signal_propagation,mean_field,"Free-probability analysis of Jacobian spectrum shows orthogonal init + sigmoid can train very deep nets; controls entire singular-value distribution",Jacobian spectrum is a direct criticality observable; can compute on trained transformers,5
3006,Deep neural networks as Gaussian processes,"Lee, J.; Bahri, Y.; Novak, R.; Schoenholz, S.S.; Pennington, J.; Sohl-Dickstein, J.",2018,paper,dl_theory,infinite_width,gaussian_process,"Infinite-width Bayesian neural networks are equivalent to GPs with a specific recursive kernel",Baseline for what 'untrained' criticality looks like in the infinite-width limit,4
3007,Neural tangent kernel: convergence and generalization in neural networks,"Jacot, A.; Gabriel, F.; Hongler, C.",2018,paper,dl_theory,ntk,mean_field,"In the infinite-width limit, GD training evolves via a fixed kernel (NTK); dynamics become linear",Lazy regime is incompatible with non-trivial feature learning; finite-width departures relate to criticality,5
3008,On exact computation with an infinitely wide neural net,"Arora, S.; Du, S.S.; Hu, W.; Li, Z.; Salakhutdinov, R.; Wang, R.",2019,paper,dl_theory,ntk,analytic,"Closed-form NTK computation for CNNs; exact kernel enables comparison with finite-width trained nets",Use NTK regression as null model for what a non-critical network would predict,3
3009,Wide neural networks of any depth evolve as linear models under gradient descent,"Lee, J.; Xiao, L.; Schoenholz, S.S.; Bahri, Y.; Novak, R.; Sohl-Dickstein, J.; Pennington, J.",2019,paper,dl_theory,ntk,empirical_theory,"Wide finite nets are well-approximated by their linearisation around init throughout training",Edge of chaos at init determines linearised dynamics throughout training; test whether trained nonlinear features cluster near chi=1,4
3010,Feature learning in infinite-width neural networks (muP),"Yang, G.; Hu, E.J.",2021,paper,dl_theory,infinite_width,mean_field,"Maximal Update Parametrisation gives a distinct infinite-width limit (feature-learning) that enables hyperparameter transfer across scales",muP networks deliberately leave the NTK/lazy regime — are they closer to or further from edge of chaos?,4
3011,Grokking: generalization beyond overfitting on small algorithmic datasets,"Power, A.; Burda, Y.; Edwards, H.; Babuschkin, I.; Misra, V.",2022,paper,training_dynamics,grokking,empirical,"Networks can transition abruptly from memorisation to generalisation long after training loss converges",Phase transition in weights; is there a concomitant signature in activation criticality / avalanche statistics?,5
3012,Progress measures for grokking via mechanistic interpretability,"Nanda, N.; Chan, L.; Liberum, T.; Smith, J.; Steinhardt, J.",2023,paper,mech_interp,grokking,reverse_engineering,"Grokking in modular addition is explained by a discrete Fourier-basis circuit that emerges during training; specific progress measures predict the transition",Phase transitions in interpretability metrics align with weight-norm transitions; look for analogous activation-criticality transitions,5
3013,Towards understanding grokking: an effective theory of representation learning,"Liu, Z.; Kitouni, O.; Nolte, N.; Michaud, E.J.; Tegmark, M.; Williams, M.",2022,paper,training_dynamics,grokking,empirical_theory,"Phase diagram of grokking in four regimes; weight decay and data fraction control the transition",Provides phase-diagram template for mapping criticality vs topology knobs,4
3014,Gradient descent on neural networks typically occurs at the edge of stability,"Cohen, J.M.; Kaur, S.; Li, Y.; Kolter, J.Z.; Talwalkar, A.",2021,paper,training_dynamics,edge_of_stability,empirical,"Hessian top eigenvalue hovers near 2/lr during typical GD training; loss is non-monotone yet training progresses",Edge-of-stability is an optimisation-dynamics criticality distinct from signal-propagation criticality; both can coexist,5
3015,Self-stabilization: the implicit bias of gradient descent at the edge of stability,"Damian, A.; Nichani, E.; Lee, J.D.",2022,paper,training_dynamics,edge_of_stability,theory,"Analytic mechanism by which GD self-regulates the sharpness to hover near 2/lr",Self-organising behaviour in optimiser is a criticality analogue; do activations also self-organise?,4
3016,Adaptive gradient methods at the edge of stability,"Cohen, J.M.; Ghorbani, B.; Krishnan, S.; Agarwal, N.; Medapati, S.; Badura, M.; Suo, D.; Cardoze, D.; Nado, Z.; Dahl, G.E.; Gilmer, J.",2022,paper,training_dynamics,edge_of_stability,empirical,"Adam and related adaptive optimisers exhibit an analogous 'edge of stability' via the preconditioned Hessian",Edge-of-stability is robust across optimisers used in LLM training; relevant for Adam-trained nanoGPT,3
3017,The lottery ticket hypothesis: finding sparse trainable neural networks,"Frankle, J.; Carbin, M.",2019,paper,network_topology,pruning,empirical,"Dense randomly-initialised nets contain sparse subnetworks (winning tickets) that, trained in isolation with original init, match full-net performance",Topology and init jointly determine trainability; winning-ticket subnet could be examined for criticality signatures,4
3018,Scaling laws for neural language models,"Kaplan, J.; McCandlish, S.; Henighan, T.; Brown, T.B.; Chess, B.; Child, R.; Gray, S.; Radford, A.; Wu, J.; Amodei, D.",2020,paper,scaling,scaling_laws,empirical,"Test loss scales as a power law in model size, dataset size, and compute with specific exponents",Power-law scaling in macroscopic quantities; is this an echo of underlying critical organisation?,4
3019,Training compute-optimal large language models (Chinchilla),"Hoffmann, J.; Borgeaud, S.; Mensch, A.; Buchatskaya, E.; Cai, T.; Rutherford, E.; de las Casas, D.; Hendricks, L.A.; Welbl, J.; Clark, A.; Hennigan, T.; Noland, E.; Millican, K.; van den Driessche, G.; Damoc, B.; Guy, A.; Osindero, S.; Simonyan, K.; Elsen, E.; Rae, J.W.; Vinyals, O.; Sifre, L.",2022,paper,scaling,scaling_laws,empirical,"Compute-optimal training requires model and data to scale ~equally; Kaplan exponents revised",Use Chinchilla-optimal loss as reference for 'healthy' scaling; deviation may flag off-critical training,3
3020,Explaining neural scaling laws,"Bahri, Y.; Dyer, E.; Kaplan, J.; Lee, J.; Sharma, U.",2021,paper,scaling,scaling_laws,theory,"Four scaling regimes explained: variance-limited, resolution-limited, with data and parameter exponents tied to data manifold dimension and kernel spectrum",Connects scaling exponents to spectral properties of NTK — criticality-like universality,4
