id,authors,year,title,venue,url,tag,key_finding_1sentence
1,Gonzalez-Uribe J & Leatherbee M,2018,The Effects of Business Accelerators on Venture Performance: Evidence from Start-Up Chile,Review of Financial Studies 31(4) 1566-1603,https://academic.oup.com/rfs/article-abstract/31/4/1566/4104437,accelerator-core,Entrepreneurship schooling bundled with basic services raises probability of follow-on financing by 21pp and triples capital raised; basic services alone have no effect.
2,Fehder D C & Hochberg Y V,2014,Accelerators and the Regional Supply of Venture Capital Investment,SSRN Working Paper,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2518668,accelerator-core,Entry of an accelerator into a region is associated with increased seed and early-stage VC activity in that region within the following years.
3,Cohen S & Hochberg Y V,2014,Accelerating Startups: The Seed Accelerator Phenomenon,SSRN Working Paper,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2418000,accelerator-core,Defines seed accelerators (cohort-based fixed-term equity-for-services programs) and documents their proliferation and distinct features vs. incubators/angels.
4,"Cohen S, Fehder D C, Hochberg Y V & Murray F",2019,The design of startup accelerators,Research Policy 48(7) 1781-1797,https://doi.org/10.1016/j.respol.2019.04.003,accelerator-core,Surveys 150+ accelerators worldwide and documents large heterogeneity in program design dimensions (investor involvement sponsorship cohort size curriculum).
5,"Hallen B L, Cohen S L & Bingham C B",2020,Do Accelerators Work? If So How?,Organization Science 31(2) 378-414,https://pubsonline.informs.org/doi/10.1287/orsc.2019.1304,accelerator-core,Top accelerators accelerate fundraising and customer traction but effects concentrate in a few elite programs; mentorship is the key mechanism.
6,"Cohen S L, Bingham C B & Hallen B L",2019,The Role of Accelerator Designs in Mitigating Bounded Rationality in New Ventures,Administrative Science Quarterly 64(4) 810-854,https://journals.sagepub.com/doi/10.1177/0001839218782131,accelerator-core,Intensive consultation + broad mentorship designs help founders overcome cognitive limits; different design choices produce different behaviour changes.
7,Yu S,2020,How Do Accelerators Impact the Performance of High-Technology Ventures?,Management Science 66(2) 530-552,https://doi.org/10.1287/mnsc.2018.3256,accelerator-core,Accelerated ventures reach milestones (financing exit) faster but also fail faster; accelerators accelerate both success and failure.
8,Assenova V A & Amit R,2024,Poised for growth: Exploring the relationship between accelerator program design and startup performance,Strategic Management Journal 45(6) 1029-1060,https://sms.onlinelibrary.wiley.com/doi/10.1002/smj.3581,accelerator-core,Structured curricula help less-educated founders (+24pp VC prob) but can hurt highly-educated founders; effect is heterogeneous by design and founder type.
9,"Chan C S R, Patel P C & Phan P H",2020,Do differences among accelerators explain differences in the performance of member ventures? Evidence from 117 accelerators in 22 countries,Strategic Entrepreneurship Journal 14(2) 224-239,https://sms.onlinelibrary.wiley.com/doi/10.1002/sej.1351,accelerator-core,11-14% of variance in member venture performance is attributable to which accelerator they attended.
10,Fehder D C,2024,Coming from a Good Pond: The Influence of a New Ventures Founding Ecosystem on Accelerator Performance,Administrative Science Quarterly 69(1),https://journals.sagepub.com/doi/10.1177/00018392231204839,accelerator-core,Ecosystem of origin confounds accelerator effects; ventures from thicker ecosystems are selected by stronger accelerators and would have succeeded anyway.
11,"Smith S W, Hannigan T J & Gasiorowski L",2016,Peering Inside: How do Peer Effects Impact Entrepreneurial Outcomes in Accelerators,Mack Institute Working Paper,https://mackinstitute.wharton.upenn.edu/wp-content/uploads/2016/03/Winston-Smith-Sheryl-Hannigan-Thomas-and-Gasiorowski-Laura_Peering-Inside.How-do-Peer-Effects-Impact-Entrepreneurial-Outcomes-in-Accelerators.pdf,accelerator-core,Intra-cohort peer effects via social network density predict startup performance beyond individual quality.
12,Winston-Smith S & Hannigan T J,2015,Swinging for the Fences: How Do Top Accelerators Impact the Trajectories of New Ventures?,DRUID Working Paper,https://conference.druid.dk/acc_papers/3lpk6vjykdf8f0v25rpcf9yp9crq10.pdf,accelerator-core,Top accelerators drive ventures toward higher-risk higher-variance outcomes (more exits AND more shutdowns) than equivalent angel rounds.
13,Radojevich-Kelley N & Hoffman D L,2012,Analysis of Accelerator Companies: An Exploratory Case Study of Their Programs Processes and Early Results,Small Business Institute Journal 8(2) 54-70,https://sbij.scholasticahq.com/article/1006,accelerator-core,Early descriptive study of five accelerators shows wide variation in selectivity mentorship intensity and exit rates.
14,Miller P & Bound K,2011,The Startup Factories: The Rise of Accelerator Programmes to Support New Technology Ventures,NESTA Research Report,https://media.nesta.org.uk/documents/the_startup_factories_0.pdf,accelerator-core,First systematic mapping of global accelerators; identifies Y Combinator Techstars Seedcamp as prototypes of a distinct new model.
15,Cohen S,2013,What Do Accelerators Do? Insights from Incubators and Angels,Innovations: Technology Governance Globalization 8(3-4) 19-25,https://doi.org/10.1162/INOV_a_00184,accelerator-core,Accelerators differ from incubators in cohort structure fixed duration and equity model; differ from angels in education component.
16,"Cohen S, Fehder D C & Hochberg Y V",2016,Accelerating Entrepreneurs and Ecosystems: The Seed Accelerator Model,Innovation Policy and the Economy 16 167-194,https://www.journals.uchicago.edu/doi/10.1086/684985,accelerator-core,Policy-oriented summary: accelerators raise regional VC supply but public-funded accelerators have weaker founder outcomes than private ones.
17,Drori I & Wright M,2018,Accelerators: Characteristics Trends and the New Entrepreneurial Ecosystem,Edward Elgar Accelerators Book Ch.1,https://doi.org/10.4337/9781786434098.00006,accelerator-core,Review chapter: accelerators are part of a broader ecosystem shift toward cohort-based fast cheap experimentation.
18,"Pauwels C, Clarysse B, Wright M & Van Hove J",2016,Understanding a new generation incubation model: The accelerator,Technovation 50-51 13-24,https://doi.org/10.1016/j.technovation.2015.09.003,accelerator-core,Identifies five design components (strategic focus selection funding value-add graduation) that distinguish accelerators.
19,Clarysse B & Wright M,2023,Accelerators research agenda,Small Business Economics 61 1-8,https://doi.org/10.1007/s11187-022-00716-4,accelerator-core,Editorial mapping open questions: heterogeneity mechanism identification long-run outcome measurement causal identification.
20,Hochberg Y V,2016,Accelerating Entrepreneurs and Ecosystems: The Seed Accelerator Model,NBER Innovation Policy and the Economy,https://www.nber.org/chapters/c13536,accelerator-core,Synthesis argues seed accelerators are a novel institution filling gap between angels and VCs with measurable ecosystem effects.
21,Hathaway I,2016,Accelerating Growth: Startup Accelerator Programs in the United States,Brookings Advanced Industries Report,https://www.brookings.edu/articles/accelerating-growth-startup-accelerator-programs-in-the-united-states/,accelerator-core,Maps 160+ US accelerators; reports graduate startups have raised $19B+ and employ 6500+; no causal identification.
