id,title,authors,year,journal,url,category,relevance
P001,"Mind the Gap: Why do people act environmentally and what are the barriers to pro-environmental behavior?",Kollmuss & Agyeman,2002,Environmental Education Research,https://doi.org/10.1080/13504620220145401,occupant_behaviour,Foundational framework for attitude-behavior gap applicable to energy use
P002,"The prebound effect in an energy-efficient housing estate in Germany",Sunikka-Blank & Galvin,2012,Building and Environment,https://doi.org/10.1016/j.buildenv.2012.04.009,performance_gap,Defines the prebound effect: occupants of low-rated homes use less energy than predicted
P003,"Introducing the prebound effect: the gap between performance and actual energy consumption",Galvin,2014,Building Research & Information,https://doi.org/10.1080/09613218.2014.883248,performance_gap,Formalizes prebound as ratio of actual/predicted consumption; shows it is strongest for worst-rated homes
P004,"Energy performance gap in refurbished Dutch dwellings",Majcen et al,2013,Renewable and Sustainable Energy Reviews,https://doi.org/10.1016/j.rser.2013.07.002,performance_gap,Large-scale Dutch study matching EPC labels to metered gas; documents convergence of actual consumption across rating bands
P005,"Actual and theoretical gas consumption in Dutch dwellings: What causes the differences?",Majcen et al,2013,Energy Policy,https://doi.org/10.1016/j.enpol.2013.06.018,performance_gap,Finds occupant behavior and thermostat settings explain most of the EPC-actual gap in Netherlands
P006,"Measuring domestic energy consumption",Summerfield et al,2007,Building Research & Information,https://doi.org/10.1080/09613210601108205,methodology,Reviews methods for measuring household energy consumption; discusses meter data vs survey data
P007,"The performance gap in energy-efficient office buildings",Menezes et al,2012,Applied Energy,https://doi.org/10.1016/j.apenergy.2011.11.075,performance_gap,Documents performance gap in non-domestic buildings; identifies unregulated loads as key driver
P008,"The energy performance gap: Are EPCs reliable?",Laurent et al,2013,European Council for an Energy Efficient Economy,https://www.eceee.org/library/conference_proceedings/eceee_Summer_Studies/2013/,epc_literature,Questions reliability of EPCs as predictors of actual energy use across EU member states
P009,"Do energy efficiency measures really reduce household energy demand? A difference-in-differences analysis",Aydin et al,2017,Energy Economics,https://doi.org/10.1016/j.eneco.2017.08.025,retrofit_effectiveness,Dutch study using utility billing data to measure actual savings from EPC-rated retrofits; finds significant rebound
P010,"Do energy audits help? Evidence from the residential sector",Alberini & Bigano,2015,Resource and Energy Economics,https://doi.org/10.1016/j.reseneam.2014.12.001,retrofit_effectiveness,Evaluates whether energy audit recommendations are followed and effective
P011,"The rebound effect in residential heating",Sorrell et al,2009,Energy Policy,https://doi.org/10.1016/j.enpol.2009.05.004,rebound_effect,Comprehensive review of rebound effects in residential heating; estimates direct rebound 10-30%
P012,"The rebound effect is over-played",Gillingham et al,2013,Nature,https://doi.org/10.1038/493475a,rebound_effect,Argues rebound effects are smaller than commonly assumed in residential sector
P013,"Energy performance certificates: From design to implementation",Arcipowska et al,2014,Buildings Performance Institute Europe,https://bpie.eu/publication/energy-performance-certificates-from-design-to-implementation/,epc_literature,Comprehensive review of EPC implementation across EU member states
P014,"The performance gap in energy performance of buildings",de Wilde,2014,Automation in Construction,https://doi.org/10.1016/j.autcon.2014.02.009,performance_gap,Major review paper defining typology of performance gaps: design vs as-built vs in-use
