id,title,authors,year,type,domain,subcategory,method,key_finding,hypothesis_generated,relevance
1,Quantum Computation and Quantum Information (10th Anniv Ed.),"Nielsen, M.A.; Chuang, I.L.",2010,textbook,fundamentals,qec_basics,analytic,"Canonical textbook — Chapter 10 defines Knill-Laflamme conditions, CSS construction, 9-qubit Shor code","KL conditions ground every reward; CSS separation is the backbone assumption",5
2,Quantum Error Correction (Cambridge ed. volume),"Lidar, D.A.; Brun, T.A. (eds.)",2013,textbook,fundamentals,edited_review,analytic,"Edited volume covering stabilizer codes, subsystem codes, topological codes, DFS","Use as canonical subsystem/stabilizer reference",5
3,Stabilizer Codes and Quantum Error Correction (PhD thesis),"Gottesman, D.",1997,textbook,fundamentals,stabilizer_formalism,analytic,"Defines stabilizer formalism, Clifford hierarchy, fault-tolerance","Foundational for action-space factorisation and reward",5
4,Modern Coding Theory,"Richardson, T.J.; Urbanke, R.L.",2008,textbook,classical_coding,ldpc,analytic,"Canonical classical LDPC textbook — BP, OSD, density evolution","Classical analogue guiding qLDPC decoder choice for final eval",4
5,Reinforcement Learning: An Introduction (2nd ed.),"Sutton, R.S.; Barto, A.G.",2018,textbook,ml_tools,rl_foundations,learning,"Foundational RL reference — MC, TD, policy gradient","Frames our MDP formulation, value/policy separation",5
6,Information Theory Inference and Learning Algorithms,"MacKay, D.J.C.",2003,textbook,classical_coding,information_theory,analytic,"Classic info-theory + decoding textbook","BP foundations and reasoning about decoder-optimal vs code-optimal",3
7,Quantum Error Correction for Quantum Memories,"Terhal, B.M.",2015,review,fundamentals,memory_review,analytic,"Review of stabilizer/topological codes; threshold; FT","Review scaffold for all theme-1 content",4
8,Simultaneous discovery of QEC codes and encoders with a noise-aware RL agent,"Olle, J.; Zen, R.; Puviani, M.; Marquardt, F.",2024,paper,ml_discovery,rl_code_discovery,learning,"RL + qdx + JAX — up to 25 qubits d=5; noise-aware meta-agent; npj QI","The direct precedent and baseline; our reward extends theirs",5
9,Discovering highly efficient low-weight QEC codes with RL,"Authors (2502.14372)",2025,preprint,ml_discovery,rl_weight_reduction,learning,"RL + weight-aware reward; closer to qLDPC; arXiv:2502.14372","Complementary-reward baseline; our paper ablates against this",4
10,Scaling Automated Discovery of Quantum Circuits via RL with Gadgets,"Authors (2503.11638)",2025,preprint,ml_discovery,rl_gadgets,learning,"Gadget action-space compression; n up to ~40 at d<=7; arXiv:2503.11638","Directly composable with our reward axis; plan to adopt gadgets",5
