exp_id	description	target	mae	rmse	r2	prior	decision	notes
E00	Baseline: XGBoost on raw 5 features	scratch_hardness_N	2.1369	2.7428	-0.0749	1.00	BASELINE	family=xgboost features=raw5
E00	Baseline: XGBoost on raw 5 features	gloss_60	10.8662	13.8463	0.6985	1.00	BASELINE	family=xgboost features=raw5
E00	Baseline: XGBoost on raw 5 features	hiding_power_pct	3.1289	4.6123	0.4552	1.00	BASELINE	family=xgboost features=raw5
E00	Baseline: XGBoost on raw 5 features	cupping_mm	1.7602	2.5335	0.6136	1.00	BASELINE	family=xgboost features=raw5
T01_scratch_hardness_N	XGBoost on raw features	scratch_hardness_N	2.1369	2.7428	-0.0749	0.50	TOURNAMENT	family=xgboost
T02_scratch_hardness_N	LightGBM on raw features	scratch_hardness_N	2.2110	2.7861	-0.1092	0.50	TOURNAMENT	family=lightgbm
T03_scratch_hardness_N	ExtraTrees on raw features	scratch_hardness_N	2.0655	2.6498	-0.0033	0.60	TOURNAMENT	family=extratrees
T04_scratch_hardness_N	Ridge regression on raw features (linear baseline)	scratch_hardness_N	1.8324	2.4466	0.1447	0.20	TOURNAMENT	family=ridge
T01_gloss_60	XGBoost on raw features	gloss_60	10.8662	13.8463	0.6985	0.50	TOURNAMENT	family=xgboost
T02_gloss_60	LightGBM on raw features	gloss_60	11.7026	15.5483	0.6198	0.50	TOURNAMENT	family=lightgbm
T03_gloss_60	ExtraTrees on raw features	gloss_60	10.2862	12.8069	0.7420	0.60	TOURNAMENT	family=extratrees
T04_gloss_60	Ridge regression on raw features (linear baseline)	gloss_60	12.3296	14.7595	0.6574	0.20	TOURNAMENT	family=ridge
T01_hiding_power_pct	XGBoost on raw features	hiding_power_pct	3.1289	4.6123	0.4552	0.50	TOURNAMENT	family=xgboost
T02_hiding_power_pct	LightGBM on raw features	hiding_power_pct	3.0751	4.6401	0.4486	0.50	TOURNAMENT	family=lightgbm
T03_hiding_power_pct	ExtraTrees on raw features	hiding_power_pct	2.4536	3.8739	0.6156	0.60	TOURNAMENT	family=extratrees
T04_hiding_power_pct	Ridge regression on raw features (linear baseline)	hiding_power_pct	2.7244	4.0828	0.5731	0.20	TOURNAMENT	family=ridge
T01_cupping_mm	XGBoost on raw features	cupping_mm	1.7602	2.5335	0.6136	0.50	TOURNAMENT	family=xgboost
T02_cupping_mm	LightGBM on raw features	cupping_mm	1.7224	2.4466	0.6397	0.50	TOURNAMENT	family=lightgbm
T03_cupping_mm	ExtraTrees on raw features	cupping_mm	1.6597	2.3410	0.6701	0.60	TOURNAMENT	family=extratrees
T04_cupping_mm	Ridge regression on raw features (linear baseline)	cupping_mm	2.2497	2.8423	0.5137	0.20	TOURNAMENT	family=ridge
E001	scratch_hardness_N: add pvc_proxy	scratch_hardness_N	1.8331	2.4477	0.1439	0.70	KEEP	family=ridge feats=1
E002	scratch_hardness_N: add pvc_cpvc_dist	scratch_hardness_N	1.8331	2.4477	0.1439	0.65	REVERT	family=ridge feats=1
E003	scratch_hardness_N: add binder_frac	scratch_hardness_N	1.8331	2.4477	0.1439	0.50	REVERT	family=ridge feats=1
E004	scratch_hardness_N: add binder_pigment_ratio	scratch_hardness_N	1.7995	2.3353	0.2208	0.50	KEEP	family=ridge feats=1
