id	authors	year	venue	title	claim_or_finding
1	Avelino et al.	2016	ICPC	A Novel Approach for Estimating Truck Factors	Truck factor (TF) computed from DOA; ~65% of 133 GitHub projects have TF<=2.
2	Avelino et al.	2019	JSS	On the abandonment and survival of open source projects	1932 projects; 41% survive via successor; abandonment linked to contributor concentration.
3	Coelho & Valente	2017	FSE	Why modern open source projects fail	104 failed projects interviewed; top causes usurped/obsolete/lack-of-interest.
4	Coelho et al.	2018	EMSE	Identifying unmaintained projects in GitHub	RF classifier F1 0.80 detecting unmaintained from commits/authors/issues.
5	Coelho et al.	2020	EMSE	Is this GitHub project maintained? Measuring the level of maintenance activity	Maintenance activity score on 2927 projects; commit-frequency decay strongest predictor.
6	Valiev Vasilescu Herbsleb	2018	FSE	Ecosystem-level determinants of sustained activity in OSS projects	PyPI Cox on 46k packages; upstream activity + org backing predict sustained commits.
7	Miller et al.	2019	ICSE	Did you miss my comment or what? Understanding toxic behavior in OSS	Toxic interactions correlate with maintainer departure.
8	Raman et al.	2020	ICSE	Stress and burnout in open source	Pushback classifier; maintainers with pushback show 90-day attrition elevation.
9	Constantinou & Mens	2017	JSS	Developer retention in RubyGems and npm ecosystems	Median developer active period ~1 year; npm churn higher.
10	Qiu et al.	2019	ICSE	Going farther together: The impact of social capital on sustained participation in OSS	Network embeddedness + reciprocity predict contributor retention.
11	Zhou & Mockus	2015	TSE	Who will stay in the FLOSS community?	Early-month activity patterns predict long-term retention (AUC 0.72).
12	Lin et al.	2017	MSR	Developer turnover in global industrial OSS	Industrial OSS turnover 50% over 5 years; bus factor coupled with layoffs.
13	Ferreira et al.	2019	MSR	Comparison of three truck factor algorithms	DOA-based TF most predictive of actual abandonment.
14	Jergensen Sarma Wagstrom	2011	ESEM	The onion patch: migration in open source ecosystems	Peripheral-to-core transition <8%.
15	Robles & Gonzalez-Barahona	2006	MSR	Contributor turnover in libre software projects	>40% of contributors are one-shot; turnover is default state.
16	Eghbal	2016	Ford Foundation Report	Roads and Bridges: The Unseen Labor Behind Our Digital Infrastructure	Articulates OSS maintainer burden; seminal framing.
17	Eghbal	2020	Stripe Press	Working in Public	Taxonomy federations/clubs/stadiums/toys; stadium projects highest abandonment risk.
18	Crowston & Howison	2006	KBS	Assessing the health of open source communities	Early health framework; activity/responsiveness/demographics.
19	Schweik & English	2012	MIT Press	Internet Success: A Study of OSS Commons	174k SourceForge projects; only ~17% reach success; abandonment dominant.
20	Khondhu Capiluppi Stol	2013	OSS	Is it all lost? A study of inactive open source projects	Reactivation in ~22% of dormant projects.
21	Izquierdo-Cortazar et al.	2009	OSS	Software archaeology: knowledge loss when key developers leave	Orphaned code; quantifies knowledge loss.
22	Yamashita et al.	2015	MSR	Revisiting the pareto principle in core development	80/20 concentration across most OSS projects predicts fragility.
23	Lee Carver Bosu	2017	ICSME	Impact of bot usage on developer work practices	Bots mask human maintainer decline.
24	Mombach & Valente	2018	ICSME	GitHub REST API vs GHTorrent vs GHArchive	Methodological; GH Archive best for longitudinal.
25	Gousios et al.	2014	ICSE	Lean GHTorrent	GHTorrent pipeline predecessor.
26	Kalliamvakou et al.	2014	MSR	Promises and perils of mining GitHub	Warns against treating inactive repos as failed.
27	Kalliamvakou et al.	2016	EMSE	In-depth study of promises and perils of mining GitHub	Engineered project filter widely used downstream.
28	Borges & Valente	2018	JSS	Whats in a GitHub star?	Stars correlate weakly with quality.
29	Borges Hora Valente	2016	ICSME	Factors that impact popularity of GitHub repositories	Popularity driven by owner reputation/language/domain.
30	Zhu Zhou Mockus	2016	FSE	Code contribution effectiveness: patch vs pull-request	PR tooling increases volume not long-term retention.
31	Tsay Dabbish Herbsleb	2014	ICSE	Influence of social and technical factors on contributions	Social signals bias PR acceptance.
32	Steinmacher et al.	2015	ICSE	Social barriers faced by newcomers	Onboarding reception decisive for drop-off.
33	Steinmacher et al.	2018	TSE	Almost there: quasi-contributors in OSS	Quasi-contributors 60%+ of all.
34	Pinto Steinmacher Gerosa	2016	OSS	Casual contributors	48% of contributors make only one commit.
35	Dey et al.	2020	MSR	Detecting and characterizing bots	Bot activity masks declining human activity.
36	Decan Mens Grosjean	2019	EMSE	Dependency network evolution	Abandonment propagates along dependency edges.
37	Decan Mens Constantinou	2018	MSR	Security vulnerabilities in npm dependency network	Abandoned deps primary attack surface.
38	Cogo Oliva Hassan	2019	ICSME	Deprecation of packages in npm	Formal deprecation rare; silent abandonment dominant.
39	Zerouali et al.	2022	EMSE	JS developers facing uncertainty	Uncertainty around abandonment slows downstream updates.
40	Valiev et al.	2020	ESEM	Past present future of industrial participation in OSS	Corporate layoffs produce downstream abandonment signatures.
41	Germonprez et al.	2018	JAIS	Sustainability of corporate contributions to OSS	Firm-sponsored projects survive longer but create single-sponsor fragility.
42	Pham et al.	2013	ICSE	Shared understanding of testing culture	Testing norms transfer; weak health signal.
43	Foucault et al.	2015	FSE	Impact of developer turnover on quality in OSS	Turnover increases defect density.
44	Rigby et al.	2016	TSE	Quantifying knowledge loss	Models knowledge loss from departures.
45	Raymond	1999	Book	The Cathedral and the Bazaar	"Many eyeballs" thesis later challenged.
46	Zhou et al.	2016	TSE	Inflow of commits and exit of contributors in OSS	Exit rate step-function around release cycles.
47	Calefato Lanubile Novielli	2018	EMSE	Mood and emotions in OSS	Sentiment correlates with maintainer retention.
48	Ortu et al.	2015	MSR	Are bullies more productive?	Negative sentiment precedes maintainer departures.
49	Destefanis et al.	2018	OSS	Politeness level of communications	Low politeness linked to project decline.
50	Bock et al.	2022	ICSE	Measuring maintainer self-efficacy and burnout	45% of 284 maintainers report burnout symptoms.
51	Guzman Azocar Li	2014	MSR	Sentiment analysis of commit comments	Baseline for later abandonment predictors.
52	Wang et al.	2020	ICSE	Elite developers activities in OSS	Elite departure causes disproportionate activity drop.
53	Trinkenreich et al.	2021	TOSEM	Womens participation in OSS	Women leave at higher rates after hostile interactions.
54	Vasilescu et al.	2015	CHI	Gender and tenure diversity	Diversity associated with productivity and survival.
55	CHAOSS Project	2019	Whitepaper	CHAOSS Metrics	Standardized health metrics.
56	Goggins et al.	2021	MSR	OSS Community Health: metrics and narratives	Formalizes CHAOSS narratives.
57	Linux Foundation / Harvard	2022	Report	Census III of FOSS	Top 1000 critical packages; many 1-2 maintainers.
58	Synopsys OSSRA	2023	Industry Report	Open Source Security and Risk Analysis	84% of codebases contain an abandoned dependency.
59	Trockman et al.	2018	ICSE	Repository badges	Badges correlate with sustained activity modestly.
60	Kikas et al.	2017	MSR	Structure and evolution of package dependency networks	Abandonment cascades modeled.
61	Mirhosseini & Parnin	2017	ASE	Automated PRs for dependency upgrades	Greenkeeper/Dependabot masks upstream abandonment.
62	Zhou et al.	2021	ICSE	Sentiment on contributor retention	Negative sentiment in first interaction doubles drop-off.
63	Kikas Dumas Pfahl	2016	MSR	Dynamic contextual features for issue lifetime	Issue response-time model generalizes.
