id,title,authors,year,type,domain,subcategory,method,key_finding,hypothesis_generated,relevance
1,"Rigid Body Dynamics Algorithms","Roy Featherstone",2008,book,robotics,dynamics,"Recursive algorithms (RNEA ABA) in spatial vector notation","O(n) algorithms for forward/inverse dynamics of articulated bodies; foundational for all physics engines","Efficient recursive dynamics enable real-time simulation of thousands of parallel robots",4
2,"Modern Robotics: Mechanics Planning and Control","Kevin M. Lynch and Frank C. Park",2017,book,robotics,kinematics_dynamics,"Screw theory unified framework","Unified geometric treatment of robot kinematics dynamics and control using Lie groups","Screw-theoretic representations may provide more compact observation spaces for locomotion policies",3
3,"Underactuated Robotics: Algorithms for Walking Running Swimming Flying and Manipulation","Russ Tedrake",2023,book,robotics,control,"Nonlinear dynamics optimal control trajectory optimization","Underactuated systems require fundamentally different control approaches than fully actuated; energy-based and trajectory optimization methods essential","Combining trajectory optimization priors with RL policies may improve sample efficiency for dynamic locomotion",5
4,"Reinforcement Learning: An Introduction (2nd Edition)","Richard S. Sutton and Andrew G. Barto",2018,book,reinforcement_learning,foundations,"Temporal difference policy gradient actor-critic methods","Comprehensive treatment of RL theory including function approximation policy gradients and planning","Policy gradient methods with value function baselines (actor-critic) are the foundation for locomotion RL",4
5,"MuJoCo: A physics engine for model-based control","Emanuel Todorov and Tom Erez and Yuval Tassa",2012,paper,physics_simulation,engine,"Soft contact convex optimization generalized coordinates","Convex optimization-based contact model with generalized coordinates enables fast stable simulation for model-based control","MuJoCo's soft contact model trades small penetration for computational speed; critical for massive parallelism",5
6,"Proximal Policy Optimization Algorithms","John Schulman and Filip Wolski and Prafulla Dhariwal and Alec Radford and Oleg Klimov",2017,paper,reinforcement_learning,policy_gradient,"Clipped surrogate objective multiple epochs of minibatch updates","PPO achieves TRPO-like performance with simpler implementation better sample complexity and general applicability","PPO with clipped objective is the default algorithm for locomotion; HDR should optimize clip ratio and entropy coefficient",5
7,"High-Dimensional Continuous Control Using Generalized Advantage Estimation","John Schulman and Philipp Moritz and Sergey Levine and Michael Jordan and Pieter Abbeel",2015,paper,reinforcement_learning,advantage_estimation,"Exponentially weighted multi-step TD errors (GAE)","Lambda parameter (0.95-0.99) controls bias-variance tradeoff; critical for stable policy gradient training","GAE lambda is a key HDR variable; lower values may stabilize training on noisy contact dynamics",5
8,"Trust Region Policy Optimization","John Schulman and Sergey Levine and Philipp Moritz and Michael I. Jordan and Pieter Abbeel",2015,paper,reinforcement_learning,policy_gradient,"KL-divergence constrained policy updates trust region","Trust region constraints ensure monotonic policy improvement; foundation for PPO","Understanding TRPO helps diagnose PPO failures when policies collapse during locomotion training",3
9,"Soft Actor-Critic: Off-Policy Maximum Entropy Deep RL with a Stochastic Actor","Tuomas Haarnoja and Aurick Zhou and Pieter Abbeel and Sergey Levine",2018,paper,reinforcement_learning,off_policy,"Maximum entropy RL off-policy actor-critic dual Q-networks","Entropy-regularized off-policy learning achieves state-of-the-art continuous control with better exploration","SAC's maximum entropy formulation may discover more diverse gaits than PPO; test as alternative to PPO in HDR",4
10,"Addressing Function Approximation Error in Actor-Critic Methods (TD3)","Scott Fujimoto and Herke van Hoof and David Meger",2018,paper,reinforcement_learning,off_policy,"Clipped double-Q delayed policy updates target smoothing","Twin Q-networks and delayed updates reduce overestimation bias; smoothest training curves among off-policy methods","TD3 may produce smoother policies better suited for sim-to-real; compare with PPO in HDR",4
