id,title,authors,year,type,domain,subcategory,method,key_finding,hypothesis_generated,relevance
1041,Spontaneous spiking activity of hundreds of neurons in mouse somatosensory cortex slice cultures recorded using a dense 512 electrode array,"Ito, S.; Yeh, F.-C.; Timme, N.M.; Hottowy, P.; Litke, A.M.; Beggs, J.M.",2016,dataset,neuroscience,cortical_avalanches,high_density_mea,"CRCNS ssc-3: spontaneous multi-unit spiking from mouse S1 slices on 512-channel MEA, publicly released with spike times and metadata (DOI 10.6080/K07D2S2F)",Use ssc-3 as ground-truth biological avalanche reference to calibrate DL activation-avalanche pipelines,5
1042,Survey of spiking in the mouse visual system reveals functional hierarchy,"Siegle, J.H.; Jia, X.; Durand, S.; Gale, S.; Bennett, C.; Graddis, N.; Heller, G.; Ramirez, T.K.; Choi, H.; Luviano, J.A.; Groblewski, P.A.; Ahmed, R.; Arkhipov, A.; Bernard, A.; Billeh, Y.N.; Brown, D.; Buice, M.A.; Cain, N.; Caldejon, S.; Casal, L.; Cho, A.; Chvilicek, M.; Cox, T.C.; Dai, K.; Denman, D.J.; de Vries, S.E.J.; Dietzman, R.; Esposito, L.; Farrell, C.; Feng, D.; Galbraith, J.; Garrett, M.; Gelfand, E.C.; Hancock, N.; Harris, J.A.; Howard, R.; Hu, B.; Hytnen, R.; Iyer, R.; Jessett, E.; Johnson, K.; Kato, I.; Kiggins, J.; Lambert, S.; Lecoq, J.; Ledochowitsch, P.; Lee, J.H.; Leon, A.; Li, Y.; Liang, E.; Long, F.; Mace, K.; Melchior, J.; Millman, D.; Mollenkopf, T.; Nayan, C.; Ng, L.; Ngo, K.; Nguyen, T.; Nicovich, P.R.; North, K.; Ocker, G.K.; Ollerenshaw, D.; Oliver, M.; Pachitariu, M.; Perkins, J.; Reding, M.; Reid, D.; Robertson, M.; Ronellenfitch, K.; Seid, S.; Slaughterbeck, C.; Stoecklin, M.; Sullivan, D.; Sutton, B.; Swapp, J.; Thompson, C.; Turner, K.; Wakeman, W.; Whitesell, J.D.; Williams, D.; Williford, A.; Young, R.; Zeng, H.; Naylor, S.; Phillips, J.W.; Reid, R.C.; Mihalas, S.; Olsen, S.R.; Koch, C.",2021,journal_article,neuroscience,neuropixels_dataset,high_density_ephys,"Allen Visual Coding Neuropixels: simultaneous recordings from ~100k neurons across six cortical and two thalamic visual areas in awake mice, revealing a functional hierarchy (DOI 10.1038/s41586-020-03171-x)",Evaluate avalanche exponents across cortical hierarchy and match to per-layer DL criticality signatures,4
2046,Tuning Universality in Deep Neural Networks,"Ghavasieh, A.",2025,preprint,statphys,criticality_in_dl,stochastic_theory,"Landau + directed-percolation description of activity cascades in random DNNs shows activation-function choice selects between two universality classes (log-trap BM vs absorbed BM)",Universality class of avalanche statistics is a tunable macroscopic knob controlled by activation nonlinearity,5
2047,Intuition emerges in Maximum Caliber models at criticality,"Arola-Fernández, L.",2025,preprint,statphys,criticality_in_dl,maximum_caliber,"Maze-walking models trained with a Maximum-Caliber objective exhibit a fragile intermediate phase with hysteresis and multistability where novel goal-directed strategies appear spontaneously",An explicit entropy-weighted training objective produces a critical metastable phase analogous to edge-of-chaos in standard LLMs,4
3056,Dimensional Criticality at Grokking Across MLPs and Transformers,"Wang, P.",2026,preprint,criticality_in_dl,grokking,avalanche_probe,"VERIFY: TDU-OFC avalanche probe on MLP-XOR and transformer-modular-addition shows effective cascade dimension D(t) crosses the D=1 Gaussian baseline precisely at the grokking transition",Direct scoop risk: cascade-dimension analysis of grokking is already published; our contribution must diverge in method (SAE-feature events) or system (pretrained LLMs),5
3057,Grokking as Dimensional Phase Transition in Neural Networks,"Wang, P.",2026,preprint,criticality_in_dl,grokking,theory_empirical,"VERIFY: grokking is framed as a dimensional phase transition with sub- to super-diffusive crossover and self-organised criticality in gradient-field geometry",Near-scoop companion to 3056: pre-register how our criticality signatures differ from Wang's gradient-geometry signatures,5
3058,Intelligence at the Edge of Chaos,"Zhang, S.; Patel, A.; Rizvi, S.A.; Liu, N.; He, S.; Karbasi, A.; Zappala, E.; van Dijk, D.",2024,preprint,dl_theory,criticality_in_dl,empirical,"LLMs trained to predict elementary cellular-automaton dynamics acquire stronger downstream reasoning when the training CA sits at intermediate (edge-of-chaos) complexity than at trivial or fully chaotic complexity",Complexity of training data itself carries a criticality sweet-spot — distinct from activation criticality but potentially couples to it,4
3059,Sparse Autoencoders Can Interpret Randomly Initialized Transformers,"Heap, T.; Lawson, T.; Farnik, L.; Aitchison, L.",2025,preprint,mech_interp,sparse_autoencoders,empirical,"VERIFY: SAE interpretability metrics are broadly similar on random-init and trained transformers — the user-requested 'Heimersheim & Turner' attribution does not match arXiv 2501.17727 authors",Null-model warning: SAE-feature avalanches from random-init networks must be a control condition for any criticality claim,5
3060,Lyapunov Learning at the Onset of Chaos,"Benati, M.; Falanti, A.; others",2025,preprint,training_dynamics,edge_of_chaos,optimiser,"VERIFY: training algorithm that regularises maximum Lyapunov exponent toward zero improves adaptation under regime shifts (Lorenz benchmark) by ~96% loss-ratio",Explicit edge-of-chaos training objective provides an active-control baseline for our passive criticality measurements,4
3061,Learning Continually by Spectral Regularization,"Lewandowski, A.; Tanaka, H.; Schuurmans, D.; Machado, M.C.",2024,preprint,training_dynamics,plasticity,regularisation,"VERIFY: keeping the top singular value of each layer near one preserves plasticity and prevents loss-of-trainability in continual learning",Spectral-radius regularisation is effectively an edge-of-chaos constraint at weight level — compare to activation-level criticality metrics,4
3062,GrokAlign: Geometric Characterisation and Acceleration of Grokking,"Walker, T.; Humayun, A.I.; Balestriero, R.; Baraniuk, R.G.",2025,preprint,training_dynamics,grokking,jacobian_regularisation,"Jacobian alignment at training points drives grokking; direct Jacobian regularisation induces grokking much earlier than weight decay alone",Jacobian alignment is a geometric order parameter for grokking — test whether it co-varies with activation-criticality signatures,4
3063,Grokfast: Accelerated Grokking by Amplifying Slow Gradients,"Lee, J.; Kang, B.G.; Kim, K.; Lee, K.M.",2024,preprint,training_dynamics,grokking,gradient_filter,"Spectral decomposition of gradient trajectories shows slow components drive generalisation; amplifying them accelerates grokking >50x on image/language/graph tasks",Slow-gradient amplification supplies a cheap lever for generating many grokking transitions to sample critical signatures,3
3064,NeuralGrok: Accelerate Grokking by Neural Gradient Transformation,"Yu, X.; Zhang, Y.; others",2025,preprint,training_dynamics,grokking,gradient_transformation,"VERIFY: learned gradient-transformation module accelerates grokking on arithmetic tasks and reduces Absolute Gradient Entropy (AGE) more smoothly than weight decay",Gradient-entropy is a candidate progress measure worth comparing against activation-avalanche measures,3
