id,title,authors,year,journal,doi_or_url,category,relevance,key_finding
1,"High-throughput and explainable machine learning for lacquer formulations: Enhancing coating development by interpretable models","Various",2025,"Progress in Organic Coatings","https://www.sciencedirect.com/science/article/pii/S0300944025002140","ML_formulation","high","Gaussian process + Bayesian optimization for sequential design of lacquer formulations; predicts gloss, hardness, flexibility"
2,"Predictive quality analytics for the viscosity of water-based architectural paint manufacturing by using improved supervised machine learning","Various",2025,"Journal of Intelligent Manufacturing","https://link.springer.com/article/10.1007/s10845-025-02594-5","ML_formulation","high","ML models predict viscosity in water-based architectural paint manufacturing; maximum dissimilarity algorithm for sampling"
3,"The Effect of Machine Learning Algorithms on the Prediction of Layer-by-Layer Coating Properties","Various",2023,"ACS Omega","https://pubs.acs.org/doi/10.1021/acsomega.2c06471","ML_formulation","high","Comparison of SVR, Random Forest, Extra Trees for coating thickness prediction using 22-23 features"
4,"Novel corrosion protective coating formulations suggested by machine learning of historic test data","Various",2026,"npj Materials Degradation","https://www.nature.com/articles/s41529-026-00771-2","ML_formulation","high","ML discovers novel anticorrosion coating formulations from historical test databases"
5,"Linking microscopy to predictive coating performance via machine learning","Various",2025,"MRS Communications","https://link.springer.com/article/10.1557/s43579-025-00886-8","ML_formulation","high","Correlates SEM/TEM microstructural features with coating performance using ML"
6,"Prediction of coating degradation based on Environmental Factors-Physical Property-Corrosion Failure two-stage machine learning","Various",2025,"npj Materials Degradation","https://www.nature.com/articles/s41529-025-00614-6","ML_degradation","high","Two-stage ML predicts coating degradation from environmental and physical property data"
7,"Enhancing Paint Formula Innovation Using Generative AI and Historical Data Analytics","Various",2024,"Academia","https://www.academia.edu/129316796/Enhancing_Paint_Formula_Innovation_Using_Generative_AI_and_Historical_Data_Analytics","ML_formulation","high","Generative AI applied to historical paint formulation data for novel formula discovery"
8,"Artificial neural networks discover the effects of particle-size distribution on the appearance of powder coatings","Various",2025,"Powder Technology","https://www.sciencedirect.com/science/article/abs/pii/S0032591025014238","ML_formulation","medium","ANNs model effect of particle size distribution on gloss and roughness of powder coatings"
9,"AI-Driven Polymeric Coatings: Strategies for Material Selection and Performance Evaluation in Structural Applications","Various",2025,"PMC","https://pmc.ncbi.nlm.nih.gov/articles/PMC12787537/","ML_formulation","high","RF, gradient boosting predict adhesion strength, corrosion rate, hardness from compositional descriptors"
10,"Deep learning-based automated characterization of crosscut tests for coatings via image segmentation","Various",2021,"Journal of Coatings Technology and Research","https://link.springer.com/article/10.1007/s11998-021-00557-y","ML_testing","medium","Deep learning automates adhesion crosscut test evaluation through image segmentation"
11,"Process modeling and parameter optimization of surface coatings using artificial neural networks: State-of-the-art review","Various",2021,"Materials Today Proceedings","https://www.sciencedirect.com/science/article/abs/pii/S2214785320365779","ML_formulation","high","Review of ANN for coating thickness, hardness, tribological properties, roughness prediction"
12,"Machine Learning in Commercialized Coatings","Various",2024,"Wiley - Functional Coatings","https://onlinelibrary.wiley.com/doi/abs/10.1002/9781394207305.ch17","ML_formulation","high","Book chapter on ML integration in commercial coatings development"
13,"Data-Driven Materials Research and Development for Functional Coatings","Various",2024,"PMC","https://pmc.ncbi.nlm.nih.gov/articles/PMC11558159/","ML_formulation","high","Data mining and big data for functional coatings development; identifies critical material properties"
14,"Computer-aided design and solvent selection for organic paint and coating formulations","Various",2021,"Progress in Organic Coatings","https://www.sciencedirect.com/science/article/pii/S0300944021004392","computational_design","high","CAPD methodology for organic coatings combining databases and predictive models"
15,"A model-based solvent selection and design framework for organic coating formulations","Various",2020,"Progress in Organic Coatings","https://www.sciencedirect.com/science/article/abs/pii/S0300944019312299","computational_design","high","Systematic solvent selection framework using HSP and property models"
16,"Method for Optimizing Coating Properties Based on an Evolutionary Algorithm","Hyndman et al.",2005,"Report","https://robjhyndman.com/papers/emma.pdf","optimization","high","EMMA: evolutionary model-based multiresponse approach for sol-gel coating optimization"
17,"Multi-objective Stochastic Paint Optimizer (MOSPO)","Various",2022,"Neural Computing and Applications","https://link.springer.com/article/10.1007/s00521-022-07405-z","optimization","medium","Novel multi-objective metaheuristic inspired by paint mixing for optimization"
18,"Multi-objective optimization and its application in materials science","Shi et al.",2023,"Materials Genome Engineering Advances","https://onlinelibrary.wiley.com/doi/full/10.1002/mgea.14","optimization","high","Review of MOO methods (NSGA-II, Pareto) applied to materials including coatings"
19,"Hard coating material selection using multi-criteria decision making","Various",2013,"Materials & Design","https://www.sciencedirect.com/science/article/abs/pii/S0261306912005286","optimization","medium","TOPSIS and Ashby approach for hard coating material selection"
20,"Multi-objective optimization of concrete mix design based on machine learning","Various",2023,"Journal of Building Engineering","https://www.sciencedirect.com/science/article/abs/pii/S2352710223015760","optimization","high","DNN + MOPSO for concrete mix optimization; strength, cost, cement reduction"
21,"Optimizing sustainable blended concrete mixes using deep learning and multi-objective optimization","Various",2025,"Scientific Reports","https://www.nature.com/articles/s41598-025-00943-1","optimization","medium","DNN + MOO framework for sustainable concrete mixes; analogous to paint formulation"
22,"Machine learning in concrete science: applications, challenges, and best practices","Various",2022,"npj Computational Materials","https://www.nature.com/articles/s41524-022-00810-x","ML_analogy","high","Best practices for ML in cementitious materials; directly applicable methodology"
23,"Design of Experiments for Coatings","Roessler, Albert",2008,"Book - Vincentz Network","https://www.researchgate.net/publication/253843410_Design_of_Experiments_for_Coatings","DOE","high","Comprehensive textbook on DOE methods for coatings formulation"
24,"Applying Statistical Design of Experiments to VAE-Based Coatings Development","Various",2012,"PCI Magazine","https://www.pcimag.com/articles/96044-applying-statistical-design-of-experiments-to-vae-based-coatings-development-","DOE","high","DOE applied to vinyl acrylic emulsion coatings development"
25,"Mixture design of experiments (DOE) for optimal formulation","Anderson, Mark J.",2025,"Journal of Coatings Technology","https://journals.sagepub.com/doi/10.1177/87560879241305472","DOE","high","Mixture DOE methodology for coating formulation optimization"
26,"Formulation Simplified: Finding the Sweet Spot through Design and Analysis of Experiments with Mixtures","Various",2017,"ResearchGate","https://www.researchgate.net/publication/324149537","DOE","medium","Book on mixture DOE for formulation including coatings"
27,"Optimal design of mixture experiments for general blending models","Various",2022,"Chemometrics and Intelligent Lab Systems","https://www.sciencedirect.com/science/article/abs/pii/S0169743921001684","DOE","medium","Advanced optimal mixture design methods beyond Scheffe polynomials"
28,"Experimental Design for Formulation","Cornell, John A.",2002,"SIAM","https://epubs.siam.org/doi/10.1137/1.9780898718393","DOE","high","Foundational textbook on experimental design for mixture formulations"
29,"Bayesian optimization with adaptive surrogate models for automated experimental design","Various",2021,"npj Computational Materials","https://www.nature.com/articles/s41524-021-00662-x","Bayesian_opt","high","Adaptive surrogate models for BO in materials experimental design"
30,"On-the-fly closed-loop materials discovery via Bayesian active learning","Various",2020,"Nature Communications","https://www.nature.com/articles/s41467-020-19597-w","active_learning","high","CAMEO system for closed-loop autonomous materials exploration"
31,"Benchmarking Active Learning Strategies for Materials Optimization and Discovery","Various",2022,"arXiv","https://arxiv.org/abs/2204.05838","active_learning","high","Systematic comparison of active learning acquisition functions for materials"
32,"Active learning in materials science with emphasis on adaptive sampling","Various",2019,"npj Computational Materials","https://www.nature.com/articles/s41524-019-0153-8","active_learning","high","Review of active learning for targeted materials design"
33,"Data-Driven Strategies for Accelerated Materials Design","Various",2021,"Accounts of Chemical Research","https://pubs.acs.org/doi/10.1021/acs.accounts.0c00785","data_driven","high","Review of data-driven strategies including BO, active learning for materials"
34,"High-Dimensional Materials and Process Optimization Using Data-Driven Experimental Design with Well-Calibrated Uncertainty Estimates","Various",2017,"ResearchGate","https://www.researchgate.net/publication/316471433","data_driven","high","Data-driven experimental design for high-dimensional materials optimization"
35,"Small data machine learning in materials science","Various",2023,"npj Computational Materials","https://www.nature.com/articles/s41524-023-01000-z","ML_methods","high","Strategies for ML with small datasets in materials science"
36,"Cross-property deep transfer learning framework for enhanced predictive analytics on small materials data","Various",2021,"Nature Communications","https://www.nature.com/articles/s41467-021-26921-5","transfer_learning","high","Transfer learning across material properties to boost prediction with small datasets"
37,"Predicting Materials Properties with Little Data Using Shotgun Transfer Learning","Various",2020,"ACS Central Science","https://pubs.acs.org/doi/10.1021/acscentsci.9b00804","transfer_learning","high","Shotgun transfer learning for materials property prediction from limited data"
38,"Gaussian Process Regression for Materials and Molecules","Various",2021,"PMC","https://pmc.ncbi.nlm.nih.gov/articles/PMC8391963/","ML_methods","high","GPR review for materials; uncertainty quantification for active learning"
39,"Prediction and Interpretation of Polymer Properties Using the Graph Convolutional Network","Various",2022,"ACS Polymers Au","https://pubs.acs.org/doi/10.1021/acspolymersau.1c00050","ML_methods","medium","GCN predicts polymer Tg, Tm, density, elastic modulus"
40,"Polymer graph neural networks for multitask property learning","Various",2023,"npj Computational Materials","https://www.nature.com/articles/s41524-023-01034-3","ML_methods","medium","PolymerGNN for multitask polymer property prediction"
41,"Graph Neural Networks for Polymer Characterization and Property Prediction: Opportunities and Challenges","Various",2025,"PubMed","https://pubmed.ncbi.nlm.nih.gov/41607004/","ML_methods","medium","Review of GNN for polymer property prediction challenges"
42,"Generative deep learning for the inverse design of materials","Various",2024,"arXiv","https://arxiv.org/abs/2409.19124","generative_ML","high","Review of VAE, GAN, diffusion models for inverse materials design"
43,"Inverse design with deep generative models: next step in materials discovery","Various",2022,"National Science Review","https://academic.oup.com/nsr/article/9/8/nwac111/6605930","generative_ML","high","Deep generative models for inverse materials design review"
44,"Data-efficient and interpretable inverse materials design using a disentangled variational autoencoder","Various",2024,"arXiv","https://arxiv.org/html/2409.06740v1","generative_ML","medium","Disentangled VAE for data-efficient inverse materials design"
45,"A generative deep learning framework for inverse design of compositionally complex bulk metallic glasses","Various",2023,"npj Computational Materials","https://www.nature.com/articles/s41524-023-00968-y","generative_ML","medium","GAN + Boosted Trees for compositionally complex materials; applicable to formulations"
46,"Exploring design space: Machine learning for multi-objective materials design optimization","Various",2024,"Computational Materials Science","https://www.sciencedirect.com/science/article/pii/S0927025624006530","optimization","high","ML-driven exploration of multi-objective materials design spaces"
47,"Extreme Gradient Boosting to Predict Atomic Layer Deposition for Platinum Nano-Film Coating","Various",2023,"Langmuir","https://pubs.acs.org/doi/10.1021/acs.langmuir.2c03465","ML_formulation","medium","XGBoost achieves 99.9% accuracy for coating thickness prediction"
48,"Deep Learning Prediction of Dry Friction in DLC Coatings Using Literature-Derived Data","Various",2025,"Tribology Letters","https://link.springer.com/article/10.1007/s11249-025-02056-2","ML_formulation","medium","Deep learning on curated literature data for DLC coating friction prediction"
49,"Machine Learning-Based Prediction of Atmospheric Corrosion Rates Using Environmental and Material Parameters","Various",2025,"Coatings MDPI","https://www.mdpi.com/2079-6412/15/8/888","ML_degradation","medium","ML framework for atmospheric corrosion rate prediction"
50,"Development of Combinatorial Chemistry Methods for Coatings: High-Throughput Weathering Evaluation","Potyrailo et al.",2005,"ACS Combinatorial Science","https://pubs.acs.org/doi/10.1021/cc049920u","HTE","high","Combinatorial methods for coatings weathering evaluation and scale-up"
51,"Combinatorial and High-Throughput Screening of Materials Libraries: Review of State of the Art","Various",2011,"ACS Combinatorial Science","https://pubs.acs.org/doi/10.1021/co200007w","HTE","high","Comprehensive review of HTE for materials including coatings"
52,"High-Throughput Industrial Coatings Research at The Dow Chemical Company","Various",2016,"ACS Combinatorial Science","https://pubs.acs.org/doi/10.1021/acscombsci.6b00056","HTE","high","Industrial-scale HTE for coatings at Dow Chemical"
53,"Combinatorial and high-throughput screening of the effect of siloxane composition on surface properties of crosslinked siloxane-polyurethane coatings","Various",2007,"PubMed","https://pubmed.ncbi.nlm.nih.gov/17206846/","HTE","medium","HTE screening siloxane-PU coating composition-property relationships"
54,"Development of Combinatorial Chemistry Methods for Coatings: High-Throughput Optimization of Curing Parameters","Potyrailo et al.",2003,"Analytical Chemistry","https://pubs.acs.org/doi/abs/10.1021/ac025710x","HTE","high","HTE optimization of UV-cured automotive coating curing parameters"
