key,authors,year,title,venue,identifier,theme,role,verify
acharya2024willow,"Acharya R. et al. (Google Quantum AI)",2024,Quantum error correction below the surface code threshold,Nature,doi:10.1038/s41586-024-08449-y; arXiv:2408.13687,3;5;6,primary data source + drift characterisation anchor,
zenodo13273331,"Google Quantum AI",2024,"Data for ""Quantum error correction below the surface code threshold""",Zenodo,doi:10.5281/zenodo.13273331,3;5,primary real-data syndrome stream,
zenodo13961130,"Rigetti Computing",2024,Demonstrating real-time and low-latency quantum error correction with superconducting qubits,Zenodo,doi:10.5281/zenodo.13961130,3;5;6,secondary (cross-vendor) real-data stream,
zenodo14238907,"Google Quantum AI",2024,"Data for ""Demonstrating dynamic surface codes""",Zenodo,doi:10.5281/zenodo.14238907,5,tertiary Willow-era dynamic-code stream,
zenodo6804040,"Google Quantum AI",2022,"Data for ""Suppressing quantum errors by scaling a surface code logical qubit""",Zenodo,doi:10.5281/zenodo.6804040,3;5,Sycamore-era precursor data (cross-generation baseline),
arxiv2511_09491,Adaptive Estimation of Drifting Noise in QEC authors,2025,Adaptive Estimation of Drifting Noise in Quantum Error Correction,arXiv,arXiv:2511.09491,1;5,primary baseline (sliding-window MLE),VERIFY author list
arxiv2406_08981,"Noise-parameter Bayesian inference authors",2024,Bayesian inference of general noise-model parameters from the syndrome statistics of surface codes,arXiv,arXiv:2406.08981,1,primary baseline (static Bayesian MCMC),VERIFY author list
arxiv2504_14643,DEM estimation authors,2025,Per-edge DEM estimation from syndrome statistics,arXiv,arXiv:2504.14643,1;5,primary baseline (per-edge DEM MLE),VERIFY
arxiv2502_21044,Noise-informed decoding authors,2025,Noise-model-informed decoding,arXiv,arXiv:2502.21044,1;4,translation from inference to LER payoff,VERIFY
arxiv2602_19722,Differentiable MLE authors,2026,Differentiable Maximum Likelihood Noise Estimation for Quantum Error Correction,arXiv,arXiv:2602.19722,1;4,additional static baseline,VERIFY
arxiv2512_10814,DEM-on-Willow authors,2025,Estimating Detector Error Models on Google's Willow,arXiv,arXiv:2512.10814,1;3;5,most methodologically adjacent real-data work; Phase 0.5 deep read,VERIFY
arxiv2603_00837,ReloQate authors,2026,ReloQate: Transient Drift Detection and In-Situ Recalibration in Surface Code QEC,arXiv,arXiv:2603.00837,3;4,scoop-scan adjacent; not a scoop (complementary),VERIFY
arxiv2603_14687,Ch-DQN authors,2026,Adaptive Control of Stochastic Error Accumulation in Fault-Tolerant Quantum Computation,arXiv,arXiv:2603.14687,1,RL-based adjacent; not a scoop,VERIFY
arxiv2511_08493,RL-QEC authors,2025,Reinforcement Learning Control of Quantum Error Correction,arXiv,arXiv:2511.08493,1;4,adjacent RL work,VERIFY
arxiv2509_06756,Iterative lattice reweighting authors,2025,Enhancing Fault-Tolerant Surface Code Decoding with Iterative Lattice Reweighting,arXiv,arXiv:2509.06756,4,decoder-side robustness reference,VERIFY
arxiv2509_13678,Rare event QEC authors,2025,Rare Event Simulation of Quantum Error-Correcting Circuits,arXiv,arXiv:2509.13678,5,syndrome-statistics rare-event reference,VERIFY
arxiv2511_15177,Fail fast authors,2025,Fail fast: techniques to probe rare events in quantum error correction,arXiv,arXiv:2511.15177,5,rare-event technique reference,VERIFY
arxiv2510_06257,QuBA authors,2025,Toward Uncertainty-Aware and Generalizable Neural Decoding for Quantum LDPC Codes,arXiv,arXiv:2510.06257,4,uncertainty-aware decoding reference,VERIFY
arxiv2601_14713,QuFid authors,2026,Adaptive Fidelity Estimation for Quantum Programs with Graph-Guided Noise Awareness,arXiv,arXiv:2601.14713,3,adaptive fidelity estimation reference,VERIFY
arxiv2601_09921,Self-Coordinating NN authors,2026,Learning to Decode in Parallel: Self-Coordinating Neural Network for Real-Time QEC,arXiv,arXiv:2601.09921,4;6,parallel neural decoder reference,VERIFY
arxiv2509_03815,Parallel NN decoding authors,2025,Learning Neural Decoding with Parallelism and Self-Coordination for QEC,arXiv,arXiv:2509.03815,4;6,parallel neural decoder reference,VERIFY
arxiv2508_XXXXX_azureestim,Microsoft,2022+,Azure Quantum Resource Estimator,Microsoft Docs + arXiv,learn.microsoft.com/azure/quantum/overview-resources-estimator,7,public FTQC cost tool,VERIFY exact ref
arxiv2505_15917,Gidney et al.,2025,How to factor 2048 bit RSA integers with less than a million noisy qubits,arXiv,arXiv:2505.15917,7,PER-2 anchor FTQC estimate,
arxiv1905_09749,Gidney & Ekerå,2019,How to factor 2048 bit RSA integers in 8 hours using 20 million noisy qubits,arXiv,arXiv:1905.09749,7,historical FTQC estimate anchor,
fowler2013correlated,Fowler,2013,Optimal complexity correction of correlated errors in the surface code,arXiv,arXiv:1310.0863,4;7,correlated matching reference; 15% anchor for 5% justification,
arxiv2205_09828,Fowler et al.,2022,Pipelined correlated minimum weight perfect matching of the surface code,Quantum,arXiv:2205.09828,4,pipelined correlated matching reference,VERIFY
arxiv1206_0800,Fowler,2012,Proof of finite surface code threshold for matching,arXiv,arXiv:1206.0800,4,surface-code threshold proof,
fowler2012surface,Fowler Mariantoni Martinis Cleland,2012,Surface codes: Towards practical large-scale quantum computation,Phys. Rev. A,doi:10.1103/PhysRevA.86.032324,4,surface-code canonical reference,
dennis2002topological,Dennis Kitaev Landahl Preskill,2002,Topological quantum memory,J. Math. Phys.,doi:10.1063/1.1499754,5,surface-code threshold and statistical mapping,
higgott2023sparse,Higgott Gidney,2023,Sparse Blossom: correcting a million errors per core second with minimum-weight matching,Quantum,arXiv:2303.15933,4,PyMatching v2 reference; ~10^6 errors/core-sec,
gidney2021stim,Gidney,2021,Stim: a fast stabilizer circuit simulator,Quantum,arXiv:2103.02202,5,Stim toolchain,
bausch2024alphaqubit,Bausch et al.,2024,Learning high-accuracy error decoding for quantum processors (AlphaQubit),Nature,doi:10.1038/s41586-024-08148-8,4,neural decoder reference,VERIFY doi
riverlane_lcd_2025,"Barnes et al. (Riverlane)",2025,A Local Clustering Decoder for surface-code quantum error correction,Nat. Commun.,VERIFY,4,PER-1 LCD anchor,VERIFY authors
kjaergaard2020review,Kjaergaard Schwartz Braumüller Krantz Wang Gustavsson Oliver,2020,Superconducting Qubits: Current State of Play,Annual Review CMP,doi:10.1146/annurev-conmatphys-031119-050605,3,superconducting drift and TLS review,
muller2019tls,Müller Cole Lisenfeld,2019,Towards understanding two-level-systems in amorphous solids: insights from quantum circuits,Rep. Prog. Phys.,doi:10.1088/1361-6633/ab3a7e,3,TLS physics review,
arxiv2602_11912,Superconducting-benchmarking authors,2026,Millisecond-Scale Calibration and Benchmarking of Superconducting Qubits,arXiv,arXiv:2602.11912,3,millisecond-scale drift anchor,VERIFY
