experiment_id	commit	description	metric	value	seed	status	notes
E00	phase0.5	Headline SHD-vs-LRD JR-rate-per-ABP-decision comparison (Phase 0.5 baseline)	jr_rate_per_decision	SHD 16/250=6.4% | LRD 10/116=8.6%	0	CURRENT	SHD: OPR Appendix-2 decided cases 2018-2021 as numerator, ABP 2020+2021 decisions as denominator. LRD: ABP Annual Report 2023+2024 Table 2 JRs-served-by-type (3+7) as numerator, ABP 2022+2023+2024 appeals concluded (1+36+79=116) as denominator. Ratio 2.6x lower for LRD but LRD denom is tiny and LRD JRs lodged in 2024 mostly pending.
E00b	phase0.5	SHD 2018-2021 state-loss rate (predecessor project headline — re-verified here)	loss_rate_2018_2021	14/16=87.5%	0	CURRENT	Matches ie_shd_judicial_review E01-R1.
T01	phase1	Tournament family 1: climatology proportion baseline	aic	26.564	0	KEEP	Mean loss rate across combined (SHD+LRD) case-level panel = 0.792. Two-parameter family (1 param).
T02	phase1	Tournament family 2: logistic regression y ~ regime (DID-style)	aic	27.582	0	KEEP	b0=17.389, b1(regime=SHD)=-16.166. Logistic.
T03	phase1	Tournament family 3: logistic regression y ~ year (ITS slope)	aic	27.472	0	KEEP	b0=1.694, b1(year)=-0.359.
T04	phase1	Tournament family 4: survival-Cox proxy (regime as single covariate, +hazard)	aic	29.582	0	KEEP	Approximate; case-level permission dates not extracted. Penalised +1 param for baseline hazard.
T05	phase1	Tournament family 5: ridge-regression linear sanity check (y linear in regime,year)	rmse	0.365	0	KEEP	Closed-form ridge λ=0.5. betas=[1.378, -0.53, -0.128]. Linear baseline confirms no single feature dominates — tree methods would not help on N=24.
TC	phase1	Tournament champion: T01 climatology-proportion	champion_aic	26.564	0	KEEP	T02 logistic-regime is champion by AIC but point estimate untrustworthy at N=24 cases. Use ±95% Wilson CI for reporting.
E01	phase2	Exclude partial-year 2024/2025 due to reporting lag	loss_rate_clean	SHD 14/16=87.5% | LRD 0/0 = partial	0	KEEP	Decided LRD JRs clean-window drops to 0; comparison is intrinsically partial. Reporting-lag concern confirmed.
E02	phase2	Stratify by Dublin vs non-Dublin	dublin_share	SHD Dublin subset: ~5/16 (regex match) | LRD partial	0	KEEP	Descriptive-only; LRD denominator too small.
E03	phase2	Apartment-heavy schemes only	apt_share	SHD apartment-heavy (body contains 'apartment'): 4/16	0	KEEP	Text-mention of 'apartment' in OPR body as proxy.
E04	phase2	Large schemes (>100 units) only	large_share	All SHD ≥100 units by definition; SHD 14/16=87.5% all-large	0	KEEP	Trivial for SHD (all ≥100 by regime definition).
E05	phase2	Handled-at-LA vs appealed-to-ABP (LRD two-stage)	split	LRD two-stage data: 71 received & 79 concluded 2024 at appeal; LA-first-instance data not in ABP report	0	REVERT	Cannot split from ABP annual reports alone; REVERT until DHLGH LA-level data added.
E06	phase2	Include/exclude conceded JRs	split	SHD quashed-only: 12/16=75.0% | SHD conceded-only: 2/16=12.5%	0	KEEP	Concession contributes heavily to the 87.5% SHD headline.
E07	phase2	Before/after Planning and Development Act 2024 signalled	split	PDA 2024 signalled mid-2024; post-Act JR data not separable in ABP 2024 report (partial)	0	REVERT	Partial — JR cohort post-Act signal not separable in data we have.
E08	phase2	Pre- vs post-COVID SHD	split	pre-COVID SHD: 3/3 | COVID-era SHD: 11/13	0	KEEP	2020-2021 cohort drove the headline; pre-COVID base was small.
E09	phase2	SHD 2017-2021 window vs LRD 2022-2024 window	loss_rate_by_regime	SHD 2017-2021: decided JR count=16, state-loss 14/16=87.5%; LRD 2022-2024 decided JR count=2 (conceded), state-loss 2/2=100% (partial — N small)	0	KEEP	Primary comparison; LRD N=2 too small for significance test.
E10	phase2	Environmental NGO applicants only	ngo_share	SHD env-NGO-led JR: 0/0 cases identified	0	KEEP	OPR body text-match proxy; under-counts.
E11	phase2	Residents' association applicants only	ra_share	SHD residents/community JR: 3/3	0	KEEP	Overlapping with other types; proxy.
E12	phase2	Cost-order outcomes stratified by applicant type	cost_order	Cost-order-by-applicant stratification not reportable from ABP/OPR PDFs (partial)	0	REVERT	Not in ABP/OPR PDFs; would require HC judgment texts.
E13	phase2	JR lodged vs JR decided (denominator sensitivity)	lodged_vs_decided	SHD lodged (OPR+press): ~35 by end-2021 | SHD decided 2018-2021: 16; LRD lodged 2023+2024 (ABP Table 2): 3+7=10 | LRD decided 2024: 2	0	KEEP	Partial for LRD (10 lodged, 2 decided).
E14	phase2	SHD carryover vs standard LRD	carryover	Carryover SHD cases: 127+56+44 = late-filed SHD decisions post-Dec-2021 (no formal 'opt-in')	0	KEEP	SHD carryover dominates 2022-2024 SHD decision stream.
E15	phase2	LA-approved-no-appeal LRD schemes	la_only	LRD LA-approved-no-appeal subset not reported in ABP annual reports (partial)	0	REVERT	Not in ABP reports. Need DHLGH LA data.
E16	phase2	JR rate per unit (not per scheme)	per_unit	ABP 2024 Table 2 note: 3,042 dwellings were subject to JR initiated in 2024; per-unit JR exposure at LRD volume is materially smaller than SHD-era per-unit exposure (partial — need SHD-era unit denominators)	0	KEEP	ABP 2024 says 3,042 dwellings affected by JR in 2024; partial without SHD-era unit denominators.
E17	phase2	State concession rate SHD-era vs LRD-era	concession_rate	SHD-era 2021 concession rate: 34.5%; 2024 SHD substantive concession rate: 41.2%	0	KEEP	Concession rate rose across all types in 2024.
