id,title,authors,year,venue,theme,method,material,key_finding,doi_or_url
1,"Machine learning enabled 3D printing parameter settings for desired mechanical properties","Various",2024,"Virtual and Physical Prototyping","ML prediction","LSTM neural network","MEX materials","LSTM model predicts parameter configurations to meet specific stress-strain requirements","https://doi.org/10.1080/17452759.2024.2425825"
2,"Review of machine learning applications in additive manufacturing","Various",2024,"Results in Engineering","ML review","Multiple ML methods","Multiple","Comprehensive review covering supervised, unsupervised, and reinforcement learning in AM","https://www.sciencedirect.com/science/article/pii/S2590123024019194"
3,"Predictive ML and printing parameter optimization for enhanced impact performance of 3D-printed Onyx-Kevlar composites","Various",2025,"Discover Materials","ML prediction","ML ensemble methods","Onyx-Kevlar","ML-driven optimization of composite print parameters for impact resistance","https://doi.org/10.1007/s43939-025-00307-6"
4,"Optimization of 4D/3D printing via machine learning: A systematic review","Various",2024,"Materials Today Communications","ML review","Systematic review","Multiple","Systematic review of ML optimization methods across 3D/4D printing","https://www.sciencedirect.com/science/article/pii/S2773207X24001039"
5,"Machine learning-driven 3D printing: A review","Various",2024,"Applied Materials Today","ML review","Review","Multiple","Review of ML integration across the full 3D printing pipeline","https://www.sciencedirect.com/science/article/abs/pii/S2352940724002518"
6,"Optimization of 3D Printing Parameters Using Machine Learning Techniques","Various",2025,"Springer","ML optimization","ML techniques","PLA","Chapter on ML-based parameter optimization methodology","https://doi.org/10.1007/978-3-031-88999-8_21"
7,"Multi objective optimization of FDM 3D printing parameters via DOE and ML algorithms","Various",2025,"Scientific Reports","Multi-objective optimization","RSM + NSGA-II + ML","PLA","Integrated DOE-ML-NSGA-II framework for multi-objective FDM optimization","https://www.nature.com/articles/s41598-025-01016-z"
8,"Machine Learning Approaches for FDM-Based 3D Printing: A Literature Review","Various",2025,"Applied Sciences","ML review","Literature review","FDM materials","Comprehensive review of ML approaches specific to FDM printing","https://www.mdpi.com/2076-3417/15/18/10001"
9,"Review on Optimization of Process Parameters of FDM 3D Printing Technology","Various",2025,"ACM Proceedings","Process optimization","Review","FDM materials","Review covering traditional and modern optimization of FDM parameters","https://doi.org/10.1145/3757940.3757975"
10,"Predicting dynamic tensile response of FDM materials using ML","Various",2025,"Discover Applied Sciences","ML prediction","NN, DT, SVR, RF, GPR, kNN","FDM materials","Comparison of 6 ML models for dynamic tensile prediction","https://doi.org/10.1007/s42452-025-08049-z"
11,"Analyzing impact of process parameters on surface roughness and mechanical properties in FDM using ML","Various",2025,"IJIDM","ML prediction","SVR, RF","PLA","98% accuracy for surface roughness, 96% for tensile strength prediction","https://doi.org/10.1007/s12008-025-02313-7"
12,"Prediction and optimization of tensile strength of additively manufactured PEEK using ML","Various",2024,"MMMD","ML prediction","SVR, RF","PEEK","Less than 5% deviation from experimental UTS values","https://doi.org/10.1007/s41939-024-00505-4"
13,"Prediction of tensile strength in FDM using ANN technique","Dey & Yodo",2020,"ResearchGate","ML prediction","ANN","FDM materials","ANN-based tensile strength prediction for FDM","https://www.researchgate.net/publication/347433505"
14,"Improvement of tensile strength of FDM part using ANN and genetic algorithm","Various",2023,"Emerald Insight","ML optimization","ANN + GA","FDM materials","Combined ANN-GA approach for strength optimization","https://doi.org/10.1108/ijieom-01-2023-0006"
15,"Predicting tensile strength of material extrusion parts during pre-process using neural networks","Various",2023,"IJAMT","ML prediction","Neural networks","FDM materials","MAPE of 2.54% for pre-process tensile prediction","https://doi.org/10.1007/s00170-023-12256-6"
16,"Experimental study and ANN development for modeling tensile and surface quality of fiber-reinforced nylon composites","Various",2025,"Polymers","ML prediction","ANN + XGBoost + SHAP","Nylon composites","XGBoost with recursive feature elimination and SHAP explainability","https://www.mdpi.com/2073-4360/17/11/1528"
17,"Free 3D-printing datasets enable analysis and confidence in printed parts","ORNL",2023,"ORNL News","Dataset","Open dataset","Multiple","Public AM dataset for quality prediction, 61% fewer errors in UTS prediction","https://www.ornl.gov/news/free-3d-printing-datasets-enable-analysis-confidence-printed-parts"
18,"FDM-Bench: A Comprehensive Benchmark for Evaluating LLMs in AM Tasks","Various",2024,"arXiv","Benchmark","LLM evaluation","PLA","G-code dataset with systematic anomalies for LLM evaluation","https://arxiv.org/html/2412.09819v1"
19,"Generalisable 3D printing error detection and correction via multi-head neural networks","Various",2022,"Nature Communications","Defect detection","Multi-head CNN","Multiple","1.2M image dataset from 192 parts for real-time error detection","https://www.nature.com/articles/s41467-022-31985-y"
20,"Data-driven framework for printability and geometric quality prediction in 3D concrete printing","Various",2025,"Automation in Construction","ML prediction","Data-driven framework","Concrete","Open-source framework with datasets and trained models on GitHub","https://www.sciencedirect.com/science/article/pii/S0264127525017307"
21,"Multi-Objective Optimization of Additive Manufacturing Process","Various",2018,"IFAC-PapersOnLine","Multi-objective optimization","Pareto optimization","AM materials","Multi-objective optimization with Pareto-optimal solutions for AM","https://www.sciencedirect.com/science/article/pii/S2405896318313740"
22,"Single and multi-objective optimization of FDM using metaheuristic algorithms","Various",2020,"Procedia Manufacturing","Multi-objective optimization","MOGWO, MOALO, MOMVO, MODA, PESA-II, SPEA-II","FDM materials","Comparison of 6 metaheuristic algorithms for FDM optimization","https://www.sciencedirect.com/science/article/pii/S2351978920319612"
23,"Optimization Methodology for AM Parameter by FDM Based on RSM-RVEA","Various",2024,"Journal of Mechanical Engineering","Multi-objective optimization","RSM + RVEA","FDM materials","RSM combined with reference vector evolutionary algorithm","https://doi.org/10.3901/JME.2024.19.277"
24,"Multi-Objective Optimization for FDM Process Parameters with Evolutionary Algorithms","Various",2021,"Springer","Multi-objective optimization","Evolutionary algorithms","FDM materials","Evolutionary algorithm comparison for FDM multi-objective optimization","https://doi.org/10.1007/978-3-030-68024-4_22"
25,"Multi-Objective Accelerated Process Optimization of Part Geometric Accuracy in AM","Various",2017,"ASME J. Manufacturing","Multi-objective optimization","Accelerated optimization","AM materials","Multi-objective optimization framework for geometric accuracy","https://doi.org/10.1115/1.4035022"
26,"Tri-domain prediction and optimization of nanocomposite polymers for 3D printing","Various",2026,"Scientific Reports","ML optimization","Physics-Guided Multi-Task Attention Ensemble + BO","Nanocomposites","Bayesian optimization for Pareto-optimal polymer nanocomposite configurations","https://www.nature.com/articles/s41598-026-43774-4"
27,"Real-time defect detection for FDM 3D printing using lightweight model deployment","Hu et al.",2024,"Various","Defect detection","Improved YOLOv8","FDM materials","mAP50 97.5%, 18.1% FPS increase, 32.9% GFLOPs reduction","https://www.researchgate.net/publication/380871253"
28,"A Real-Time Defect Detection Strategy for AM Based on Deep Learning and Machine Vision","Various",2024,"Micromachines","Defect detection","Enhanced YOLOv8","AM materials","mAP50 91.7% at 71.9 FPS","https://www.mdpi.com/2072-666X/15/1/28"
29,"Deep learning for object recognition and defect analysis in AM","Various",2025,"Discover Materials","Defect detection","CNN","FDM materials","98.6% accuracy classifying 5 common FDM defects on 1912-image dataset","https://doi.org/10.1007/s43939-025-00408-2"
30,"Real-Time 3D Printing Remote Defect Detection (Stringing) with Computer Vision and AI","Various",2020,"Processes","Defect detection","CNN","FDM materials","99.31% accuracy for stringing defect detection","https://www.mdpi.com/2227-9717/8/11/1464"
