id,title,authors,year,type,domain,subcategory,method,features_discussed,key_finding,hypothesis_generated,relevance
1,Toward Reliable Benchmarking of Solar Flare Forecasting Methods,Bloomfield et al.,2012,paper,benchmarks,metrics,McIntosh-Poisson,"McIntosh classification",TSS established as standard metric; McStat TSS=0.50,TSS is the correct metric; McStat is the baseline to beat,5
2,Machine Learning Application to Solar Flare Forecasting,Hayes,2021,report,ML,flare forecasting,"GB LR LDA RF XGB","AREA McIntosh MAGTYPE sunspots longitude",GB TSS=0.57 AUC=0.87; log transforms improve separation,Log transforms and MAGTYPE encoding are key,5
3,Solar Flare Prediction Using SDO/HMI Vector Magnetic Field Data,Bobra & Couvidat,2015,paper,ML,SHARP features,SVM,"TOTUSJH TOTBSQ TOTPOT TOTUSJZ USFLUX R_VALUE",SVM with SHARP features TSS~0.8 for M+; handful of features suffice,SHARP data transformative if available,5
4,Evaluating the Performance of Solar Flare Forecasting Methods,Barnes & Leka,2008,paper,benchmarks,evaluation,discriminant analysis,photospheric magnetic parameters,No clear distinction among four published parameters,Rigorous apples-to-apples comparison needed,4
5,A Comparison of Flare Forecasting Methods I. All-Clear Workshop,Barnes et al.,2016,paper,benchmarks,comparison,multi-method,MDI magnetograms,No one method clearly outperformed; feature redundancy,Feature redundancy is a major issue,4
6,Comparison II. Benchmarks Metrics and Performance Results,Leka et al.,2019,paper,benchmarks,operational,10+ methods,standardized AR data,No single winner; persistence and human expertise help,Include persistence/history features,5
7,Comparison III. Systematic Behaviors,Leka et al.,2019,paper,benchmarks,systematic,operational methods,standardized AR data,Implementation details matter as much as algorithms,Focus on robust implementation,3
8,Comparison IV. Consecutive-Day Forecasting Patterns,Park et al.,2020,paper,benchmarks,consistency,day-to-day patterns,standardized AR data,Methods differ in day-to-day consistency,Consistency matters for operational use,3
9,FLARECAST: Flare Forecasting in the Big Data & ML Era,Georgoulis et al.,2021,paper,review,comprehensive,"14 ML techniques","209 SHARP predictors",Could not convincingly lift stochasticity barrier; feature redundancy,Fundamental ceiling may exist; focus on calibration,5
10,The Challenge of ML in Space Weather,Camporeale,2019,paper,review,space weather,ML review,various,Need probabilistic forecasting and physics-ML hybrids,Gray-box approaches are the frontier,4
11,Advances and Challenges in Solar Flare Prediction: A Review,Shao et al.,2025,paper,review,comprehensive,statistical to LLM,various,Field progressing to foundation models and multimodal fusion,Multimodal approaches emerging,3
12,A Characteristic Magnetic Field Pattern Associated with All Major Solar Flares,Schrijver,2007,paper,physics,magnetic field,magnetogram analysis,R-value parameter,R_VALUE proportional to max flare magnitude,R_VALUE is a key physics-informed feature,5
13,Solar Flares: MHD Processes,Shibata & Magara,2011,review,physics,MHD,comprehensive review,flux emergence current sheets,Key processes: flux emergence reconnection acceleration,Features for non-potentiality and current density,4
14,Flare-Productive Active Regions,Toriumi & Wang,2019,review,physics,AR properties,observational review,"delta-sunspots sheared PILs flux ropes",Flare-productive ARs: delta spots sheared PILs large free energy,PIL shear and helicity features important,4
15,Quantitative Forecasting of Major Solar Flares,Georgoulis & Rust,2007,paper,physics,magnetic connectivity,B_eff analysis,effective connected magnetic field,B_eff>1600G gives P>0.95 for M-class,Single physics-based metric can be highly discriminative,4
16,A Physics-Based Method That Can Predict Imminent Large Solar Flares,Kusano et al.,2020,paper,physics,MHD instability,kappa-scheme,magnetic twist near PIL,Predicts most imminent large flares from twist,Physics-based methods can match ML,4
17,Active-Region Monitoring and Flare Forecasting,Gallagher et al.,2002,paper,statistical,Poisson,McIntosh-Poisson,"McIntosh classification",Established McIntosh-Poisson baseline at solarmonitor.org,Poisson statistics provide competitive baseline,4
18,A Bayesian Approach to Solar Flare Prediction,Wheatland,2004,paper,statistical,Bayesian,Poisson,event statistics only,Simple Bayesian baseline with minimal assumptions,Any ML must beat this baseline,3
19,Flare Forecasting Using Evolution of McIntosh Classifications,McCloskey et al.,2018,paper,statistical,evolution,McEvol Poisson,"McIntosh evolution",BSS_evolution=0.09 vs BSS_static=-0.09; upward evolution increases rates,Temporal evolution features are important,5
20,The Classification of Sunspot Groups,McIntosh,1990,paper,physics,classification,3-component system,"Zurich penumbral compactness",Correlations with flares exceed earlier Zurich-only,McIntosh sub-components are independent predictors,5
21,Validation of NOAA SWPC Solar Flare Forecasting Look-Up Table,Crown,2012,paper,operational,SWPC,McIntosh lookup,McIntosh classification,Human-adjusted forecasts outperform raw lookup table,Human expertise adds measurable value,3
22,Forecasting Solar Flares Using Magnetogram-Based Predictors and ML,Florios et al.,2018,paper,ML,SHARP features,"MLP SVM RF","13 SHARP predictors",Random Forest best technique; MLP second,RF is a strong baseline for SHARP data,4
23,Flare Prediction Using Photospheric and Coronal Image Data,Jonas et al.,2018,paper,ML,flare history,"linear RF","SHARP + flare decay features",Historical flare data plays significant role,Engineer time-decay features for prior flares,5
24,A Hybrid Supervised/Unsupervised ML Approach,Benvenuto et al.,2018,paper,ML,feature selection,LASSO + FCM,SHARP features,LASSO identifies minimal informative subset,Sparse selection reveals true contributors,3
25,Feature Ranking of Active Region Source Properties,Campi et al.,2019,paper,ML,feature ranking,supervised ML,"171 FLARECAST predictors",Most properties redundant; did not surpass baseline,Focus on de-correlated features,4
26,Comparing Feature Sets and ML Models for Flare Prediction,De Nardis et al.,2023,paper,ML,comparison,"4 models 3 feature sets","physics TDA combined",Additional complexity does not improve skill,Simple models with good features match complex ones,4
