id,authors,year,title,journal,theme,relevance,notes
1,Uisce Éireann,2024,Wastewater Treatment Capacity Register,water.ie,1,5,Primary data source; 1063 WWTPs with GREEN/AMBER/RED status
2,Uisce Éireann,2025,Strategic Funding Plan 2025-2029,water.ie,1,5,EUR 10.3bn investment plan for water infrastructure
3,Uisce Éireann,2025,Accelerated Growth Programme,water.ie,1,5,Programme to unlock housing through infrastructure investment
4,European Commission,2024,Recast Urban Wastewater Treatment Directive 2024/3019,Official Journal EU,2,5,New compliance obligations for member states by July 2027
5,EPA Ireland,2024,Urban Waste Water Treatment in 2023,EPA.ie,2,5,Annual compliance monitoring report
6,EPA Ireland,2023,Focus on Urban Waste Water Treatment 2022,EPA.ie,2,4,Identifies non-compliant agglomerations
7,Dept of Housing,2024,Housing for All - Action Plan Update,gov.ie,1,5,National housing policy with 33000/yr target
8,Dept of Housing,2025,Programme for Government Housing Targets,gov.ie,1,5,Revised target to 300000 homes including 50000/yr
9,CSO Ireland,2024,Planning Permissions Quarterly BHQ01,cso.ie,3,5,Planning permission statistics by local authority
10,CSO Ireland,2024,ESB Connections Quarterly NDQ04,cso.ie,3,5,Housing completions proxy via electricity connections
11,Goodbody,2021,Analysis of Zoned Residential Land in Ireland,goodbody.ie,1,5,7911 ha zoned residential nationally
12,ESRI,2023,Quarterly Economic Commentary - Housing Supply,ESRI.ie,1,4,Analysis of housing supply constraints
13,ESRI,2022,Infrastructure and Housing Supply in Ireland,ESRI Research Series,1,5,Relationship between infrastructure investment and housing output
14,Morgenroth E,2018,Prospects for Irish Regions and Counties,ESRI Research Series 70,3,4,Regional economic projections and infrastructure needs
15,National Competitiveness Council,2023,Costs of Doing Business 2023,NCC.ie,1,4,Infrastructure as competitiveness factor
16,NESC,2024,Water Quality and Planning,NESC Secretariat Papers,2,4,Policy integration of water and planning systems
17,Natural England,2022,Nutrient Neutrality Generic Methodology NECR459,naturalengland.org.uk,4,5,UK comparator: nutrient neutrality blocking 145000 homes
18,House of Commons Library,2023,Nutrient Neutrality and Housing Development CBP-9850,parliament.uk,4,5,UK Parliamentary briefing on housing blocks
19,POST Parliament UK,2024,Changes to Nutrient Neutrality in England,POST-PN-0755,4,4,Policy evolution of nutrient neutrality
